WELL,SWAT,CONIDX,CONIPOS,PRESSURE,CONKPOS,CONJPOS,SGAS,WELLMODEL,DATE,DEPTH,CONBPRES,DRAWDOWN
R_A2,0.05254542827606201,1,22,300.7112121582031,1,30,0.0,STANDARD,2018-01-01,1639.912109375,300.7112121582031,0
R_A2,0.053804971277713776,2,22,300.8322448730469,2,30,0.0,STANDARD,2018-01-01,1641.7171630859375,300.8322448730469,0
R_A2,0.05818600952625275,3,22,300.9532775878906,3,30,0.0,STANDARD,2018-01-01,1643.522216796875,300.9532775878906,0
R_A2,0.06205671653151512,4,22,301.0743408203125,4,30,0.0,STANDARD,2018-01-01,1645.327392578125,301.0743408203125,0
R_A2,0.06505082547664642,5,22,301.19537353515625,5,30,0.0,STANDARD,2018-01-01,1647.1324462890625,301.19537353515625,0
R_A2,0.30448153614997864,6,22,301.3164367675781,6,30,0.0,STANDARD,2018-01-01,1648.9375,301.3164367675781,0
R_A2,0.6502817273139954,7,22,301.4375,7,30,0.0,STANDARD,2018-01-01,1650.74267578125,301.4375,0
R_A2,0.6481541991233826,8,22,301.5585632324219,8,30,0.0,STANDARD,2018-01-01,1652.5477294921875,301.5585632324219,0
R_A2,0.8813595771789551,9,22,301.67962646484375,9,30,0.0,STANDARD,2018-01-01,1654.352783203125,301.67962646484375,0
R_A2,0.8878560066223145,10,22,301.8006896972656,10,30,0.0,STANDARD,2018-01-01,1656.1578369140625,301.8006896972656,0
R_A2,0.06697887927293777,11,22,301.9268493652344,11,30,0.0,STANDARD,2018-01-01,1658.038818359375,301.9268493652344,0
R_A2,0.06851375848054886,12,22,302.05810546875,12,30,0.0,STANDARD,2018-01-01,1659.99560546875,302.05810546875,0
R_A2,0.4185924232006073,13,22,302.1893615722656,13,30,0.0,STANDARD,2018-01-01,1661.952392578125,302.1893615722656,0
R_A2,0.4664091467857361,14,22,302.32061767578125,14,30,0.0,STANDARD,2018-01-01,1663.9093017578125,302.32061767578125,0
R_A2,0.6399657726287842,15,22,302.4518737792969,15,30,0.0,STANDARD,2018-01-01,1665.8660888671875,302.4518737792969,0
R_A2,0.9107770323753357,16,22,302.5831604003906,16,30,0.0,STANDARD,2018-01-01,1667.8228759765625,302.5831604003906,0
R_A2,0.8815374970436096,17,22,302.71441650390625,17,30,0.0,STANDARD,2018-01-01,1669.7796630859375,302.71441650390625,0
R_A2,0.9132978320121765,18,22,302.839111328125,18,30,0.0,STANDARD,2018-01-01,1671.63818359375,302.839111328125,0
R_A2,0.9314894080162048,19,22,302.9164123535156,18,29,0.0,STANDARD,2018-01-01,1672.7904052734375,302.9164123535156,0
R_A2,0.9403998851776123,20,22,302.9865417480469,19,29,0.0,STANDARD,2018-01-01,1673.8358154296875,302.9865417480469,0
R_A2,1.0,21,22,303.05181884765625,26,29,0.0,STANDARD,2018-01-01,1674.8087158203125,303.05181884765625,0
R_A2,1.0,22,22,303.17041015625,27,29,0.0,STANDARD,2018-01-01,1676.576171875,303.17041015625,0
R_A2,1.0,23,22,303.2889709472656,28,29,0.0,STANDARD,2018-01-01,1678.343505859375,303.2889709472656,0
R_A2,1.0,24,22,303.4075622558594,29,29,0.0,STANDARD,2018-01-01,1680.11083984375,303.4075622558594,0
R_A2,1.0,25,22,303.8515319824219,30,29,0.0,STANDARD,2018-01-01,1681.878173828125,303.8515319824219,0
R_A3,0.6481541991233826,1,28,298.77520751953125,1,41,0.0,STANDARD,2018-01-01,1611.0322265625,298.77520751953125,0
R_A3,0.19513554871082306,2,28,298.9101257324219,2,41,0.0,STANDARD,2018-01-01,1613.04541015625,298.9101257324219,0
R_A3,0.1913529634475708,3,28,299.0450439453125,3,41,0.0,STANDARD,2018-01-01,1615.05859375,299.0450439453125,0
R_A3,0.1818791925907135,4,29,298.1686096191406,3,41,0.0,STANDARD,2018-01-01,1601.9808349609375,298.1686096191406,0
R_A3,0.3573339879512787,5,29,298.3077392578125,4,41,0.0,STANDARD,2018-01-01,1604.05712890625,298.3077392578125,0
R_A3,0.8141024112701416,6,29,298.4468994140625,5,41,0.0,STANDARD,2018-01-01,1606.1334228515625,298.4468994140625,0
R_A3,0.6481541991233826,7,29,298.5860290527344,6,41,0.0,STANDARD,2018-01-01,1608.209716796875,298.5860290527344,0
R_A3,0.19256684184074402,8,29,298.7251892089844,7,41,0.0,STANDARD,2018-01-01,1610.2860107421875,298.7251892089844,0
R_A3,0.19278383255004883,9,29,298.8643493652344,8,41,0.0,STANDARD,2018-01-01,1612.3623046875,298.8643493652344,0
R_A3,0.6481541991233826,10,29,299.0035095214844,9,41,0.0,STANDARD,2018-01-01,1614.4385986328125,299.0035095214844,0
R_A3,0.7937406301498413,11,29,299.1426696777344,10,41,0.0,STANDARD,2018-01-01,1616.514892578125,299.1426696777344,0
R_A3,0.0461769625544548,12,29,299.29132080078125,11,41,0.0,STANDARD,2018-01-01,1618.732666015625,299.29132080078125,0
R_A3,0.05281497538089752,13,29,299.449462890625,12,41,0.0,STANDARD,2018-01-01,1621.0919189453125,299.449462890625,0
R_A3,0.23358052968978882,14,29,299.60760498046875,13,41,0.0,STANDARD,2018-01-01,1623.451171875,299.60760498046875,0
R_A3,0.4853259027004242,15,29,299.92327880859375,15,41,0.0,STANDARD,2018-01-01,1628.1602783203125,299.92327880859375,0
