DRAWDOWN,WELL,PRESSURE,WELLMODEL,DATE,DEPTH,CONIPOS,CONBPRES,CONIDX,SWAT,CONKPOS,SGAS,CONJPOS
0,R_A2,301.8446044921875,STANDARD,2018-01-01,1656.6724853515625,22,301.8446044921875,10,0.8837490677833557,10,0.0,30
0,R_A2,301.97314453125,STANDARD,2018-01-01,1658.5887451171875,22,301.97314453125,11,0.06800926476716995,11,0.0,30
0,R_A2,302.1110534667969,STANDARD,2018-01-01,1660.6451416015625,22,302.1110534667969,12,0.07099345326423645,12,0.0,30
0,R_A2,302.2489929199219,STANDARD,2018-01-01,1662.701416015625,22,302.2489929199219,13,0.4310418367385864,13,0.0,30
0,R_A2,302.3869323730469,STANDARD,2018-01-01,1664.7578125,22,302.3869323730469,14,0.46653980016708374,14,0.0,30
0,R_A2,302.5248718261719,STANDARD,2018-01-01,1666.814208984375,22,302.5248718261719,15,0.904265284538269,15,0.0,30
0,R_A2,302.662841796875,STANDARD,2018-01-01,1668.8704833984375,22,302.662841796875,16,0.9196491241455078,16,0.0,30
0,R_A2,302.80078125,STANDARD,2018-01-01,1670.9268798828125,22,302.80078125,17,0.8691619038581848,17,0.0,30
0,R_A2,302.928955078125,STANDARD,2018-01-01,1672.83740234375,22,302.928955078125,18,0.9289864897727966,18,0.0,30
0,R_A2,303.1928405761719,STANDARD,2018-01-01,1676.770263671875,22,303.1928405761719,19,0.9702103137969971,18,0.0,29
0,R_A2,303.3054504394531,STANDARD,2018-01-01,1678.4490966796875,22,303.3054504394531,20,0.20768743753433228,25,0.0,29
0,R_A2,303.419921875,STANDARD,2018-01-01,1680.15478515625,22,303.419921875,21,1.0,26,0.0,29
0,R_A2,303.849853515625,STANDARD,2018-01-01,1681.8604736328125,22,303.849853515625,22,1.0,27,0.0,29
0,R_A2,304.011474609375,STANDARD,2018-01-01,1683.566162109375,22,304.011474609375,23,1.0,28,0.0,29
0,R_A2,304.1731262207031,STANDARD,2018-01-01,1685.2718505859375,22,304.1731262207031,24,1.0,29,0.0,29
0,R_A3,298.6861267089844,STANDARD,2018-01-01,1609.56298828125,28,298.6861267089844,1,0.6481541991233826,1,0.0,41
0,R_A3,298.820068359375,STANDARD,2018-01-01,1611.561767578125,28,298.820068359375,2,0.19527557492256165,2,0.0,41
0,R_A3,298.0948486328125,STANDARD,2018-01-01,1600.73974609375,29,298.0948486328125,3,0.18426665663719177,2,0.0,41
