Project name			: /private/asny/Desktop/reek/resmod/ff/2019a/r001/rms/model/reek.rms11.0.1
Date				: 2020.02.19 16:52:31
Grid model name			: Simgrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       278973762.95         46529957.51         35689259.42         22446074.73
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  278973762.95         46529957.51         35689259.42         22446074.73
MidReek    1                       204974357.64         40708776.72         33259618.52         20917998.73
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  204974357.64         40708776.72         33259618.52         20917998.73
LowerReek  1                       132860979.02         27805743.75         22844274.19         14367467.79
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                  132860979.02         27805743.75         22844274.19         14367467.79
Totals     1                       616809099.61        115044477.99         91793152.13         57731541.25
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  616809099.61        115044477.99         91793152.13         57731541.25
