CONIPOS,DEPTH,CONKPOS,SGAS,CONIDX,CONBPRES,PRESSURE,WELL,CONJPOS,DRAWDOWN,SWAT,DATE,WELLMODEL
22,1641.580322265625,1,0.0,1,300.82086181640625,300.82086181640625,R_A2,30,0,0.0694645494222641,2018-01-01,STANDARD
22,1643.3280029296875,2,0.0,2,300.93804931640625,300.93804931640625,R_A2,30,0,0.05543886497616768,2018-01-01,STANDARD
22,1645.07568359375,3,0.0,3,301.05523681640625,301.05523681640625,R_A2,30,0,0.059243377298116684,2018-01-01,STANDARD
22,1646.823486328125,4,0.0,4,301.1724548339844,301.1724548339844,R_A2,30,0,0.06472832709550858,2018-01-01,STANDARD
22,1648.5711669921875,5,0.0,5,301.2896423339844,301.2896423339844,R_A2,30,0,0.06601652503013611,2018-01-01,STANDARD
22,1650.31884765625,6,0.0,6,301.4068603515625,301.4068603515625,R_A2,30,0,0.2916276156902313,2018-01-01,STANDARD
22,1652.0665283203125,7,0.0,7,301.5240783691406,301.5240783691406,R_A2,30,0,0.8788513541221619,2018-01-01,STANDARD
22,1653.8143310546875,8,0.0,8,301.64129638671875,301.64129638671875,R_A2,30,0,0.8524529933929443,2018-01-01,STANDARD
22,1655.56201171875,9,0.0,9,301.7585144042969,301.7585144042969,R_A2,30,0,0.12039058655500412,2018-01-01,STANDARD
22,1657.3096923828125,10,0.0,10,301.875732421875,301.875732421875,R_A2,30,0,0.1408475935459137,2018-01-01,STANDARD
22,1659.19482421875,11,0.0,11,302.0021667480469,302.0021667480469,R_A2,30,0,0.06858108192682266,2018-01-01,STANDARD
22,1663.2398681640625,13,0.0,12,302.27349853515625,302.27349853515625,R_A2,30,0,0.4297463297843933,2018-01-01,STANDARD
22,1665.262451171875,14,0.0,13,302.4091796875,302.4091796875,R_A2,30,0,0.4728909134864807,2018-01-01,STANDARD
22,1667.284912109375,15,0.0,14,302.54486083984375,302.54486083984375,R_A2,30,0,0.9050983786582947,2018-01-01,STANDARD
