DATE,DEPTH,SWAT,PRESSURE,CONJPOS,CONKPOS,DRAWDOWN,WELL,CONIPOS,SGAS,WELLMODEL,CONIDX,CONBPRES
2018-01-01,1642.22509765625,0.6481541991233826,300.77923583984375,30,1,0,R_A2,22,0.0,STANDARD,1,300.77923583984375
2018-01-01,1643.984130859375,0.11422551423311234,300.8971862792969,30,2,0,R_A2,22,0.0,STANDARD,2,300.8971862792969
2018-01-01,1645.7431640625,0.06282969564199448,301.01513671875,30,3,0,R_A2,22,0.0,STANDARD,3,301.01513671875
2018-01-01,1647.5023193359375,0.06813270598649979,301.1330871582031,30,4,0,R_A2,22,0.0,STANDARD,4,301.1330871582031
2018-01-01,1649.26123046875,0.07008139044046402,301.2510681152344,30,5,0,R_A2,22,0.0,STANDARD,5,301.2510681152344
2018-01-01,1651.020263671875,0.3073590397834778,301.3690185546875,30,6,0,R_A2,22,0.0,STANDARD,6,301.3690185546875
2018-01-01,1652.779296875,0.8968167901039124,301.48699951171875,30,7,0,R_A2,22,0.0,STANDARD,7,301.48699951171875
2018-01-01,1654.538330078125,0.8839836716651917,301.6049499511719,30,8,0,R_A2,22,0.0,STANDARD,8,301.6049499511719
2018-01-01,1656.29736328125,0.8926718831062317,301.7229309082031,30,9,0,R_A2,22,0.0,STANDARD,9,301.7229309082031
2018-01-01,1658.0565185546875,0.9119913578033447,301.8409118652344,30,10,0,R_A2,22,0.0,STANDARD,10,301.8409118652344
2018-01-01,1659.8994140625,0.07636941224336624,301.96453857421875,30,11,0,R_A2,22,0.0,STANDARD,11,301.96453857421875
2018-01-01,1661.826171875,0.07997217029333115,302.0937805175781,30,12,0,R_A2,22,0.0,STANDARD,12,302.0937805175781
2018-01-01,1663.7529296875,0.44997522234916687,302.2230224609375,30,13,0,R_A2,22,0.0,STANDARD,13,302.2230224609375
2018-01-01,1665.6798095703125,0.48867273330688477,302.3522644042969,30,14,0,R_A2,22,0.0,STANDARD,14,302.3522644042969
2018-01-01,1667.6065673828125,0.7099829316139221,302.48150634765625,30,15,0,R_A2,22,0.0,STANDARD,15,302.48150634765625
2018-01-01,1668.4063720703125,0.712023138999939,302.53515625,29,15,0,R_A2,22,0.0,STANDARD,16,302.53515625
2018-01-01,1670.3760986328125,0.9839075207710266,302.66729736328125,29,16,0,R_A2,22,0.0,STANDARD,17,302.66729736328125
2018-01-01,1672.3458251953125,0.9742950797080994,302.7994384765625,29,17,0,R_A2,22,0.0,STANDARD,18,302.7994384765625
2018-01-01,1674.3154296875,0.9860513806343079,302.93157958984375,29,18,0,R_A2,22,0.0,STANDARD,19,302.93157958984375
2018-01-01,1675.694091796875,1.0,303.0240783691406,29,19,0,R_A2,22,0.0,STANDARD,20,303.0240783691406
2018-01-01,1676.96240234375,1.0,303.10919189453125,29,26,0,R_A2,22,0.0,STANDARD,21,303.10919189453125
2018-01-01,1678.71142578125,1.0,303.5514221191406,29,27,0,R_A2,22,0.0,STANDARD,22,303.5514221191406
2018-01-01,1680.4603271484375,1.0,303.7171630859375,29,28,0,R_A2,22,0.0,STANDARD,23,303.7171630859375
2018-01-01,1682.2093505859375,1.0,303.8829040527344,29,29,0,R_A2,22,0.0,STANDARD,24,303.8829040527344
2018-01-01,1683.958251953125,1.0,304.04864501953125,29,30,0,R_A2,22,0.0,STANDARD,25,304.04864501953125
2018-01-01,1608.9246826171875,0.35637953877449036,298.5469055175781,41,1,0,R_A3,28,0.0,STANDARD,1,298.5469055175781
2018-01-01,1610.95458984375,0.19731590151786804,298.6829528808594,41,2,0,R_A3,28,0.0,STANDARD,2,298.6829528808594
2018-01-01,1612.9844970703125,0.20066803693771362,298.8190002441406,41,3,0,R_A3,28,0.0,STANDARD,3,298.8190002441406
2018-01-01,1605.16650390625,0.1913561075925827,298.2950744628906,41,3,0,R_A3,29,0.0,STANDARD,4,298.2950744628906
2018-01-01,1607.166015625,0.2220139354467392,298.4290466308594,41,4,0,R_A3,29,0.0,STANDARD,5,298.4290466308594
2018-01-01,1609.16552734375,0.8151814937591553,298.56304931640625,41,5,0,R_A3,29,0.0,STANDARD,6,298.56304931640625
2018-01-01,1611.1650390625,0.20409761369228363,298.6970520019531,41,6,0,R_A3,29,0.0,STANDARD,7,298.6970520019531
2018-01-01,1613.16455078125,0.14598599076271057,298.8310546875,41,7,0,R_A3,29,0.0,STANDARD,8,298.8310546875
2018-01-01,1615.1640625,0.19819475710391998,298.965087890625,41,8,0,R_A3,29,0.0,STANDARD,9,298.965087890625
2018-01-01,1617.16357421875,0.7960061430931091,299.0990905761719,41,9,0,R_A3,29,0.0,STANDARD,10,299.0990905761719
2018-01-01,1619.1630859375,0.8039388656616211,299.2331237792969,41,10,0,R_A3,29,0.0,STANDARD,11,299.2331237792969
2018-01-01,1621.2176513671875,0.050570838153362274,299.3708190917969,41,11,0,R_A3,29,0.0,STANDARD,12,299.3708190917969
2018-01-01,1623.3272705078125,0.05324500426650047,299.5122375488281,41,12,0,R_A3,29,0.0,STANDARD,13,299.5122375488281
2018-01-01,1625.436767578125,0.24336756765842438,299.6536560058594,41,13,0,R_A3,29,0.0,STANDARD,14,299.6536560058594
2018-01-01,1629.656005859375,0.6454315185546875,299.9364929199219,41,15,0,R_A3,29,0.0,STANDARD,15,299.9364929199219
2018-01-01,1631.681640625,0.8054453134536743,300.0722961425781,41,16,0,R_A3,29,0.0,STANDARD,16,300.0722961425781
2018-01-01,1632.757080078125,0.7488728165626526,300.1444091796875,41,17,0,R_A3,29,0.0,STANDARD,17,300.1444091796875
2018-01-01,1634.6259765625,0.6481541991233826,300.26971435546875,41,26,0,R_A3,29,0.0,STANDARD,18,300.26971435546875
2018-01-01,1638.154541015625,0.04384399205446243,300.50628662109375,41,27,0,R_A3,29,0.0,STANDARD,19,300.50628662109375
2018-01-01,1641.6829833984375,0.047822583466768265,300.74285888671875,41,28,0,R_A3,29,0.0,STANDARD,20,300.74285888671875
2018-01-01,1645.2115478515625,0.6481541991233826,300.9794921875,41,29,0,R_A3,29,0.0,STANDARD,21,300.9794921875
2018-01-01,1648.7401123046875,0.06385032087564468,301.2160949707031,41,30,0,R_A3,29,0.0,STANDARD,22,301.2160949707031
2018-01-01,1634.2259521484375,0.052842359989881516,300.2428894042969,52,1,0,R_A4,30,0.0,STANDARD,1,300.2428894042969
2018-01-01,1627.8421630859375,0.049722328782081604,299.8149108886719,52,1,0,R_A4,31,0.0,STANDARD,2,299.8149108886719
2018-01-01,1629.84130859375,0.05167878046631813,299.94891357421875,52,2,0,R_A4,31,0.0,STANDARD,3,299.94891357421875
2018-01-01,1631.84033203125,0.05426669120788574,300.08294677734375,52,3,0,R_A4,31,0.0,STANDARD,4,300.08294677734375
2018-01-01,1633.8394775390625,0.05616075545549393,300.21697998046875,52,4,0,R_A4,31,0.0,STANDARD,5,300.21697998046875
2018-01-01,1631.34130859375,0.05541703850030899,300.04949951171875,52,4,0,R_A4,32,0.0,STANDARD,6,300.04949951171875
2018-01-01,1633.169677734375,0.0561181865632534,300.17205810546875,52,5,0,R_A4,32,0.0,STANDARD,7,300.17205810546875
2018-01-01,1638.072265625,0.058416083455085754,300.5007629394531,51,5,0,R_A4,32,0.0,STANDARD,8,300.5007629394531
2018-01-01,1636.2550048828125,0.05795664340257645,300.3789367675781,51,4,0,R_A4,32,0.0,STANDARD,9,300.3789367675781
