CONIPOS,SWAT,WELL,CONJPOS,DEPTH,SGAS,CONBPRES,WELLMODEL,PRESSURE,CONKPOS,DATE,CONIDX,DRAWDOWN
22,0.11418894678354263,R_A2,30,1641.094970703125,0.0,300.5350341796875,STANDARD,300.5350341796875,1,2018-01-01,1,0
22,0.11710049211978912,R_A2,30,1642.8890380859375,0.0,300.65533447265625,STANDARD,300.65533447265625,2,2018-01-01,2,0
22,0.08331809937953949,R_A2,30,1644.68310546875,0.0,300.775634765625,STANDARD,300.775634765625,3,2018-01-01,3,0
22,0.07252487540245056,R_A2,30,1646.4771728515625,0.0,300.89593505859375,STANDARD,300.89593505859375,4,2018-01-01,4,0
22,0.07911133021116257,R_A2,30,1648.2713623046875,0.0,301.0162353515625,STANDARD,301.0162353515625,5,2018-01-01,5,0
22,0.12673674523830414,R_A2,30,1650.0654296875,0.0,301.13653564453125,STANDARD,301.13653564453125,6,2018-01-01,6,0
22,0.6481541991233826,R_A2,30,1651.859619140625,0.0,301.2568664550781,STANDARD,301.2568664550781,7,2018-01-01,7,0
22,0.6481541991233826,R_A2,30,1653.6536865234375,0.0,301.3771667480469,STANDARD,301.3771667480469,8,2018-01-01,8,0
22,0.18553917109966278,R_A2,30,1655.44775390625,0.0,301.49749755859375,STANDARD,301.49749755859375,9,2018-01-01,9,0
22,0.3451882004737854,R_A2,30,1657.2418212890625,0.0,301.6178283691406,STANDARD,301.6178283691406,10,2018-01-01,10,0
22,0.09078838676214218,R_A2,30,1659.1368408203125,0.0,301.74493408203125,STANDARD,301.74493408203125,11,2018-01-01,11,0
22,0.09096480906009674,R_A2,30,1661.132568359375,0.0,301.8787841796875,STANDARD,301.8787841796875,12,2018-01-01,12,0
22,0.5078178644180298,R_A2,30,1663.12841796875,0.0,302.01263427734375,STANDARD,302.01263427734375,13,2018-01-01,13,0
22,0.5792213082313538,R_A2,30,1665.1241455078125,0.0,302.1465148925781,STANDARD,302.1465148925781,14,2018-01-01,14,0
22,0.7846886515617371,R_A2,30,1667.1199951171875,0.0,302.2803955078125,STANDARD,302.2803955078125,15,2018-01-01,15,0
22,1.0,R_A2,30,1669.11572265625,0.0,302.4142761230469,STANDARD,302.4142761230469,16,2018-01-01,16,0
22,0.9989175796508789,R_A2,30,1671.111572265625,0.0,302.54815673828125,STANDARD,302.54815673828125,17,2018-01-01,17,0
22,1.0,R_A2,30,1672.9881591796875,0.0,302.86041259765625,STANDARD,302.86041259765625,18,2018-01-01,18,0
22,1.0,R_A2,29,1674.229736328125,0.0,302.97808837890625,STANDARD,302.97808837890625,18,2018-01-01,19,0
22,1.0,R_A2,29,1676.1676025390625,0.0,303.3103942871094,STANDARD,303.3103942871094,27,2018-01-01,20,0
22,1.0,R_A2,29,1677.9368896484375,0.0,303.47802734375,STANDARD,303.47802734375,28,2018-01-01,21,0
22,1.0,R_A2,29,1679.7061767578125,0.0,303.64569091796875,STANDARD,303.64569091796875,29,2018-01-01,22,0
22,1.0,R_A2,29,1681.4754638671875,0.0,303.8133544921875,STANDARD,303.8133544921875,30,2018-01-01,23,0
22,1.0,R_A2,29,1683.2447509765625,0.0,303.98101806640625,STANDARD,303.98101806640625,31,2018-01-01,24,0
28,0.13812139630317688,R_A3,41,1609.243408203125,0.0,298.39996337890625,STANDARD,298.39996337890625,1,2018-01-01,1,0
28,0.1212865561246872,R_A3,41,1611.3077392578125,0.0,298.5382995605469,STANDARD,298.5382995605469,2,2018-01-01,2,0
28,0.12585563957691193,R_A3,41,1613.3720703125,0.0,298.6766357421875,STANDARD,298.6766357421875,3,2018-01-01,3,0
28,0.2533513307571411,R_A3,41,1615.4365234375,0.0,298.81500244140625,STANDARD,298.81500244140625,4,2018-01-01,4,0
28,0.6481541991233826,R_A3,41,1617.5008544921875,0.0,298.953369140625,STANDARD,298.953369140625,5,2018-01-01,5,0
