WELL,DRAWDOWN,CONIDX,SGAS,CONJPOS,WELLMODEL,SWAT,CONIPOS,PRESSURE,CONBPRES,DEPTH,CONKPOS,DATE
R_A2,0,1,0.0,30,STANDARD,0.05682307109236717,22,300.6733093261719,300.6733093261719,1641.094970703125,1,2018-01-01
R_A2,0,2,0.0,30,STANDARD,0.059868622571229935,22,300.7936096191406,300.7936096191406,1642.8890380859375,2,2018-01-01
R_A2,0,3,0.0,30,STANDARD,0.0626271441578865,22,300.9139099121094,300.9139099121094,1644.68310546875,3,2018-01-01
R_A2,0,4,0.0,30,STANDARD,0.06645650416612625,22,301.0342102050781,301.0342102050781,1646.4771728515625,4,2018-01-01
R_A2,0,5,0.0,30,STANDARD,0.07079914212226868,22,301.1545104980469,301.1545104980469,1648.2713623046875,5,2018-01-01
R_A2,0,6,0.0,30,STANDARD,0.23910002410411835,22,301.27484130859375,301.27484130859375,1650.0654296875,6,2018-01-01
R_A2,0,7,0.0,30,STANDARD,0.8951376676559448,22,301.3951721191406,301.3951721191406,1651.859619140625,7,2018-01-01
R_A2,0,8,0.0,30,STANDARD,0.8685147166252136,22,301.5154724121094,301.5154724121094,1653.6536865234375,8,2018-01-01
R_A2,0,9,0.0,30,STANDARD,0.894565999507904,22,301.63580322265625,301.63580322265625,1655.44775390625,9,2018-01-01
R_A2,0,10,0.0,30,STANDARD,0.9062598943710327,22,301.7561340332031,301.7561340332031,1657.2418212890625,10,2018-01-01
R_A2,0,11,0.0,30,STANDARD,0.07765933871269226,22,301.88323974609375,301.88323974609375,1659.1368408203125,11,2018-01-01
R_A2,0,12,0.0,30,STANDARD,0.08095082640647888,22,302.01708984375,302.01708984375,1661.132568359375,12,2018-01-01
R_A2,0,13,0.0,30,STANDARD,0.4631236791610718,22,302.1509704589844,302.1509704589844,1663.12841796875,13,2018-01-01
R_A2,0,14,0.0,30,STANDARD,0.5077258348464966,22,302.28485107421875,302.28485107421875,1665.1241455078125,14,2018-01-01
R_A2,0,15,0.0,30,STANDARD,0.6800851821899414,22,302.4187316894531,302.4187316894531,1667.1199951171875,15,2018-01-01
R_A2,0,16,0.0,30,STANDARD,0.9764990210533142,22,302.5526123046875,302.5526123046875,1669.11572265625,16,2018-01-01
R_A2,0,17,0.0,30,STANDARD,0.9521156549453735,22,302.6864929199219,302.6864929199219,1671.111572265625,17,2018-01-01
R_A2,0,18,0.0,30,STANDARD,0.9803889393806458,22,302.8123779296875,302.8123779296875,1672.9881591796875,18,2018-01-01
