WELLMODEL,DATE,CONBPRES,PRESSURE,DRAWDOWN,SGAS,CONKPOS,CONJPOS,CONIPOS,CONIDX,DEPTH,WELL,SWAT
STANDARD,2018-01-01,300.7510986328125,300.7510986328125,0,0.0,1,30,22,1,1642.2552490234375,R_A2,0.05847061797976494
STANDARD,2018-01-01,300.86529541015625,300.86529541015625,0,0.0,2,30,22,2,1643.958251953125,R_A2,0.06098173186182976
STANDARD,2018-01-01,300.9794921875,300.9794921875,0,0.0,3,30,22,3,1645.661376953125,R_A2,0.06320231407880783
STANDARD,2018-01-01,301.0937194824219,301.0937194824219,0,0.0,4,30,22,4,1647.3643798828125,R_A2,0.11730413883924484
STANDARD,2018-01-01,301.2079162597656,301.2079162597656,0,0.0,5,30,22,5,1649.0675048828125,R_A2,0.21982456743717194
STANDARD,2018-01-01,301.3221130371094,301.3221130371094,0,0.0,6,30,22,6,1650.7705078125,R_A2,0.6481541991233826
STANDARD,2018-01-01,301.43634033203125,301.43634033203125,0,0.0,7,30,22,7,1652.4735107421875,R_A2,0.8956301212310791
STANDARD,2018-01-01,301.5505676269531,301.5505676269531,0,0.0,8,30,22,8,1654.1766357421875,R_A2,0.8739790320396423
STANDARD,2018-01-01,301.6647644042969,301.6647644042969,0,0.0,9,30,22,9,1655.879638671875,R_A2,0.901892900466919
STANDARD,2018-01-01,301.77899169921875,301.77899169921875,0,0.0,10,30,22,10,1657.582763671875,R_A2,0.9124545454978943
STANDARD,2018-01-01,301.9048767089844,301.9048767089844,0,0.0,11,30,22,11,1659.459716796875,R_A2,0.07599049806594849
STANDARD,2018-01-01,302.0424499511719,302.0424499511719,0,0.0,12,30,22,12,1661.5106201171875,R_A2,0.17600102722644806
STANDARD,2018-01-01,302.1800231933594,302.1800231933594,0,0.0,13,30,22,13,1663.5615234375,R_A2,0.46767157316207886
STANDARD,2018-01-01,302.3175964355469,302.3175964355469,0,0.0,14,30,22,14,1665.6124267578125,R_A2,0.5252959132194519
STANDARD,2018-01-01,302.4551696777344,302.4551696777344,0,0.0,15,30,22,15,1667.6634521484375,R_A2,0.967157244682312
STANDARD,2018-01-01,302.56695556640625,302.56695556640625,0,0.0,15,29,22,16,1669.32958984375,R_A2,0.9830605387687683
STANDARD,2018-01-01,302.7105407714844,302.7105407714844,0,0.0,16,29,22,17,1671.4700927734375,R_A2,0.995498776435852
STANDARD,2018-01-01,302.8541564941406,302.8541564941406,0,0.0,17,29,22,18,1673.610595703125,R_A2,0.991561233997345
STANDARD,2018-01-01,302.9798583984375,302.9798583984375,0,0.0,18,29,22,19,1675.4844970703125,R_A2,1.0
STANDARD,2018-01-01,303.42254638671875,303.42254638671875,0,0.0,28,29,22,20,1677.35107421875,R_A2,1.0
STANDARD,2018-01-01,303.5944519042969,303.5944519042969,0,0.0,29,29,22,21,1679.1654052734375,R_A2,1.0
STANDARD,2018-01-01,303.7663879394531,303.7663879394531,0,0.0,30,29,22,22,1680.979736328125,R_A2,1.0
STANDARD,2018-01-01,303.9383239746094,303.9383239746094,0,0.0,31,29,22,23,1682.794189453125,R_A2,1.0
STANDARD,2018-01-01,304.1102600097656,304.1102600097656,0,0.0,32,29,22,24,1684.6085205078125,R_A2,1.0
STANDARD,2018-01-01,298.6639099121094,298.6639099121094,0,0.0,1,41,28,1,1611.1201171875,R_A3,0.6481541991233826
STANDARD,2018-01-01,298.80474853515625,298.80474853515625,0,0.0,2,41,28,2,1613.22119140625,R_A3,0.15542468428611755
STANDARD,2018-01-01,298.945556640625,298.945556640625,0,0.0,3,41,28,3,1615.3223876953125,R_A3,0.1932407021522522
STANDARD,2018-01-01,299.0863952636719,299.0863952636719,0,0.0,4,41,28,4,1617.423583984375,R_A3,0.36952123045921326
STANDARD,2018-01-01,298.2248229980469,298.2248229980469,0,0.0,4,41,29,5,1604.5677490234375,R_A3,0.34858036041259766
STANDARD,2018-01-01,298.3678894042969,298.3678894042969,0,0.0,5,41,29,6,1606.7027587890625,R_A3,0.8144752383232117
STANDARD,2018-01-01,298.510986328125,298.510986328125,0,0.0,6,41,29,7,1608.837890625,R_A3,0.6481541991233826
STANDARD,2018-01-01,298.654052734375,298.654052734375,0,0.0,7,41,29,8,1610.972900390625,R_A3,0.19997037947177887
STANDARD,2018-01-01,298.7971496582031,298.7971496582031,0,0.0,8,41,29,9,1613.1080322265625,R_A3,0.3771171271800995
STANDARD,2018-01-01,298.94024658203125,298.94024658203125,0,0.0,9,41,29,10,1615.2430419921875,R_A3,0.7943599820137024
STANDARD,2018-01-01,299.0833435058594,299.0833435058594,0,0.0,10,41,29,11,1617.378173828125,R_A3,0.7969123125076294
STANDARD,2018-01-01,299.2303466796875,299.2303466796875,0,0.0,11,41,29,12,1619.571044921875,R_A3,0.04802020266652107
STANDARD,2018-01-01,299.3812255859375,299.3812255859375,0,0.0,12,41,29,13,1621.822021484375,R_A3,0.054112885147333145
STANDARD,2018-01-01,299.5321044921875,299.5321044921875,0,0.0,13,41,29,14,1624.072998046875,R_A3,0.3669019341468811
STANDARD,2018-01-01,299.8338928222656,299.8338928222656,0,0.0,15,41,29,15,1628.57470703125,R_A3,0.498334139585495
STANDARD,2018-01-01,299.97552490234375,299.97552490234375,0,0.0,16,41,29,16,1630.6876220703125,R_A3,0.7979627847671509
STANDARD,2018-01-01,300.1744079589844,300.1744079589844,0,0.0,28,41,29,17,1633.654296875,R_A3,1.0
STANDARD,2018-01-01,300.421875,300.421875,0,0.0,29,41,29,18,1637.34521484375,R_A3,0.047284796833992004
STANDARD,2018-01-01,300.6693420410156,300.6693420410156,0,0.0,30,41,29,19,1641.0361328125,R_A3,0.052703578025102615
STANDARD,2018-01-01,300.9168395996094,300.9168395996094,0,0.0,31,41,29,20,1644.72705078125,R_A3,0.8095995187759399
STANDARD,2018-01-01,301.16436767578125,301.16436767578125,0,0.0,32,41,29,21,1648.41796875,R_A3,0.13579821586608887
STANDARD,2018-01-01,299.8599548339844,299.8599548339844,0,0.0,1,52,30,1,1628.9637451171875,R_A4,0.04982801899313927
STANDARD,2018-01-01,299.6697998046875,299.6697998046875,0,0.0,1,52,31,2,1626.127197265625,R_A4,0.04954487830400467
STANDARD,2018-01-01,299.8097839355469,299.8097839355469,0,0.0,2,52,31,3,1628.2154541015625,R_A4,0.051524195820093155
STANDARD,2018-01-01,299.9497985839844,299.9497985839844,0,0.0,3,52,31,4,1630.3037109375,R_A4,0.05323873087763786
STANDARD,2018-01-01,300.08978271484375,300.08978271484375,0,0.0,4,52,31,5,1632.391845703125,R_A4,0.05509974807500839
STANDARD,2018-01-01,300.01397705078125,300.01397705078125,0,0.0,4,52,32,6,1631.26123046875,R_A4,0.054305072873830795
STANDARD,2018-01-01,300.140869140625,300.140869140625,0,0.0,5,52,32,7,1633.154052734375,R_A4,0.05572724714875221
STANDARD,2018-01-01,300.190185546875,300.190185546875,0,0.0,5,51,32,8,1633.8892822265625,R_A4,0.056490425020456314
STANDARD,2018-01-01,300.3503112792969,300.3503112792969,0,0.0,5,51,33,9,1636.2779541015625,R_A4,0.058505840599536896
STANDARD,2018-01-01,300.4966735839844,300.4966735839844,0,0.0,5,50,33,10,1638.4609375,R_A4,0.06023867055773735
STANDARD,2018-01-01,300.586669921875,300.586669921875,0,0.0,5,50,34,11,1639.802734375,R_A4,0.06242408975958824
STANDARD,2018-01-01,300.8567810058594,300.8567810058594,0,0.0,5,50,35,12,1643.8314208984375,R_A4,0.06285882741212845
STANDARD,2018-01-01,300.73480224609375,300.73480224609375,0,0.0,4,50,35,13,1642.01220703125,R_A4,0.11435762792825699
STANDARD,2018-01-01,300.6128234863281,300.6128234863281,0,0.0,3,50,35,14,1640.19287109375,R_A4,0.2748833894729614
