CONKPOS,CONIDX,DEPTH,WELL,SWAT,DRAWDOWN,DATE,CONBPRES,CONIPOS,WELLMODEL,SGAS,PRESSURE,CONJPOS
1,1,1641.094970703125,R_A2,0.05649875849485397,0,2018-01-01,300.6733093261719,22,STANDARD,0.0,300.6733093261719,30
2,2,1642.8890380859375,R_A2,0.05709094554185867,0,2018-01-01,300.7936096191406,22,STANDARD,0.0,300.7936096191406,30
3,3,1644.68310546875,R_A2,0.06132970005273819,0,2018-01-01,300.9139099121094,22,STANDARD,0.0,300.9139099121094,30
4,4,1646.4771728515625,R_A2,0.06751589477062225,0,2018-01-01,301.0342102050781,22,STANDARD,0.0,301.0342102050781,30
5,5,1648.2713623046875,R_A2,0.07101739197969437,0,2018-01-01,301.1545104980469,22,STANDARD,0.0,301.1545104980469,30
6,6,1650.0654296875,R_A2,0.3220924139022827,0,2018-01-01,301.27484130859375,22,STANDARD,0.0,301.27484130859375,30
7,7,1651.859619140625,R_A2,0.6901668310165405,0,2018-01-01,301.3951721191406,22,STANDARD,0.0,301.3951721191406,30
8,8,1653.6536865234375,R_A2,0.6481541991233826,0,2018-01-01,301.5154724121094,22,STANDARD,0.0,301.5154724121094,30
9,9,1655.44775390625,R_A2,0.6481541991233826,0,2018-01-01,301.63580322265625,22,STANDARD,0.0,301.63580322265625,30
10,10,1657.2418212890625,R_A2,0.9162277579307556,0,2018-01-01,301.7561340332031,22,STANDARD,0.0,301.7561340332031,30
11,11,1659.1368408203125,R_A2,0.07591938227415085,0,2018-01-01,301.88323974609375,22,STANDARD,0.0,301.88323974609375,30
12,12,1661.132568359375,R_A2,0.08079689741134644,0,2018-01-01,302.01708984375,22,STANDARD,0.0,302.01708984375,30
13,13,1663.12841796875,R_A2,0.45630839467048645,0,2018-01-01,302.1509704589844,22,STANDARD,0.0,302.1509704589844,30
14,14,1665.1241455078125,R_A2,0.503816545009613,0,2018-01-01,302.28485107421875,22,STANDARD,0.0,302.28485107421875,30
15,15,1667.1199951171875,R_A2,0.6866241097450256,0,2018-01-01,302.4187316894531,22,STANDARD,0.0,302.4187316894531,30
16,16,1669.11572265625,R_A2,0.9751048684120178,0,2018-01-01,302.5526123046875,22,STANDARD,0.0,302.5526123046875,30
17,17,1671.111572265625,R_A2,0.9595911502838135,0,2018-01-01,302.6864929199219,22,STANDARD,0.0,302.6864929199219,30
18,18,1672.9881591796875,R_A2,0.980763852596283,0,2018-01-01,302.8123779296875,22,STANDARD,0.0,302.8123779296875,30
18,19,1674.229736328125,R_A2,0.999263346195221,0,2018-01-01,302.89569091796875,22,STANDARD,0.0,302.89569091796875,29
27,20,1676.1676025390625,R_A2,1.0,0,2018-01-01,303.02569580078125,22,STANDARD,0.0,303.02569580078125,29
