CONKPOS,CONIDX,DEPTH,WELL,CONBPRES,DATE,WELLMODEL,CONJPOS,PRESSURE,SWAT,SGAS,CONIPOS,DRAWDOWN
1,1,1640.8675537109375,R_A2,300.63262939453125,2018-01-01,STANDARD,30,300.63262939453125,0.057337503880262375,0.0,22,0
2,2,1642.647705078125,R_A2,300.7519836425781,2018-01-01,STANDARD,30,300.7519836425781,0.060162801295518875,0.0,22,0
3,3,1644.427978515625,R_A2,300.8713684082031,2018-01-01,STANDARD,30,300.8713684082031,0.06261765211820602,0.0,22,0
4,4,1646.2081298828125,R_A2,300.99072265625,2018-01-01,STANDARD,30,300.99072265625,0.06744420528411865,0.0,22,0
5,5,1647.9884033203125,R_A2,301.110107421875,2018-01-01,STANDARD,30,301.110107421875,0.07178769260644913,0.0,22,0
6,6,1649.7685546875,R_A2,301.2294921875,2018-01-01,STANDARD,30,301.2294921875,0.3190462291240692,0.0,22,0
7,7,1651.5487060546875,R_A2,301.348876953125,2018-01-01,STANDARD,30,301.348876953125,0.6481541991233826,0.0,22,0
8,8,1653.3289794921875,R_A2,301.46826171875,2018-01-01,STANDARD,30,301.46826171875,0.6481541991233826,0.0,22,0
9,9,1655.109130859375,R_A2,301.587646484375,2018-01-01,STANDARD,30,301.587646484375,0.6481541991233826,0.0,22,0
10,10,1656.8892822265625,R_A2,301.70703125,2018-01-01,STANDARD,30,301.70703125,0.9137815833091736,0.0,22,0
11,11,1658.844482421875,R_A2,301.8381652832031,2018-01-01,STANDARD,30,301.8381652832031,0.07852065563201904,0.0,22,0
12,12,1660.974609375,R_A2,301.9810485839844,2018-01-01,STANDARD,30,301.9810485839844,0.08238396793603897,0.0,22,0
13,13,1663.1048583984375,R_A2,302.1239318847656,2018-01-01,STANDARD,30,302.1239318847656,0.4720573127269745,0.0,22,0
14,14,1665.235107421875,R_A2,302.266845703125,2018-01-01,STANDARD,30,302.266845703125,0.5203836560249329,0.0,22,0
15,15,1667.365234375,R_A2,302.40972900390625,2018-01-01,STANDARD,30,302.40972900390625,0.9620251655578613,0.0,22,0
16,16,1669.495361328125,R_A2,302.5526123046875,2018-01-01,STANDARD,30,302.5526123046875,0.9733360409736633,0.0,22,0
17,17,1671.6256103515625,R_A2,302.6955261230469,2018-01-01,STANDARD,30,302.6955261230469,0.9616568684577942,0.0,22,0
18,18,1673.42333984375,R_A2,302.8161315917969,2018-01-01,STANDARD,30,302.8161315917969,0.9969413876533508,0.0,22,0
27,19,1675.14306640625,R_A2,302.9315185546875,2018-01-01,STANDARD,30,302.9315185546875,0.5446975827217102,0.0,22,0
27,20,1677.88134765625,R_A2,303.4727783203125,2018-01-01,STANDARD,29,303.4727783203125,1.0,0.0,22,0
28,21,1679.7451171875,R_A2,303.6493835449219,2018-01-01,STANDARD,29,303.6493835449219,1.0,0.0,22,0
29,22,1681.60888671875,R_A2,303.8260192871094,2018-01-01,STANDARD,29,303.8260192871094,1.0,0.0,22,0
30,23,1683.47265625,R_A2,304.00262451171875,2018-01-01,STANDARD,29,304.00262451171875,1.0,0.0,22,0
31,24,1685.33642578125,R_A2,304.1792297363281,2018-01-01,STANDARD,29,304.1792297363281,1.0,0.0,22,0
1,1,1609.7401123046875,R_A3,298.5460205078125,2018-01-01,STANDARD,41,298.5460205078125,0.6481541991233826,0.0,28,0
2,2,1611.75927734375,R_A3,298.68133544921875,2018-01-01,STANDARD,41,298.68133544921875,0.11823459714651108,0.0,28,0
2,3,1601.942626953125,R_A3,298.02349853515625,2018-01-01,STANDARD,41,298.02349853515625,0.11823459714651108,0.0,29,0
3,4,1603.9801025390625,R_A3,298.1600036621094,2018-01-01,STANDARD,41,298.1600036621094,0.18331719934940338,0.0,29,0
4,5,1606.017578125,R_A3,298.2965393066406,2018-01-01,STANDARD,41,298.2965393066406,0.2274845987558365,0.0,29,0
5,6,1608.05517578125,R_A3,298.43310546875,2018-01-01,STANDARD,41,298.43310546875,0.8168127536773682,0.0,29,0
6,7,1610.0927734375,R_A3,298.56964111328125,2018-01-01,STANDARD,41,298.56964111328125,0.33303600549697876,0.0,29,0
7,8,1612.1302490234375,R_A3,298.7062072753906,2018-01-01,STANDARD,41,298.7062072753906,0.198579341173172,0.0,29,0
8,9,1614.1678466796875,R_A3,298.8427429199219,2018-01-01,STANDARD,41,298.8427429199219,0.19913889467716217,0.0,29,0
9,10,1616.205322265625,R_A3,298.97930908203125,2018-01-01,STANDARD,41,298.97930908203125,0.8028225898742676,0.0,29,0
10,11,1618.242919921875,R_A3,299.1158752441406,2018-01-01,STANDARD,41,299.1158752441406,0.27940499782562256,0.0,29,0
11,12,1620.40478515625,R_A3,299.26080322265625,2018-01-01,STANDARD,41,299.26080322265625,0.046303968876600266,0.0,29,0
12,13,1622.691162109375,R_A3,299.4140319824219,2018-01-01,STANDARD,41,299.4140319824219,0.055511146783828735,0.0,29,0
13,14,1624.9775390625,R_A3,299.5672912597656,2018-01-01,STANDARD,41,299.5672912597656,0.3758111596107483,0.0,29,0
14,15,1627.263916015625,R_A3,299.7205810546875,2018-01-01,STANDARD,41,299.7205810546875,0.062026575207710266,0.0,29,0
15,16,1629.55029296875,R_A3,299.87384033203125,2018-01-01,STANDARD,41,299.87384033203125,0.5105511546134949,0.0,29,0
16,17,1631.502685546875,R_A3,300.0047302246094,2018-01-01,STANDARD,41,300.0047302246094,0.818091869354248,0.0,29,0
27,18,1634.158203125,R_A3,300.1827697753906,2018-01-01,STANDARD,41,300.1827697753906,0.6481541991233826,0.0,29,0
