SATNUM,CURVETYPE,sw,swn,son,swnpc,swint,krw,krow,pc,sg,sl,sgn,krg,krog
1,interpolated,0.3,0.0,1.0,0.0,3000.0,0.0,1.0,3.94844883466913,,,,,
1,interpolated,0.31,0.0142857142857143,0.9857142857142857,0.0142857142857143,3100.0,0.000224738436975673,0.9581203978654337,3.0036867970878722,,,,,
1,interpolated,0.32,0.0285714285714286,0.9714285714285714,0.0285714285714286,3200.0,0.0009565931780028047,0.8925525466339996,2.383605951570334,,,,,
1,interpolated,0.33,0.0428571428571429,0.9571428571428571,0.0428571428571429,3300.0,0.0022513424016790363,0.8176123146367117,1.9509518034675082,,,,,
1,interpolated,0.34,0.0571428571428572,0.9428571428571428,0.0571428571428572,3400.0,0.004156551138540358,0.739830179647797,1.6349999999999993,,,,,
1,interpolated,0.35000000000000003,0.0714285714285715,0.9285714285714285,0.0714285714285715,3500.0,0.006717389741973457,0.6632956141786411,1.3959874730813306,,,,,
1,interpolated,0.36000000000000004,0.0857142857142858,0.9142857142857143,0.0857142857142858,3600.0,0.009977865267223524,0.5905495634288218,1.2100198460350333,,,,,
1,interpolated,0.37000000000000005,0.10000000000000009,0.8999999999999999,0.10000000000000009,3700.0,0.013981152858811735,0.5230393510326502,1.0619636513906672,,,,,
1,interpolated,0.38000000000000006,0.1142857142857144,0.8857142857142856,0.1142857142857144,3800.0,0.01876958638306362,0.4614461831628189,0.9418169293216433,,,,,
1,interpolated,0.39000000000000007,0.1285714285714287,0.8714285714285713,0.1285714285714287,3900.0,0.024384474534433757,0.40593636920543624,0.8427319660159976,,,,,
1,interpolated,0.4000000000000001,0.142857142857143,0.857142857142857,0.142857142857143,4000.0,0.03086580733580285,0.3563495964370096,0.7598793325258947,,,,,
1,interpolated,0.4100000000000001,0.1571428571428573,0.8428571428571427,0.1571428571428573,4100.0,0.0382518836350963,0.31233418926607504,0.6897656249999996,,,,,
1,interpolated,0.4200000000000001,0.1714285714285716,0.8285714285714284,0.1714285714285716,4200.0,0.046578876834208235,0.2734400369021819,0.6298079510134653,,,,,
1,interpolated,0.4300000000000001,0.1857142857142859,0.8142857142857141,0.1857142857142859,4300.0,0.05588035067543625,0.23917959631826316,0.5780597936200021,,,,,
1,interpolated,0.4400000000000001,0.20000000000000018,0.7999999999999998,0.20000000000000018,4400.0,0.06618673497399462,0.2090659683459301,0.5330293458797863,,,,,
1,interpolated,0.4500000000000001,0.2142857142857145,0.7857142857142855,0.2142857142857145,4500.0,0.07752477093073118,0.18263517714478233,0.4935561043336407,,,,,
1,interpolated,0.46000000000000013,0.2285714285714288,0.7714285714285712,0.2285714285714288,4600.0,0.08991693627121722,0.15945796216958807,0.45872517926037504,,,,,
1,interpolated,0.47000000000000014,0.24285714285714308,0.7571428571428569,0.24285714285714308,4700.0,0.10338086151044149,0.13914485746726027,0.42780661925083696,,,,,
1,interpolated,0.48000000000000015,0.2571428571428574,0.7428571428571427,0.2571428571428574,4800.0,0.11792874987708915,0.12134714704516969,0.40021168732824164,,,,,
1,interpolated,0.49000000000000016,0.2714285714285717,0.7285714285714283,0.2714285714285717,4900.0,0.13356681466200307,0.10575541860524935,0.3754608496359836,,,,,
1,interpolated,0.5000000000000002,0.2857142857142861,0.714285714285714,0.2857142857142861,5000.0,0.15029474882998808,0.09209682993646967,0.3531599999999997,,,,,
1,interpolated,0.5100000000000002,0.3000000000000004,0.6999999999999997,0.3000000000000004,5100.0,0.1681052425186144,0.08013178841976613,0.33298256867981235,,,,,
1,interpolated,0.5200000000000002,0.31428571428571467,0.6857142857142854,0.31428571428571467,5200.0,0.1869835644215997,0.06965046930172436,0.3146558967083457,,,,,
1,interpolated,0.5300000000000002,0.32857142857142896,0.6714285714285712,0.32857142857142896,5300.0,0.20690722291244606,0.06046941985386129,0.29795074394629134,,,,,
1,interpolated,0.5400000000000003,0.34285714285714325,0.6571428571428568,0.34285714285714325,5400.0,0.22784572202140096,0.052428382969338015,0.2826731277181361,,,,,
1,interpolated,0.5500000000000003,0.35714285714285754,0.6428571428571426,0.35714285714285754,5500.0,0.2497604259776687,0.045387403168651155,0.2686579144562836,,,,,
1,interpolated,0.5600000000000003,0.3714285714285719,0.6285714285714282,0.3714285714285719,5600.0,0.27260454394531713,0.03922423535989006,0.25576374380554734,,,,,
1,interpolated,0.5700000000000003,0.3857142857142862,0.6142857142857139,0.3857142857142862,5700.0,0.29632324383159603,0.03383205196573022,0.24386897543343827,,,,,
1,interpolated,0.5800000000000003,0.40000000000000047,0.5999999999999996,0.40000000000000047,5800.0,0.32085390069034087,0.029117430561430475,0.23286842794437185,,,,,
1,interpolated,0.5900000000000003,0.41428571428571476,0.5857142857142853,0.41428571428571476,5900.0,0.34612648138531465,0.02499859765909542,0.22267073650341299,,,,,
1,interpolated,0.6000000000000003,0.42857142857142905,0.5714285714285711,0.42857142857142905,6000.0,0.37206406296506306,0.021403901957925305,0.21319619757137326,,,,,
1,interpolated,0.6100000000000003,0.44285714285714334,0.5571428571428567,0.44285714285714334,6100.0,0.39858347781332637,0.01827049050306072,0.20437499999999975,,,,,
1,interpolated,0.6200000000000003,0.4571428571428577,0.5428571428571424,0.4571428571428577,6200.0,0.4255960742825556,0.015543162657484053,0.19614576471878348,,,,,
1,interpolated,0.6300000000000003,0.471428571428572,0.5285714285714281,0.471428571428572,6300.0,0.4530085774079669,0.013173378914423496,0.18845433252151322,,,,,
1,interpolated,0.6400000000000003,0.48571428571428626,0.5142857142857138,0.48571428571428626,6400.0,0.4807240306449013,0.011118403952924568,0.1812527525570657,,,,,
