PROPERTY,ZONE,REGION,FACIES,Avg,Avg_Weighted,Max,Min,P10,P90,Stddev,SOURCE,ID,REAL,ENSEMBLE
PERM,LowerReek,Dorne,Background,9.752528,,100.0,0.054483157,0.9408664,22.73957,13.518636,geogrid,geogrid,0,iter-3
PORO,LowerReek,Dorne,Background,0.09454087,,0.26995316,0.0,0.029506378,0.15537702,0.047535002,geogrid,geogrid,0,iter-3
SW,LowerReek,Dorne,Background,0.9996597,,1.0,0.6874227,1.0,1.0,0.008308233,geogrid,geogrid,0,iter-3
PERM,LowerReek,Dorne,Channel,2859.8123,,10000.0,14.174528,407.7842,7680.45,2795.7507,geogrid,geogrid,0,iter-3
PORO,LowerReek,Dorne,Channel,0.2441742,,0.41771424,0.021763086,0.18037772,0.30640575,0.04911829,geogrid,geogrid,0,iter-3
SW,LowerReek,Dorne,Channel,0.99189436,,1.0,0.07936045,1.0,1.0,0.078139596,geogrid,geogrid,0,iter-3
PERM,LowerReek,Dorne,Crevasse,182.99536,,1000.0,1.0207549,23.246906,447.31192,212.76025,geogrid,geogrid,0,iter-3
PORO,LowerReek,Dorne,Crevasse,0.20287584,,0.36876655,0.015213579,0.1362533,0.26843017,0.05082981,geogrid,geogrid,0,iter-3
SW,LowerReek,Dorne,Crevasse,0.9984783,,1.0,0.29470652,1.0,1.0,0.029293474,geogrid,geogrid,0,iter-3
PERM,LowerReek,IronIslands,Background,6.537081,,100.0,0.09643873,0.99247164,14.032526,9.080775,geogrid,geogrid,0,iter-3
PORO,LowerReek,IronIslands,Background,0.08595435,,0.2312308,0.0,0.029119754,0.1417376,0.04325156,geogrid,geogrid,0,iter-3
SW,LowerReek,IronIslands,Background,0.70436645,,1.0,0.0,0.3114665,1.0,0.30537575,geogrid,geogrid,0,iter-3
PERM,LowerReek,IronIslands,Channel,3238.951,,10000.0,25.660507,486.40274,9259.494,2996.8342,geogrid,geogrid,0,iter-3
PORO,LowerReek,IronIslands,Channel,0.25127754,,0.4280622,0.0673389,0.18854585,0.3148901,0.04936198,geogrid,geogrid,0,iter-3
SW,LowerReek,IronIslands,Channel,0.46025312,,1.0,0.02063684,0.034047678,1.0,0.4598139,geogrid,geogrid,0,iter-3
PERM,LowerReek,IronIslands,Crevasse,182.19023,,1000.0,3.6269522,24.297638,435.05557,213.10118,geogrid,geogrid,0,iter-3
PORO,LowerReek,IronIslands,Crevasse,0.20320314,,0.36491197,0.029758424,0.14057483,0.26428646,0.048141364,geogrid,geogrid,0,iter-3
SW,LowerReek,IronIslands,Crevasse,0.55201846,,1.0,0.048869573,0.10122556,1.0,0.4169016,geogrid,geogrid,0,iter-3
PERM,LowerReek,North,Background,10.445435,,100.0,0.092467174,1.3387955,24.527891,12.193289,geogrid,geogrid,0,iter-3
PORO,LowerReek,North,Background,0.09829791,,0.26150495,0.0,0.03623055,0.15672499,0.045378964,geogrid,geogrid,0,iter-3
SW,LowerReek,North,Background,0.9946115,,1.0,0.0,1.0,1.0,0.054590635,geogrid,geogrid,0,iter-3
PERM,LowerReek,North,Channel,2994.0808,,10000.0,27.245483,442.9139,8161.494,2861.7903,geogrid,geogrid,0,iter-3
PORO,LowerReek,North,Channel,0.2503767,,0.4326817,0.07586023,0.18621218,0.31252787,0.049283866,geogrid,geogrid,0,iter-3
SW,LowerReek,North,Channel,0.9889887,,1.0,0.029797735,1.0,1.0,0.10125899,geogrid,geogrid,0,iter-3
PERM,LowerReek,North,Crevasse,176.63087,,1000.0,2.0410883,21.470009,430.58893,207.89117,geogrid,geogrid,0,iter-3
PORO,LowerReek,North,Crevasse,0.20321842,,0.3743307,0.031776145,0.13606912,0.2675213,0.05084779,geogrid,geogrid,0,iter-3
SW,LowerReek,North,Crevasse,0.99775606,,1.0,0.14158356,1.0,1.0,0.042154018,geogrid,geogrid,0,iter-3
PERM,LowerReek,Reach,Background,14.775701,,100.0,0.097227395,1.5942518,37.61802,20.142906,geogrid,geogrid,0,iter-3
PORO,LowerReek,Reach,Background,0.12139927,,0.29106444,0.0,0.05776266,0.18318485,0.048592158,geogrid,geogrid,0,iter-3
SW,LowerReek,Reach,Background,0.91611266,,1.0,0.0,0.56832886,1.0,0.18406722,geogrid,geogrid,0,iter-3
PERM,LowerReek,Reach,Channel,3081.1282,,10000.0,31.694431,462.64505,8509.206,2919.4883,geogrid,geogrid,0,iter-3
PORO,LowerReek,Reach,Channel,0.25207603,,0.45001894,0.061765656,0.18773216,0.3164744,0.050184187,geogrid,geogrid,0,iter-3
SW,LowerReek,Reach,Channel,0.5739577,,1.0,0.024906727,0.062095854,1.0,0.44013813,geogrid,geogrid,0,iter-3
PERM,LowerReek,Reach,Crevasse,210.3419,,1000.0,3.6863146,29.077978,522.80237,232.86772,geogrid,geogrid,0,iter-3
PORO,LowerReek,Reach,Crevasse,0.21330221,,0.3835522,0.051822707,0.14958638,0.2780778,0.049956676,geogrid,geogrid,0,iter-3
SW,LowerReek,Reach,Crevasse,0.6192035,,1.0,0.061705783,0.15422407,1.0,0.37179795,geogrid,geogrid,0,iter-3
