Project name			: /private/asny/Desktop/reek/resmod/ff/2019a/r001/rms/model/reek.rms11.0.1
Date				: 2020.02.19 16:56:04
Grid model name			: Geogrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       285838846.30         47912671.18         35872410.11         22561263.84
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  285838846.30         47912671.18         35872410.11         22561263.84
MidReek    1                       212023037.80         37759378.90         30286062.77         19047837.91
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  212023037.80         37759378.90         30286062.77         19047837.91
LowerReek  1                       127762054.87         24467148.61         19745703.83         12418681.45
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                  127762054.87         24467148.61         19745703.83         12418681.45
Totals     1                       625623938.96        110139198.69         85904176.71         54027783.19
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  625623938.96        110139198.69         85904176.71         54027783.19
