SGAS,WELL,PRESSURE,DEPTH,CONJPOS,CONIDX,DRAWDOWN,DATE,CONBPRES,WELLMODEL,CONIPOS,CONKPOS,SWAT
0.0,R_A2,300.72979736328125,1640.5479736328125,30,1,0,2018-01-01,300.72979736328125,STANDARD,22,1,0.05410032719373703
0.0,R_A2,300.8467102050781,1642.29150390625,30,2,0,2018-01-01,300.8467102050781,STANDARD,22,2,0.056634265929460526
0.0,R_A2,300.963623046875,1644.03515625,30,3,0,2018-01-01,300.963623046875,STANDARD,22,3,0.059311047196388245
0.0,R_A2,301.08056640625,1645.77880859375,30,4,0,2018-01-01,301.08056640625,STANDARD,22,4,0.06396345049142838
0.0,R_A2,301.1974792480469,1647.5223388671875,30,5,0,2018-01-01,301.1974792480469,STANDARD,22,5,0.06618233025074005
0.0,R_A2,301.3144226074219,1649.265869140625,30,6,0,2018-01-01,301.3144226074219,STANDARD,22,6,0.6481541991233826
0.0,R_A2,301.43133544921875,1651.009521484375,30,7,0,2018-01-01,301.43133544921875,STANDARD,22,7,0.8706933259963989
0.0,R_A2,301.54827880859375,1652.7530517578125,30,8,0,2018-01-01,301.54827880859375,STANDARD,22,8,0.863360583782196
0.0,R_A2,301.66522216796875,1654.4967041015625,30,9,0,2018-01-01,301.66522216796875,STANDARD,22,9,0.8959135413169861
0.0,R_A2,301.78216552734375,1656.240234375,30,10,0,2018-01-01,301.78216552734375,STANDARD,22,10,0.9055420756340027
0.0,R_A2,301.90911865234375,1658.1331787109375,30,11,0,2018-01-01,301.90911865234375,STANDARD,22,11,0.06901562213897705
0.0,R_A2,302.04608154296875,1660.1754150390625,30,12,0,2018-01-01,302.04608154296875,STANDARD,22,12,0.1345859318971634
0.0,R_A2,302.1830749511719,1662.217529296875,30,13,0,2018-01-01,302.1830749511719,STANDARD,22,13,0.4331209361553192
0.0,R_A2,302.320068359375,1664.259765625,30,14,0,2018-01-01,302.320068359375,STANDARD,22,14,0.4813978672027588
0.0,R_A2,302.4570617675781,1666.302001953125,30,15,0,2018-01-01,302.4570617675781,STANDARD,22,15,0.9066982865333557
0.0,R_A2,302.59405517578125,1668.3441162109375,30,16,0,2018-01-01,302.59405517578125,STANDARD,22,16,0.9195588231086731
0.0,R_A2,302.7310485839844,1670.3863525390625,30,17,0,2018-01-01,302.7310485839844,STANDARD,22,17,0.8939182758331299
0.0,R_A2,302.9998779296875,1674.39306640625,29,18,0,2018-01-01,302.9998779296875,STANDARD,22,17,0.9646429419517517
0.0,R_A2,303.112060546875,1676.0654296875,29,19,0,2018-01-01,303.112060546875,STANDARD,22,18,0.9946697354316711
0.0,R_A2,303.2106628417969,1677.534912109375,29,20,0,2018-01-01,303.2106628417969,STANDARD,22,27,1.0
0.0,R_A2,303.32818603515625,1679.286376953125,29,21,0,2018-01-01,303.32818603515625,STANDARD,22,28,1.0
0.0,R_A2,303.7718811035156,1681.037841796875,29,22,0,2018-01-01,303.7718811035156,STANDARD,22,29,1.0
0.0,R_A2,303.9378662109375,1682.789306640625,29,23,0,2018-01-01,303.9378662109375,STANDARD,22,30,1.0
0.0,R_A2,304.10382080078125,1684.540771484375,29,24,0,2018-01-01,304.10382080078125,STANDARD,22,31,1.0
0.0,R_A3,298.6742858886719,1609.88525390625,41,1,0,2018-01-01,298.6742858886719,STANDARD,28,1,0.6481541991233826
0.0,R_A3,298.80633544921875,1611.855712890625,41,2,0,2018-01-01,298.80633544921875,STANDARD,28,2,0.12958788871765137
0.0,R_A3,298.1085510253906,1601.4429931640625,41,3,0,2018-01-01,298.1085510253906,STANDARD,29,2,0.14659634232521057
0.0,R_A3,298.253662109375,1603.608642578125,41,4,0,2018-01-01,298.253662109375,STANDARD,29,3,0.11823459714651108
0.0,R_A3,298.3987731933594,1605.774169921875,41,5,0,2018-01-01,298.3987731933594,STANDARD,29,4,0.2548013925552368
0.0,R_A3,298.5439147949219,1607.939697265625,41,6,0,2018-01-01,298.5439147949219,STANDARD,29,5,0.8093736171722412
0.0,R_A3,298.68902587890625,1610.105224609375,41,7,0,2018-01-01,298.68902587890625,STANDARD,29,6,0.6481541991233826
0.0,R_A3,298.83416748046875,1612.270751953125,41,8,0,2018-01-01,298.83416748046875,STANDARD,29,7,0.19538411498069763
0.0,R_A3,298.97930908203125,1614.436279296875,41,9,0,2018-01-01,298.97930908203125,STANDARD,29,8,0.19540151953697205
0.0,R_A3,299.12445068359375,1616.601806640625,41,10,0,2018-01-01,299.12445068359375,STANDARD,29,9,0.7965238690376282
0.0,R_A3,299.26959228515625,1618.767333984375,41,11,0,2018-01-01,299.26959228515625,STANDARD,29,10,0.8026087880134583
0.0,R_A3,299.41973876953125,1621.00732421875,41,12,0,2018-01-01,299.41973876953125,STANDARD,29,11,0.049186259508132935
0.0,R_A3,299.57489013671875,1623.3218994140625,41,13,0,2018-01-01,299.57489013671875,STANDARD,29,12,0.0539066456258297
0.0,R_A3,299.73004150390625,1625.636474609375,41,14,0,2018-01-01,299.73004150390625,STANDARD,29,13,0.36435917019844055
0.0,R_A3,300.0404052734375,1630.265625,41,15,0,2018-01-01,300.0404052734375,STANDARD,29,15,0.49660712480545044
0.0,R_A3,300.1651916503906,1632.126953125,41,16,0,2018-01-01,300.1651916503906,STANDARD,29,16,0.8009600043296814
0.0,R_A3,300.330078125,1634.586669921875,41,17,0,2018-01-01,300.330078125,STANDARD,29,27,0.6481541991233826
0.0,R_A3,300.5655212402344,1638.09814453125,41,18,0,2018-01-01,300.5655212402344,STANDARD,29,28,0.04424363747239113
0.0,R_A3,300.8009948730469,1641.609619140625,41,19,0,2018-01-01,300.8009948730469,STANDARD,29,29,0.049414150416851044
