CONJPOS,DRAWDOWN,SGAS,CONIPOS,SWAT,CONKPOS,DATE,DEPTH,CONBPRES,PRESSURE,CONIDX,WELLMODEL,WELL
30,0,0.0,22,0.05468156188726425,1,2018-01-01,1640.1407470703125,300.68646240234375,300.68646240234375,1,STANDARD,R_A2
30,0,0.0,22,0.056538522243499756,2,2018-01-01,1641.96533203125,300.8088073730469,300.8088073730469,2,STANDARD,R_A2
30,0,0.0,22,0.058823663741350174,3,2018-01-01,1643.7899169921875,300.93115234375,300.93115234375,3,STANDARD,R_A2
30,0,0.0,22,0.06296319514513016,4,2018-01-01,1645.614501953125,301.0534973144531,301.0534973144531,4,STANDARD,R_A2
30,0,0.0,22,0.06744787842035294,5,2018-01-01,1647.4390869140625,301.1758728027344,301.1758728027344,5,STANDARD,R_A2
30,0,0.0,22,0.3069547414779663,6,2018-01-01,1649.263671875,301.2982177734375,301.2982177734375,6,STANDARD,R_A2
30,0,0.0,22,0.8790498971939087,7,2018-01-01,1651.0882568359375,301.42059326171875,301.42059326171875,7,STANDARD,R_A2
30,0,0.0,22,0.8640031814575195,8,2018-01-01,1652.912841796875,301.5429382324219,301.5429382324219,8,STANDARD,R_A2
30,0,0.0,22,0.21519894897937775,9,2018-01-01,1654.737548828125,301.6653137207031,301.6653137207031,9,STANDARD,R_A2
30,0,0.0,22,0.20979006588459015,10,2018-01-01,1656.5621337890625,301.7877197265625,301.7877197265625,10,STANDARD,R_A2
30,0,0.0,22,0.07100608944892883,11,2018-01-01,1658.4822998046875,301.91650390625,301.91650390625,11,STANDARD,R_A2
30,0,0.0,22,0.4292747974395752,13,2018-01-01,1662.51416015625,302.1869201660156,302.1869201660156,12,STANDARD,R_A2
30,0,0.0,22,0.48214054107666016,14,2018-01-01,1664.530029296875,302.3221435546875,302.3221435546875,13,STANDARD,R_A2
30,0,0.0,22,0.6491559147834778,15,2018-01-01,1666.5458984375,302.4573669433594,302.4573669433594,14,STANDARD,R_A2
30,0,0.0,22,0.9425347447395325,16,2018-01-01,1668.561767578125,302.5926208496094,302.5926208496094,15,STANDARD,R_A2
30,0,0.0,22,0.8995897769927979,17,2018-01-01,1670.57763671875,302.72784423828125,302.72784423828125,16,STANDARD,R_A2
