WELL,PRESSURE,SGAS,SWAT,CONKPOS,DRAWDOWN,CONIDX,DEPTH,WELLMODEL,CONBPRES,DATE,CONJPOS,CONIPOS
R_A2,300.7905578613281,0.0,0.05369073525071144,2,0,2,1640.951171875,STANDARD,300.7905578613281,2018-01-01,30,22
R_A2,300.90460205078125,0.0,0.05705671012401581,3,0,3,1642.652099609375,STANDARD,300.90460205078125,2018-01-01,30,22
R_A2,301.0186767578125,0.0,0.06087841838598251,4,0,4,1644.3529052734375,STANDARD,301.0186767578125,2018-01-01,30,22
R_A2,301.1327209472656,0.0,0.06328171491622925,5,0,5,1646.0535888671875,STANDARD,301.1327209472656,2018-01-01,30,22
R_A2,301.24676513671875,0.0,0.2792440354824066,6,0,6,1647.75439453125,STANDARD,301.24676513671875,2018-01-01,30,22
R_A2,301.36083984375,0.0,0.8594506978988647,7,0,7,1649.4552001953125,STANDARD,301.36083984375,2018-01-01,30,22
R_A2,301.4748840332031,0.0,0.8574409484863281,8,0,8,1651.156005859375,STANDARD,301.4748840332031,2018-01-01,30,22
R_A2,301.5889587402344,0.0,0.8693163990974426,9,0,9,1652.8568115234375,STANDARD,301.5889587402344,2018-01-01,30,22
R_A2,301.7030334472656,0.0,0.872854471206665,10,0,10,1654.5576171875,STANDARD,301.7030334472656,2018-01-01,30,22
R_A2,301.82769775390625,0.0,0.06467174738645554,11,0,11,1656.4163818359375,STANDARD,301.82769775390625,2018-01-01,30,22
R_A2,301.9629821777344,0.0,0.15022535622119904,12,0,12,1658.43310546875,STANDARD,301.9629821777344,2018-01-01,30,22
R_A2,302.0982360839844,0.0,0.4105584919452667,13,0,13,1660.449951171875,STANDARD,302.0982360839844,2018-01-01,30,22
R_A2,302.2335205078125,0.0,0.4581141471862793,14,0,14,1662.466796875,STANDARD,302.2335205078125,2018-01-01,30,22
R_A2,302.3688049316406,0.0,0.8859948515892029,15,0,15,1664.4835205078125,STANDARD,302.3688049316406,2018-01-01,30,22
R_A2,302.5041198730469,0.0,0.8848411440849304,16,0,16,1666.5003662109375,STANDARD,302.5041198730469,2018-01-01,30,22
R_A2,302.63873291015625,0.0,0.8580403923988342,17,0,17,1668.507080078125,STANDARD,302.63873291015625,2018-01-01,30,22
R_A2,303.09429931640625,0.0,0.9702765345573425,17,0,18,1675.2974853515625,STANDARD,303.09429931640625,2018-01-01,29,22
R_A2,303.1945495605469,0.0,0.9907865524291992,18,0,19,1676.791748046875,STANDARD,303.1945495605469,2018-01-01,29,22
R_A2,303.28057861328125,0.0,1.0,26,0,20,1678.0740966796875,STANDARD,303.28057861328125,2018-01-01,29,22
R_A2,303.39532470703125,0.0,1.0,27,0,21,1679.784423828125,STANDARD,303.39532470703125,2018-01-01,29,22
R_A2,303.5101013183594,0.0,1.0,28,0,22,1681.4947509765625,STANDARD,303.5101013183594,2018-01-01,29,22
R_A2,303.9772644042969,0.0,1.0,29,0,23,1683.205078125,STANDARD,303.9772644042969,2018-01-01,29,22
R_A2,304.13934326171875,0.0,1.0,30,0,24,1684.9154052734375,STANDARD,304.13934326171875,2018-01-01,29,22
R_A3,298.5760498046875,0.0,0.6481541991233826,1,0,1,1607.916259765625,STANDARD,298.5760498046875,2018-01-01,41,28
R_A3,298.708251953125,0.0,0.14608995616436005,2,0,2,1609.88916015625,STANDARD,298.708251953125,2018-01-01,41,28
