DATE,SGAS,PRESSURE,CONIDX,CONIPOS,CONBPRES,WELL,CONKPOS,DEPTH,WELLMODEL,SWAT,CONJPOS,DRAWDOWN
2018-01-01,0.0,300.69268798828125,1,22,300.69268798828125,R_A2,1,1640.0645751953125,STANDARD,0.05410170927643776,30,0
2018-01-01,0.0,300.81341552734375,2,22,300.81341552734375,R_A2,2,1641.864990234375,STANDARD,0.054764918982982635,30,0
2018-01-01,0.0,300.93414306640625,3,22,300.93414306640625,R_A2,3,1643.66552734375,STANDARD,0.059216998517513275,30,0
2018-01-01,0.0,301.0549011230469,4,22,301.0549011230469,R_A2,4,1645.466064453125,STANDARD,0.09781014919281006,30,0
2018-01-01,0.0,301.1756286621094,5,22,301.1756286621094,R_A2,5,1647.2666015625,STANDARD,0.06575887650251389,30,0
2018-01-01,0.0,301.29638671875,6,22,301.29638671875,R_A2,6,1649.067138671875,STANDARD,0.2931497097015381,30,0
2018-01-01,0.0,301.4171142578125,7,22,301.4171142578125,R_A2,7,1650.8675537109375,STANDARD,0.8822824358940125,30,0
2018-01-01,0.0,301.5378723144531,8,22,301.5378723144531,R_A2,8,1652.6680908203125,STANDARD,0.86121666431427,30,0
2018-01-01,0.0,301.65863037109375,9,22,301.65863037109375,R_A2,9,1654.4686279296875,STANDARD,0.6481541991233826,30,0
2018-01-01,0.0,301.7793884277344,10,22,301.7793884277344,R_A2,10,1656.2691650390625,STANDARD,0.3088636100292206,30,0
2018-01-01,0.0,301.9104309082031,11,22,301.9104309082031,R_A2,11,1658.22265625,STANDARD,0.07069616764783859,30,0
2018-01-01,0.0,302.05169677734375,12,22,302.05169677734375,R_A2,12,1660.3289794921875,STANDARD,0.12398306280374527,30,0
2018-01-01,0.0,302.1929931640625,13,22,302.1929931640625,R_A2,13,1662.4354248046875,STANDARD,0.43302035331726074,30,0
2018-01-01,0.0,302.33428955078125,14,22,302.33428955078125,R_A2,14,1664.541748046875,STANDARD,0.48508474230766296,30,0
2018-01-01,0.0,302.4755859375,15,22,302.4755859375,R_A2,15,1666.648193359375,STANDARD,0.9109110236167908,30,0
2018-01-01,0.0,302.61688232421875,16,22,302.61688232421875,R_A2,16,1668.7545166015625,STANDARD,0.9493440389633179,30,0
2018-01-01,0.0,302.7581787109375,17,22,302.7581787109375,R_A2,17,1670.86083984375,STANDARD,0.8946268558502197,30,0
2018-01-01,0.0,302.88116455078125,18,22,302.88116455078125,R_A2,18,1672.6939697265625,STANDARD,0.9562970399856567,30,0
2018-01-01,0.0,302.9917907714844,19,22,302.9917907714844,R_A2,29,1674.3428955078125,STANDARD,0.7700833082199097,30,0
2018-01-01,0.0,303.1069030761719,20,22,303.1069030761719,R_A2,30,1676.0587158203125,STANDARD,0.7339476943016052,30,0
2018-01-01,0.0,303.30426025390625,21,22,303.30426025390625,R_A2,30,1678.999755859375,STANDARD,0.6481541991233826,29,0
2018-01-01,0.0,303.7506408691406,22,22,303.7506408691406,R_A2,31,1680.8134765625,STANDARD,1.0,29,0
2018-01-01,0.0,303.9225158691406,23,22,303.9225158691406,R_A2,32,1682.627197265625,STANDARD,1.0,29,0
2018-01-01,0.0,304.0943908691406,24,22,304.0943908691406,R_A2,33,1684.4410400390625,STANDARD,1.0,29,0
2018-01-01,0.0,298.5348815917969,1,28,298.5348815917969,R_A3,1,1607.8753662109375,STANDARD,0.6481541991233826,41,0
2018-01-01,0.0,298.6654357910156,2,28,298.6654357910156,R_A3,2,1609.8231201171875,STANDARD,0.11988045275211334,41,0
2018-01-01,0.0,298.79595947265625,3,28,298.79595947265625,R_A3,3,1611.7708740234375,STANDARD,0.17449720203876495,41,0
2018-01-01,0.0,298.926513671875,4,28,298.926513671875,R_A3,4,1613.71875,STANDARD,0.22741714119911194,41,0
2018-01-01,0.0,298.56915283203125,5,29,298.56915283203125,R_A3,4,1608.3863525390625,STANDARD,0.22891302406787872,41,0
2018-01-01,0.0,298.70111083984375,6,29,298.70111083984375,R_A3,5,1610.355712890625,STANDARD,0.8039783835411072,41,0
2018-01-01,0.0,298.8330993652344,7,29,298.8330993652344,R_A3,6,1612.3250732421875,STANDARD,0.6481541991233826,41,0
2018-01-01,0.0,298.965087890625,8,29,298.965087890625,R_A3,7,1614.29443359375,STANDARD,0.19759400188922882,41,0
2018-01-01,0.0,299.09710693359375,9,29,299.09710693359375,R_A3,8,1616.2637939453125,STANDARD,0.2896106541156769,41,0
2018-01-01,0.0,299.2290954589844,10,29,299.2290954589844,R_A3,9,1618.233154296875,STANDARD,0.802899956703186,41,0
2018-01-01,0.0,299.361083984375,11,29,299.361083984375,R_A3,10,1620.202392578125,STANDARD,0.7986369132995605,41,0
2018-01-01,0.0,299.5045471191406,12,29,299.5045471191406,R_A3,11,1622.34228515625,STANDARD,0.04702896624803543,41,0
2018-01-01,0.0,299.659423828125,13,29,299.659423828125,R_A3,12,1624.65283203125,STANDARD,0.056490458548069,41,0
2018-01-01,0.0,299.8143005371094,14,29,299.8143005371094,R_A3,13,1626.96337890625,STANDARD,0.37850967049598694,41,0
2018-01-01,0.0,299.9692077636719,15,29,299.9692077636719,R_A3,14,1629.27392578125,STANDARD,0.3606965243816376,41,0
2018-01-01,0.0,300.1241149902344,16,29,300.1241149902344,R_A3,15,1631.58447265625,STANDARD,0.7929216027259827,41,0
2018-01-01,0.0,300.2220458984375,17,29,300.2220458984375,R_A3,16,1633.045166015625,STANDARD,0.7928698658943176,41,0
2018-01-01,0.0,300.35382080078125,18,29,300.35382080078125,R_A3,29,1635.0106201171875,STANDARD,0.2567150294780731,41,0
2018-01-01,0.0,300.5764465332031,19,29,300.5764465332031,R_A3,30,1638.3310546875,STANDARD,0.04580642655491829,41,0
2018-01-01,0.0,300.799072265625,20,29,300.799072265625,R_A3,31,1641.6513671875,STANDARD,0.04865673929452896,41,0
2018-01-01,0.0,301.021728515625,21,29,301.021728515625,R_A3,32,1644.9716796875,STANDARD,0.6481541991233826,41,0
2018-01-01,0.0,301.244384765625,22,29,301.244384765625,R_A3,33,1648.2919921875,STANDARD,0.061471689492464066,41,0
2018-01-01,0.0,300.0126953125,1,30,300.0126953125,R_A4,1,1629.9224853515625,STANDARD,0.1005709245800972,52,0
2018-01-01,0.0,299.6880798339844,2,31,299.6880798339844,R_A4,1,1625.0802001953125,STANDARD,0.17674759030342102,52,0
2018-01-01,0.0,299.8290710449219,3,31,299.8290710449219,R_A4,2,1627.183349609375,STANDARD,0.04885227233171463,52,0
2018-01-01,0.0,299.9700622558594,4,31,299.9700622558594,R_A4,3,1629.28662109375,STANDARD,0.04874477908015251,52,0
2018-01-01,0.0,300.1110534667969,5,31,300.1110534667969,R_A4,4,1631.389892578125,STANDARD,0.05211501196026802,52,0
2018-01-01,0.0,300.2520751953125,6,31,300.2520751953125,R_A4,5,1633.4931640625,STANDARD,0.20158560574054718,52,0
2018-01-01,0.0,300.18389892578125,7,32,300.18389892578125,R_A4,5,1632.47607421875,STANDARD,0.05304731801152229,52,0
2018-01-01,0.0,300.2839660644531,8,32,300.2839660644531,R_A4,5,1633.96875,STANDARD,0.6481541991233826,51,0
2018-01-01,0.0,300.1596374511719,9,32,300.1596374511719,R_A4,4,1632.1146240234375,STANDARD,0.05322534218430519,51,0
2018-01-01,0.0,300.41693115234375,10,33,300.41693115234375,R_A4,4,1635.951904296875,STANDARD,0.05831202119588852,51,0
2018-01-01,0.0,300.6365966796875,11,33,300.6365966796875,R_A4,4,1639.2281494140625,STANDARD,0.05921483784914017,50,0
2018-01-01,0.0,300.74993896484375,12,34,300.74993896484375,R_A4,4,1640.918212890625,STANDARD,0.060132093727588654,50,0
2018-01-01,0.0,300.6189880371094,13,34,300.6189880371094,R_A4,3,1638.9654541015625,STANDARD,0.06179409474134445,50,0
2018-01-01,0.0,300.8319396972656,14,35,300.8319396972656,R_A4,3,1642.14111328125,STANDARD,0.06178423762321472,50,0
2018-01-01,0.0,300.69879150390625,15,35,300.69879150390625,R_A4,2,1640.1556396484375,STANDARD,0.22928668558597565,50,0
2018-01-01,0.0,300.8199768066406,16,35,300.8199768066406,R_A4,2,1641.963134765625,STANDARD,0.20154830813407898,49,0
2018-01-01,0.0,300.6884765625,17,35,300.6884765625,R_A4,1,1640.001708984375,STANDARD,0.2311241179704666,49,0
2018-01-01,0.0,300.85693359375,18,36,300.85693359375,R_A4,32,1642.5140380859375,STANDARD,0.6481541991233826,49,0
2018-01-01,0.0,300.7532958984375,19,36,300.7532958984375,R_A4,32,1640.9683837890625,STANDARD,0.24056324362754822,48,0
2018-01-01,0.0,301.10052490234375,20,37,301.10052490234375,R_A4,32,1646.146484375,STANDARD,0.29397502541542053,48,0
2018-01-01,0.0,301.2791748046875,21,38,301.2791748046875,R_A4,32,1648.8106689453125,STANDARD,0.6481541991233826,48,0
2018-01-01,0.0,301.50946044921875,22,38,301.50946044921875,R_A4,32,1652.244384765625,STANDARD,0.06169651821255684,47,0
2018-01-01,0.0,301.8731994628906,23,38,301.8731994628906,R_A4,33,1657.6678466796875,STANDARD,0.16580499708652496,47,0
2018-01-01,0.0,303.6240539550781,1,31,303.6240539550781,R_A5,1,1682.7047119140625,STANDARD,1.0,20,0
2018-01-01,0.0,303.825439453125,2,31,303.825439453125,R_A5,2,1684.8297119140625,STANDARD,1.0,20,0
2018-01-01,0.0,304.0268249511719,3,31,304.0268249511719,R_A5,3,1686.954833984375,STANDARD,1.0,20,0
2018-01-01,0.0,304.22821044921875,4,31,304.22821044921875,R_A5,4,1689.0799560546875,STANDARD,1.0,20,0
2018-01-01,0.0,304.4295654296875,5,31,304.4295654296875,R_A5,5,1691.2049560546875,STANDARD,1.0,20,0
2018-01-01,0.0,304.6309509277344,6,31,304.6309509277344,R_A5,6,1693.330078125,STANDARD,1.0,20,0
2018-01-01,0.0,305.13812255859375,7,31,305.13812255859375,R_A5,7,1695.455078125,STANDARD,1.0,20,0
2018-01-01,0.0,305.6455383300781,8,31,305.6455383300781,R_A5,11,1704.03466796875,STANDARD,1.0,21,0
2018-01-01,0.0,305.8436279296875,9,31,305.8436279296875,R_A5,12,1706.124755859375,STANDARD,1.0,21,0
2018-01-01,0.0,306.0536804199219,10,31,306.0536804199219,R_A5,13,1708.2149658203125,STANDARD,1.0,21,0
2018-01-01,0.0,306.25177001953125,11,31,306.25177001953125,R_A5,14,1710.30517578125,STANDARD,1.0,21,0
2018-01-01,0.0,306.5948486328125,12,31,306.5948486328125,R_A5,15,1712.395263671875,STANDARD,1.0,21,0
2018-01-01,0.0,306.7929382324219,13,31,306.7929382324219,R_A5,16,1714.4853515625,STANDARD,1.0,21,0
2018-01-01,0.0,306.97216796875,14,31,306.97216796875,R_A5,17,1716.3765869140625,STANDARD,1.0,21,0
2018-01-01,0.0,307.08074951171875,15,31,307.08074951171875,R_A5,18,1717.522216796875,STANDARD,1.0,21,0
