SGAS,SWAT,DATE,CONIPOS,WELLMODEL,CONKPOS,CONIDX,PRESSURE,DEPTH,CONJPOS,WELL,DRAWDOWN,CONBPRES
0.0,0.053437262773513794,2018-01-01,22,STANDARD,1,1,300.81805419921875,1641.2950439453125,30,R_A2,0,300.81805419921875
0.0,0.05577361211180687,2018-01-01,22,STANDARD,2,2,300.93634033203125,1643.0594482421875,30,R_A2,0,300.93634033203125
0.0,0.05859382078051567,2018-01-01,22,STANDARD,3,3,301.0546569824219,1644.8238525390625,30,R_A2,0,301.0546569824219
0.0,0.06380704045295715,2018-01-01,22,STANDARD,4,4,301.1729736328125,1646.5882568359375,30,R_A2,0,301.1729736328125
0.0,0.0656406581401825,2018-01-01,22,STANDARD,5,5,301.29132080078125,1648.3525390625,30,R_A2,0,301.29132080078125
0.0,0.30087777972221375,2018-01-01,22,STANDARD,6,6,301.4096374511719,1650.116943359375,30,R_A2,0,301.4096374511719
0.0,0.8766395449638367,2018-01-01,22,STANDARD,7,7,301.5279541015625,1651.88134765625,30,R_A2,0,301.5279541015625
0.0,0.8560522794723511,2018-01-01,22,STANDARD,8,8,301.64630126953125,1653.645751953125,30,R_A2,0,301.64630126953125
0.0,0.8782734870910645,2018-01-01,22,STANDARD,9,9,301.7646484375,1655.41015625,30,R_A2,0,301.7646484375
0.0,0.8880273699760437,2018-01-01,22,STANDARD,10,10,301.8829650878906,1657.174560546875,30,R_A2,0,301.8829650878906
0.0,0.0694933533668518,2018-01-01,22,STANDARD,11,11,302.011962890625,1659.097412109375,30,R_A2,0,302.011962890625
0.0,0.07541065663099289,2018-01-01,22,STANDARD,12,12,302.1515808105469,1661.178955078125,30,R_A2,0,302.1515808105469
0.0,0.4301263988018036,2018-01-01,22,STANDARD,13,13,302.29119873046875,1663.2603759765625,30,R_A2,0,302.29119873046875
0.0,0.46898290514945984,2018-01-01,22,STANDARD,14,14,302.4308166503906,1665.341796875,30,R_A2,0,302.4308166503906
0.0,0.9046297073364258,2018-01-01,22,STANDARD,15,15,302.5704345703125,1667.42333984375,30,R_A2,0,302.5704345703125
0.0,0.9343622922897339,2018-01-01,22,STANDARD,16,16,302.7100830078125,1669.5047607421875,30,R_A2,0,302.7100830078125
0.0,0.877836287021637,2018-01-01,22,STANDARD,17,17,302.8497314453125,1671.586181640625,30,R_A2,0,302.8497314453125
0.0,0.9455780386924744,2018-01-01,22,STANDARD,18,18,302.96673583984375,1673.330078125,30,R_A2,0,302.96673583984375
0.0,0.9662573337554932,2018-01-01,22,STANDARD,18,19,303.1472473144531,1676.020751953125,29,R_A2,0,303.1472473144531
0.0,0.6481541991233826,2018-01-01,22,STANDARD,25,20,303.259765625,1677.6978759765625,29,R_A2,0,303.259765625
0.0,1.0,2018-01-01,22,STANDARD,26,21,303.3775634765625,1679.45361328125,29,R_A2,0,303.3775634765625
0.0,1.0,2018-01-01,22,STANDARD,27,22,303.495361328125,1681.209228515625,29,R_A2,0,303.495361328125
0.0,1.0,2018-01-01,22,STANDARD,28,23,303.9544982910156,1682.9649658203125,29,R_A2,0,303.9544982910156
0.0,1.0,2018-01-01,22,STANDARD,29,24,304.1208801269531,1684.720703125,29,R_A2,0,304.1208801269531
0.0,0.6481541991233826,2018-01-01,28,STANDARD,1,1,298.69439697265625,1609.6163330078125,41,R_A3,0,298.69439697265625
0.0,0.14944714307785034,2018-01-01,28,STANDARD,2,2,298.8309020996094,1611.653076171875,41,R_A3,0,298.8309020996094
0.0,0.13985170423984528,2018-01-01,29,STANDARD,2,3,298.13037109375,1601.2000732421875,41,R_A3,0,298.13037109375
0.0,0.11823459714651108,2018-01-01,29,STANDARD,3,4,298.2735595703125,1603.3365478515625,41,R_A3,0,298.2735595703125
0.0,0.16126736998558044,2018-01-01,29,STANDARD,4,5,298.4167175292969,1605.4730224609375,41,R_A3,0,298.4167175292969
0.0,0.8034648299217224,2018-01-01,29,STANDARD,5,6,298.5599060058594,1607.609619140625,41,R_A3,0,298.5599060058594
0.0,0.32629308104515076,2018-01-01,29,STANDARD,6,7,298.7030944824219,1609.74609375,41,R_A3,0,298.7030944824219
0.0,0.1948401778936386,2018-01-01,29,STANDARD,7,8,298.8462829589844,1611.8826904296875,41,R_A3,0,298.8462829589844
0.0,0.23196610808372498,2018-01-01,29,STANDARD,8,9,298.9894714355469,1614.0191650390625,41,R_A3,0,298.9894714355469
0.0,0.7906233668327332,2018-01-01,29,STANDARD,9,10,299.1326904296875,1616.15576171875,41,R_A3,0,299.1326904296875
0.0,0.7986199855804443,2018-01-01,29,STANDARD,10,11,299.27587890625,1618.292236328125,41,R_A3,0,299.27587890625
0.0,0.04953589662909508,2018-01-01,29,STANDARD,11,12,299.4231872558594,1620.48974609375,41,R_A3,0,299.4231872558594
