CONJPOS,DATE,DRAWDOWN,CONKPOS,WELL,SGAS,WELLMODEL,DEPTH,PRESSURE,CONIPOS,SWAT,CONBPRES,CONIDX
30,2018-01-01,0,1,R_A2,0.0,STANDARD,1641.7867431640625,300.8393859863281,22,0.054419368505477905,300.8393859863281,1
30,2018-01-01,0,2,R_A2,0.0,STANDARD,1643.5679931640625,300.9588317871094,22,0.09520813077688217,300.9588317871094,2
30,2018-01-01,0,3,R_A2,0.0,STANDARD,1645.3492431640625,301.07830810546875,22,0.057067740708589554,301.07830810546875,3
30,2018-01-01,0,4,R_A2,0.0,STANDARD,1647.1304931640625,301.19775390625,22,0.06358643621206284,301.19775390625,4
30,2018-01-01,0,5,R_A2,0.0,STANDARD,1648.911865234375,301.31719970703125,22,0.06819401681423187,301.31719970703125,5
30,2018-01-01,0,6,R_A2,0.0,STANDARD,1650.693115234375,301.4366760253906,22,0.2994677424430847,301.4366760253906,6
30,2018-01-01,0,7,R_A2,0.0,STANDARD,1652.474365234375,301.5561218261719,22,0.8801093101501465,301.5561218261719,7
30,2018-01-01,0,8,R_A2,0.0,STANDARD,1654.2557373046875,301.67559814453125,22,0.6481541991233826,301.67559814453125,8
30,2018-01-01,0,9,R_A2,0.0,STANDARD,1656.0369873046875,301.7950744628906,22,0.24551059305667877,301.7950744628906,9
30,2018-01-01,0,10,R_A2,0.0,STANDARD,1657.8182373046875,301.91455078125,22,0.892042875289917,301.91455078125,10
30,2018-01-01,0,11,R_A2,0.0,STANDARD,1659.7242431640625,302.0423889160156,22,0.06984775513410568,302.0423889160156,11
30,2018-01-01,0,12,R_A2,0.0,STANDARD,1661.754638671875,302.1785888671875,22,0.07806120812892914,302.1785888671875,12
30,2018-01-01,0,13,R_A2,0.0,STANDARD,1663.78515625,302.3147888183594,22,0.4329984784126282,302.3147888183594,13
30,2018-01-01,0,14,R_A2,0.0,STANDARD,1665.815673828125,302.45098876953125,22,0.4754587411880493,302.45098876953125,14
30,2018-01-01,0,15,R_A2,0.0,STANDARD,1667.8460693359375,302.5871887207031,22,0.91605544090271,302.5871887207031,15
30,2018-01-01,0,16,R_A2,0.0,STANDARD,1669.8765869140625,302.7234191894531,22,0.9405792355537415,302.7234191894531,16
30,2018-01-01,0,17,R_A2,0.0,STANDARD,1671.9071044921875,302.859619140625,22,0.8911492228507996,302.859619140625,17
29,2018-01-01,0,17,R_A2,0.0,STANDARD,1672.8426513671875,302.9223937988281,22,0.8879097104072571,302.9223937988281,18
29,2018-01-01,0,18,R_A2,0.0,STANDARD,1674.797607421875,303.0535583496094,22,0.9560301899909973,303.0535583496094,19
29,2018-01-01,0,26,R_A2,0.0,STANDARD,1676.82470703125,303.1895751953125,22,0.7919803261756897,303.1895751953125,20
29,2018-01-01,0,27,R_A2,0.0,STANDARD,1678.6055908203125,303.3090515136719,22,1.0,303.3090515136719,21
29,2018-01-01,0,28,R_A2,0.0,STANDARD,1680.386474609375,303.4285583496094,22,1.0,303.4285583496094,22
29,2018-01-01,0,29,R_A2,0.0,STANDARD,1682.167236328125,303.87890625,22,1.0,303.87890625,23
29,2018-01-01,0,30,R_A2,0.0,STANDARD,1683.9481201171875,304.04766845703125,22,1.0,304.04766845703125,24
41,2018-01-01,0,1,R_A3,0.0,STANDARD,1608.8404541015625,298.63079833984375,28,0.3278440833091736,298.63079833984375,1
41,2018-01-01,0,2,R_A3,0.0,STANDARD,1610.857421875,298.7659606933594,28,0.14702214300632477,298.7659606933594,2
41,2018-01-01,0,3,R_A3,0.0,STANDARD,1612.8743896484375,298.9011535644531,28,0.10998710244894028,298.9011535644531,3
41,2018-01-01,0,3,R_A3,0.0,STANDARD,1604.090087890625,298.31243896484375,29,0.14458215236663818,298.31243896484375,4
41,2018-01-01,0,4,R_A3,0.0,STANDARD,1606.1842041015625,298.4527893066406,29,0.13830973207950592,298.4527893066406,5
41,2018-01-01,0,5,R_A3,0.0,STANDARD,1608.2783203125,298.5931091308594,29,0.8077379465103149,298.5931091308594,6
41,2018-01-01,0,6,R_A3,0.0,STANDARD,1610.3724365234375,298.73345947265625,29,0.284479558467865,298.73345947265625,7
41,2018-01-01,0,7,R_A3,0.0,STANDARD,1612.466552734375,298.8738098144531,29,0.1918254792690277,298.8738098144531,8
41,2018-01-01,0,8,R_A3,0.0,STANDARD,1614.560791015625,299.01416015625,29,0.23526570200920105,299.01416015625,9
41,2018-01-01,0,9,R_A3,0.0,STANDARD,1616.6549072265625,299.154541015625,29,0.7939860820770264,299.154541015625,10
41,2018-01-01,0,10,R_A3,0.0,STANDARD,1618.7490234375,299.2948913574219,29,0.784234881401062,299.2948913574219,11
41,2018-01-01,0,11,R_A3,0.0,STANDARD,1620.930908203125,299.441162109375,29,0.045034561306238174,299.441162109375,12
41,2018-01-01,0,12,R_A3,0.0,STANDARD,1623.200439453125,299.5932922363281,29,0.05312701314687729,299.5932922363281,13
41,2018-01-01,0,13,R_A3,0.0,STANDARD,1625.469970703125,299.74542236328125,29,0.23411305248737335,299.74542236328125,14
41,2018-01-01,0,14,R_A3,0.0,STANDARD,1627.7396240234375,299.8975830078125,29,0.177742600440979,299.8975830078125,15
41,2018-01-01,0,15,R_A3,0.0,STANDARD,1630.0091552734375,300.04974365234375,29,0.44177207350730896,300.04974365234375,16
41,2018-01-01,0,16,R_A3,0.0,STANDARD,1631.94189453125,300.1792907714844,29,0.7978129386901855,300.1792907714844,17
41,2018-01-01,0,26,R_A3,0.0,STANDARD,1634.5311279296875,300.3529052734375,29,1.0,300.3529052734375,18
41,2018-01-01,0,27,R_A3,0.0,STANDARD,1638.0745849609375,300.5904846191406,29,0.04206784814596176,300.5904846191406,19
41,2018-01-01,0,28,R_A3,0.0,STANDARD,1641.617919921875,300.8280944824219,29,0.046542033553123474,300.8280944824219,20
41,2018-01-01,0,29,R_A3,0.0,STANDARD,1645.1612548828125,301.0657043457031,29,0.7956855893135071,301.0657043457031,21
41,2018-01-01,0,30,R_A3,0.0,STANDARD,1648.7047119140625,301.3033142089844,29,0.12669174373149872,301.3033142089844,22
52,2018-01-01,0,1,R_A4,0.0,STANDARD,1632.4921875,300.2162170410156,30,0.04971203953027725,300.2162170410156,1
52,2018-01-01,0,1,R_A4,0.0,STANDARD,1627.166259765625,299.8591613769531,31,0.12408298254013062,299.8591613769531,2
