WELLMODEL,WELL,CONBPRES,CONIDX,DEPTH,DRAWDOWN,CONJPOS,PRESSURE,SWAT,SGAS,CONIPOS,CONKPOS,DATE
STANDARD,R_A2,300.7227478027344,1,1643.0615234375,0,30,300.7227478027344,0.06130274385213852,0.0,22,1,2018-01-01
STANDARD,R_A2,300.8486328125,2,1644.9385986328125,0,30,300.8486328125,0.06267915666103363,0.0,22,2,2018-01-01
STANDARD,R_A2,300.9744873046875,3,1646.815673828125,0,30,300.9744873046875,0.06596889346837997,0.0,22,3,2018-01-01
STANDARD,R_A2,301.1003723144531,4,1648.692626953125,0,30,301.1003723144531,0.07446334511041641,0.0,22,4,2018-01-01
STANDARD,R_A2,301.2262268066406,5,1650.569580078125,0,30,301.2262268066406,0.07714669406414032,0.0,22,5,2018-01-01
STANDARD,R_A2,301.35211181640625,6,1652.44677734375,0,30,301.35211181640625,0.3264007270336151,0.0,22,6,2018-01-01
STANDARD,R_A2,301.4779968261719,7,1654.32373046875,0,30,301.4779968261719,0.9206238389015198,0.0,22,7,2018-01-01
STANDARD,R_A2,301.6038818359375,8,1656.20068359375,0,30,301.6038818359375,0.9206327795982361,0.0,22,8,2018-01-01
STANDARD,R_A2,301.7297668457031,9,1658.0777587890625,0,30,301.7297668457031,0.9411846399307251,0.0,22,9,2018-01-01
STANDARD,R_A2,301.85565185546875,10,1659.954833984375,0,30,301.85565185546875,0.9513935446739197,0.0,22,10,2018-01-01
STANDARD,R_A2,301.98590087890625,11,1661.8966064453125,0,30,301.98590087890625,0.0909338891506195,0.0,22,11,2018-01-01
STANDARD,R_A2,302.1205139160156,12,1663.9033203125,0,30,302.1205139160156,0.0980723649263382,0.0,22,12,2018-01-01
STANDARD,R_A2,302.2550964355469,13,1665.909912109375,0,30,302.2550964355469,0.5270780324935913,0.0,22,13,2018-01-01
STANDARD,R_A2,302.38970947265625,14,1667.9166259765625,0,30,302.38970947265625,0.5873998403549194,0.0,22,14,2018-01-01
STANDARD,R_A2,302.5243225097656,15,1669.9232177734375,0,30,302.5243225097656,0.8665370941162109,0.0,22,15,2018-01-01
STANDARD,R_A2,302.106201171875,16,1663.690185546875,0,29,302.106201171875,0.7628918290138245,0.0,22,15,2018-01-01
STANDARD,R_A2,302.2469177246094,17,1665.7879638671875,0,29,302.2469177246094,0.9800803661346436,0.0,22,16,2018-01-01
STANDARD,R_A2,302.38763427734375,18,1667.8857421875,0,29,302.38763427734375,0.965729296207428,0.0,22,17,2018-01-01
STANDARD,R_A2,302.52838134765625,19,1669.9835205078125,0,29,302.52838134765625,0.972063422203064,0.0,22,18,2018-01-01
