CONBPRES,CONIPOS,CONKPOS,PRESSURE,DRAWDOWN,DATE,CONIDX,SGAS,WELL,WELLMODEL,SWAT,DEPTH,CONJPOS
300.7696533203125,22,1,300.7696533203125,0,2018-01-01,1,0.0,R_A2,STANDARD,0.053643710911273956,1640.919677734375,30
300.8902893066406,22,2,300.8902893066406,0,2018-01-01,2,0.0,R_A2,STANDARD,0.05744830518960953,1642.71875,30
301.01092529296875,22,3,301.01092529296875,0,2018-01-01,3,0.0,R_A2,STANDARD,0.05983046442270279,1644.517822265625,30
301.1315612792969,22,4,301.1315612792969,0,2018-01-01,4,0.0,R_A2,STANDARD,0.06538429856300354,1646.31689453125,30
301.2522277832031,22,5,301.2522277832031,0,2018-01-01,5,0.0,R_A2,STANDARD,0.06796854734420776,1648.115966796875,30
301.37286376953125,22,6,301.37286376953125,0,2018-01-01,6,0.0,R_A2,STANDARD,0.2982901632785797,1649.9149169921875,30
301.4935302734375,22,7,301.4935302734375,0,2018-01-01,7,0.0,R_A2,STANDARD,0.8797674179077148,1651.7139892578125,30
301.6141662597656,22,8,301.6141662597656,0,2018-01-01,8,0.0,R_A2,STANDARD,0.8660427331924438,1653.5130615234375,30
301.7348327636719,22,9,301.7348327636719,0,2018-01-01,9,0.0,R_A2,STANDARD,0.8733227849006653,1655.3121337890625,30
301.8554992675781,22,10,301.8554992675781,0,2018-01-01,10,0.0,R_A2,STANDARD,0.8837308287620544,1657.1112060546875,30
301.9825744628906,22,11,301.9825744628906,0,2018-01-01,11,0.0,R_A2,STANDARD,0.06861039251089096,1659.005859375,30
302.1160888671875,22,12,302.1160888671875,0,2018-01-01,12,0.0,R_A2,STANDARD,0.07001485675573349,1660.99609375,30
302.24957275390625,22,13,302.24957275390625,0,2018-01-01,13,0.0,R_A2,STANDARD,0.4216027855873108,1662.986328125,30
302.3830871582031,22,14,302.3830871582031,0,2018-01-01,14,0.0,R_A2,STANDARD,0.46618926525115967,1664.9766845703125,30
302.5166015625,22,15,302.5166015625,0,2018-01-01,15,0.0,R_A2,STANDARD,0.9083558320999146,1666.9669189453125,30
302.5377502441406,22,15,302.5377502441406,0,2018-01-01,16,0.0,R_A2,STANDARD,0.9020155072212219,1667.2821044921875,29
302.6842346191406,22,16,302.6842346191406,0,2018-01-01,17,0.0,R_A2,STANDARD,0.938812792301178,1669.4656982421875,29
302.8307189941406,22,17,302.8307189941406,0,2018-01-01,18,0.0,R_A2,STANDARD,0.8933299779891968,1671.6494140625,29
302.95977783203125,22,18,302.95977783203125,0,2018-01-01,19,0.0,R_A2,STANDARD,0.9544849395751953,1673.5728759765625,29
303.0826721191406,22,25,303.0826721191406,0,2018-01-01,20,0.0,R_A2,STANDARD,1.0,1675.4044189453125,29
303.2032165527344,22,26,303.2032165527344,0,2018-01-01,21,0.0,R_A2,STANDARD,1.0,1677.201171875,29
303.3237609863281,22,27,303.3237609863281,0,2018-01-01,22,0.0,R_A2,STANDARD,1.0,1678.9979248046875,29
303.4443054199219,22,28,303.4443054199219,0,2018-01-01,23,0.0,R_A2,STANDARD,1.0,1680.7945556640625,29
303.9190979003906,22,29,303.9190979003906,0,2018-01-01,24,0.0,R_A2,STANDARD,1.0,1682.59130859375,29
