DATE,DEPTH,DRAWDOWN,SWAT,WELL,CONIDX,CONIPOS,CONBPRES,CONKPOS,PRESSURE,WELLMODEL,SGAS,CONJPOS
2018-01-01,1642.4111328125,0,0.055972129106521606,R_A2,1,22,300.8257141113281,1,300.8257141113281,STANDARD,0.0,30
2018-01-01,1644.2427978515625,0,0.057989105582237244,R_A2,2,22,300.9485168457031,2,300.9485168457031,STANDARD,0.0,30
2018-01-01,1646.074462890625,0,0.06206592172384262,R_A2,3,22,301.07135009765625,3,301.07135009765625,STANDARD,0.0,30
2018-01-01,1647.9061279296875,0,0.06766226887702942,R_A2,4,22,301.1941833496094,4,301.1941833496094,STANDARD,0.0,30
2018-01-01,1649.7376708984375,0,0.09279609471559525,R_A2,5,22,301.3170166015625,5,301.3170166015625,STANDARD,0.0,30
2018-01-01,1651.5693359375,0,0.3319256901741028,R_A2,6,22,301.4398498535156,6,301.4398498535156,STANDARD,0.0,30
2018-01-01,1653.4010009765625,0,0.8959029912948608,R_A2,7,22,301.56268310546875,7,301.56268310546875,STANDARD,0.0,30
2018-01-01,1655.232666015625,0,0.882664680480957,R_A2,8,22,301.685546875,8,301.685546875,STANDARD,0.0,30
2018-01-01,1657.0643310546875,0,0.8920759558677673,R_A2,9,22,301.8083801269531,9,301.8083801269531,STANDARD,0.0,30
2018-01-01,1658.89599609375,0,0.9045289754867554,R_A2,10,22,301.9312438964844,10,301.9312438964844,STANDARD,0.0,30
2018-01-01,1660.8033447265625,0,0.07602398842573166,R_A2,11,22,302.0591735839844,11,302.0591735839844,STANDARD,0.0,30
2018-01-01,1662.7861328125,0,0.07708489149808884,R_A2,12,22,302.1921691894531,12,302.1921691894531,STANDARD,0.0,30
2018-01-01,1664.76904296875,0,0.4445025622844696,R_A2,13,22,302.3251953125,13,302.3251953125,STANDARD,0.0,30
2018-01-01,1666.7518310546875,0,0.48676109313964844,R_A2,14,22,302.45819091796875,14,302.45819091796875,STANDARD,0.0,30
2018-01-01,1668.7347412109375,0,0.6835730075836182,R_A2,15,22,302.5912170410156,15,302.5912170410156,STANDARD,0.0,30
2018-01-01,1670.717529296875,0,0.9594601392745972,R_A2,16,22,302.7242431640625,16,302.7242431640625,STANDARD,0.0,30
2018-01-01,1672.700439453125,0,0.9524510502815247,R_A2,17,22,302.8572692871094,17,302.8572692871094,STANDARD,0.0,30
2018-01-01,1670.6236572265625,0,0.9161874055862427,R_A2,18,22,302.7179260253906,17,302.7179260253906,STANDARD,0.0,29
2018-01-01,1672.5694580078125,0,0.9608734846115112,R_A2,19,22,302.8484802246094,18,302.8484802246094,STANDARD,0.0,29
2018-01-01,1673.703125,0,0.9620639681816101,R_A2,20,22,302.9245300292969,19,302.9245300292969,STANDARD,0.0,29
2018-01-01,1674.8060302734375,0,0.6481541991233826,R_A2,21,22,302.99853515625,26,302.99853515625,STANDARD,0.0,29
2018-01-01,1676.6029052734375,0,1.0,R_A2,22,22,303.11907958984375,27,303.11907958984375,STANDARD,0.0,29
2018-01-01,1678.3997802734375,0,1.0,R_A2,23,22,303.2396545410156,28,303.2396545410156,STANDARD,0.0,29
