CONKPOS,DRAWDOWN,SGAS,WELLMODEL,DEPTH,CONJPOS,DATE,CONIPOS,SWAT,WELL,CONBPRES,CONIDX,PRESSURE
1,0,0.0,STANDARD,1641.094970703125,30,2018-01-01,22,0.05760246515274048,R_A2,300.6733093261719,1,300.6733093261719
2,0,0.0,STANDARD,1642.8890380859375,30,2018-01-01,22,0.05853121727705002,R_A2,300.7936096191406,2,300.7936096191406
3,0,0.0,STANDARD,1644.68310546875,30,2018-01-01,22,0.06116862595081329,R_A2,300.9139099121094,3,300.9139099121094
4,0,0.0,STANDARD,1646.4771728515625,30,2018-01-01,22,0.0663427859544754,R_A2,301.0342102050781,4,301.0342102050781
5,0,0.0,STANDARD,1648.2713623046875,30,2018-01-01,22,0.0687314122915268,R_A2,301.1545104980469,5,301.1545104980469
6,0,0.0,STANDARD,1650.0654296875,30,2018-01-01,22,0.3121729791164398,R_A2,301.27484130859375,6,301.27484130859375
7,0,0.0,STANDARD,1651.859619140625,30,2018-01-01,22,0.8978545665740967,R_A2,301.3951721191406,7,301.3951721191406
8,0,0.0,STANDARD,1653.6536865234375,30,2018-01-01,22,0.8618757724761963,R_A2,301.5154724121094,8,301.5154724121094
9,0,0.0,STANDARD,1655.44775390625,30,2018-01-01,22,0.9105261564254761,R_A2,301.63580322265625,9,301.63580322265625
10,0,0.0,STANDARD,1657.2418212890625,30,2018-01-01,22,0.9083951115608215,R_A2,301.7561340332031,10,301.7561340332031
11,0,0.0,STANDARD,1659.1368408203125,30,2018-01-01,22,0.07604346424341202,R_A2,301.88323974609375,11,301.88323974609375
12,0,0.0,STANDARD,1661.132568359375,30,2018-01-01,22,0.0789390504360199,R_A2,302.01708984375,12,302.01708984375
13,0,0.0,STANDARD,1663.12841796875,30,2018-01-01,22,0.44872841238975525,R_A2,302.1509704589844,13,302.1509704589844
14,0,0.0,STANDARD,1665.1241455078125,30,2018-01-01,22,0.5068296194076538,R_A2,302.28485107421875,14,302.28485107421875
15,0,0.0,STANDARD,1667.1199951171875,30,2018-01-01,22,0.6861860752105713,R_A2,302.4187316894531,15,302.4187316894531
16,0,0.0,STANDARD,1669.11572265625,30,2018-01-01,22,0.9714688062667847,R_A2,302.5526123046875,16,302.5526123046875
17,0,0.0,STANDARD,1671.111572265625,30,2018-01-01,22,0.948536217212677,R_A2,302.6864929199219,17,302.6864929199219
18,0,0.0,STANDARD,1672.9881591796875,30,2018-01-01,22,0.9796320199966431,R_A2,302.8123779296875,18,302.8123779296875
18,0,0.0,STANDARD,1674.229736328125,29,2018-01-01,22,0.9940532445907593,R_A2,302.89569091796875,19,302.89569091796875
27,0,0.0,STANDARD,1676.1676025390625,29,2018-01-01,22,0.6481541991233826,R_A2,303.02569580078125,20,303.02569580078125
28,0,0.0,STANDARD,1677.9368896484375,29,2018-01-01,22,1.0,R_A2,303.47802734375,21,303.47802734375
29,0,0.0,STANDARD,1679.7061767578125,29,2018-01-01,22,1.0,R_A2,303.64569091796875,22,303.64569091796875
30,0,0.0,STANDARD,1681.4754638671875,29,2018-01-01,22,1.0,R_A2,303.8133544921875,23,303.8133544921875
31,0,0.0,STANDARD,1683.2447509765625,29,2018-01-01,22,1.0,R_A2,303.98101806640625,24,303.98101806640625
1,0,0.0,STANDARD,1609.243408203125,41,2018-01-01,28,0.6481541991233826,R_A3,298.53814697265625,1,298.53814697265625
2,0,0.0,STANDARD,1611.3077392578125,41,2018-01-01,28,0.19803451001644135,R_A3,298.676513671875,2,298.676513671875
3,0,0.0,STANDARD,1613.3720703125,41,2018-01-01,28,0.19370174407958984,R_A3,298.8148498535156,3,298.8148498535156
4,0,0.0,STANDARD,1615.4365234375,41,2018-01-01,28,0.2555322051048279,R_A3,298.9532165527344,4,298.9532165527344
5,0,0.0,STANDARD,1617.5008544921875,41,2018-01-01,28,0.8283283710479736,R_A3,299.0915832519531,5,299.0915832519531
6,0,0.0,STANDARD,1619.565185546875,41,2018-01-01,28,0.6481541991233826,R_A3,299.2299499511719,6,299.2299499511719
6,0,0.0,STANDARD,1609.3663330078125,41,2018-01-01,29,0.6481541991233826,R_A3,298.54638671875,7,298.54638671875
7,0,0.0,STANDARD,1611.4163818359375,41,2018-01-01,29,0.19839943945407867,R_A3,298.68377685546875,8,298.68377685546875
8,0,0.0,STANDARD,1613.46630859375,41,2018-01-01,29,0.20012404024600983,R_A3,298.8211669921875,9,298.8211669921875
9,0,0.0,STANDARD,1615.516357421875,41,2018-01-01,29,0.8029430508613586,R_A3,298.95855712890625,10,298.95855712890625
10,0,0.0,STANDARD,1617.5662841796875,41,2018-01-01,29,0.8017147183418274,R_A3,299.095947265625,11,299.095947265625
11,0,0.0,STANDARD,1619.750732421875,41,2018-01-01,29,0.047662775963544846,R_A3,299.24237060546875,12,299.24237060546875
12,0,0.0,STANDARD,1622.0697021484375,41,2018-01-01,29,0.05465734004974365,R_A3,299.3978271484375,13,299.3978271484375
13,0,0.0,STANDARD,1624.388671875,41,2018-01-01,29,0.36961451172828674,R_A3,299.5532531738281,14,299.5532531738281
15,0,0.0,STANDARD,1629.026611328125,41,2018-01-01,29,0.40267708897590637,R_A3,299.8641662597656,15,299.8641662597656
16,0,0.0,STANDARD,1630.9468994140625,41,2018-01-01,29,0.814231276512146,R_A3,299.992919921875,16,299.992919921875
27,0,0.0,STANDARD,1633.5262451171875,41,2018-01-01,29,0.6481541991233826,R_A3,300.16583251953125,17,300.16583251953125
28,0,0.0,STANDARD,1637.1630859375,41,2018-01-01,29,0.04657479748129845,R_A3,300.40966796875,18,300.40966796875
29,0,0.0,STANDARD,1640.8001708984375,41,2018-01-01,29,0.05444984510540962,R_A3,300.6535339355469,19,300.6535339355469
30,0,0.0,STANDARD,1644.4371337890625,41,2018-01-01,29,1.0,R_A3,300.89739990234375,20,300.89739990234375
31,0,0.0,STANDARD,1648.0740966796875,41,2018-01-01,29,0.06235086917877197,R_A3,301.14129638671875,21,301.14129638671875
1,0,0.0,STANDARD,1631.1873779296875,52,2018-01-01,30,0.04969937726855278,R_A4,300.009033203125,1,300.009033203125
1,0,0.0,STANDARD,1627.4293212890625,52,2018-01-01,31,0.04972411319613457,R_A4,299.7571105957031,2,299.7571105957031
2,0,0.0,STANDARD,1629.4896240234375,52,2018-01-01,31,0.05124127119779587,R_A4,299.89520263671875,3,299.89520263671875
3,0,0.0,STANDARD,1631.5498046875,52,2018-01-01,31,0.05373745784163475,R_A4,300.0333251953125,4,300.0333251953125
4,0,0.0,STANDARD,1633.610107421875,52,2018-01-01,31,0.05840654298663139,R_A4,300.17144775390625,5,300.17144775390625
4,0,0.0,STANDARD,1632.3968505859375,52,2018-01-01,32,0.05641423910856247,R_A4,300.0901184082031,6,300.0901184082031
