ENSEMBLE,REAL,FIPNUM,STOIIP_OIL,ASSOCIATEDOIL_GAS,STOIIP_TOTAL,WATER_TOTAL,GIIP_GAS,ASSOCIATEDGAS_OIL,GIIP_TOTAL,PORV_TOTAL,HCPV_OIL,WATER_PORV,HCPV_GAS,HCPV_TOTAL,INTERPOLATE_RELPERM:INTERPOLATE_GO,INTERPOLATE_RELPERM:INTERPOLATE_WO,LOG10_MULTFLT:MULTFLT_F1,LOG10_MULTFLT:MULTFLT_F2,LOG10_MULTFLT:MULTFLT_F3,LOG10_MULTFLT:MULTFLT_F4,LOG10_MULTFLT:MULTFLT_F5,LOG10_MULTZ:MULTZ_MIDREEK,MULTFLT:MULTFLT_F1,MULTFLT:MULTFLT_F2,MULTFLT:MULTFLT_F3,MULTFLT:MULTFLT_F4,MULTFLT:MULTFLT_F5,MULTZ:MULTZ_MIDREEK,RMSGLOBPARAMS:COHIBA_MODEL_MODE,RMSGLOBPARAMS:FWL,INTERPOLATE_GO,INTERPOLATE_WO,MULTFLT_F1,MULTFLT_F2,MULTFLT_F3,MULTFLT_F4,MULTFLT_F5,MULTZ_MIDREEK,COHIBA_MODEL_MODE,FWL
iter-0,2,5,11830547.0,0,11830547.0,32157572.0,0.0,2176820694.0,2176820694.0,52006471.0,18868648.0,33137823.0,0.0,18868648.0,0.745325,0.652839,-0.921186,-2.3249,-1.89277,-2.7666,-0.669218,-0.527615,0.119899,0.00473258,0.0128005,0.00171159,0.214182,0.296746,1,1702.84,0.745325,0.652839,0.119899,0.00473258,0.0128005,0.00171159,0.214182,0.296746,1,1702.84
iter-0,2,6,0.0,0,0.0,43882121.0,0.0,0.0,0.0,45225924.0,0.0,45225924.0,0.0,0.0,0.745325,0.652839,-0.921186,-2.3249,-1.89277,-2.7666,-0.669218,-0.527615,0.119899,0.00473258,0.0128005,0.00171159,0.214182,0.296746,1,1702.84,0.745325,0.652839,0.119899,0.00473258,0.0128005,0.00171159,0.214182,0.296746,1,1702.84
iter-0,5,1,17359941.0,0,17359941.0,40738121.0,0.0,3194229125.0,3194229125.0,69678353.0,27692924.0,41985429.0,0.0,27692924.0,-0.239558,-0.549917,-1.45374,-4.43951,-1.99547,-3.42652,-4.38718,-0.583385,0.0351775,3.6349e-05,0.0101048,0.000374524,4.10038e-05,0.260985,1,1707.96,-0.239558,-0.549917,0.0351775,3.6349e-05,0.0101048,0.000374524,4.10038e-05,0.260985,1,1707.96
iter-0,5,2,0.0,0,0.0,65174147.0,0.0,0.0,0.0,67176727.0,0.0,67176727.0,0.0,0.0,-0.239558,-0.549917,-1.45374,-4.43951,-1.99547,-3.42652,-4.38718,-0.583385,0.0351775,3.6349e-05,0.0101048,0.000374524,4.10038e-05,0.260985,1,1707.96,-0.239558,-0.549917,0.0351775,3.6349e-05,0.0101048,0.000374524,4.10038e-05,0.260985,1,1707.96
iter-0,5,3,17324452.0,0,17324452.0,44600975.0,0.0,3187699149.0,3187699149.0,73595102.0,27630492.0,45964609.0,0.0,27630492.0,-0.239558,-0.549917,-1.45374,-4.43951,-1.99547,-3.42652,-4.38718,-0.583385,0.0351775,3.6349e-05,0.0101048,0.000374524,4.10038e-05,0.260985,1,1707.96,-0.239558,-0.549917,0.0351775,3.6349e-05,0.0101048,0.000374524,4.10038e-05,0.260985,1,1707.96
iter-0,5,4,0.0,0,0.0,75692816.0,0.0,0.0,0.0,78013481.0,0.0,78013481.0,0.0,0.0,-0.239558,-0.549917,-1.45374,-4.43951,-1.99547,-3.42652,-4.38718,-0.583385,0.0351775,3.6349e-05,0.0101048,0.000374524,4.10038e-05,0.260985,1,1707.96,-0.239558,-0.549917,0.0351775,3.6349e-05,0.0101048,0.000374524,4.10038e-05,0.260985,1,1707.96
iter-0,5,5,12191710.0,0,12191710.0,38708911.0,0.0,2243274715.0,2243274715.0,59333897.0,19442678.0,39891218.0,0.0,19442678.0,-0.239558,-0.549917,-1.45374,-4.43951,-1.99547,-3.42652,-4.38718,-0.583385,0.0351775,3.6349e-05,0.0101048,0.000374524,4.10038e-05,0.260985,1,1707.96,-0.239558,-0.549917,0.0351775,3.6349e-05,0.0101048,0.000374524,4.10038e-05,0.260985,1,1707.96
iter-0,5,6,0.0,0,0.0,50075593.0,0.0,0.0,0.0,51608176.0,0.0,51608176.0,0.0,0.0,-0.239558,-0.549917,-1.45374,-4.43951,-1.99547,-3.42652,-4.38718,-0.583385,0.0351775,3.6349e-05,0.0101048,0.000374524,4.10038e-05,0.260985,1,1707.96,-0.239558,-0.549917,0.0351775,3.6349e-05,0.0101048,0.000374524,4.10038e-05,0.260985,1,1707.96
iter-0,0,1,17052309.0,0,17052309.0,41815728.0,0.0,3137624822.0,3137624822.0,70299540.0,27203135.0,43096405.0,0.0,27203135.0,0.842532,-0.0558888,-0.0281363,-0.380878,-0.00315345,-3.50737,-2.52688,-3.89672,0.937268,0.416028,0.992765,0.000310908,0.00297247,0.000126847,1,1706.13,0.842532,-0.0558888,0.937268,0.416028,0.992765,0.000310908,0.00297247,0.000126847,1,1706.13
iter-0,0,2,0.0,0,0.0,69796727.0,0.0,0.0,0.0,71942390.0,0.0,71942390.0,0.0,0.0,0.842532,-0.0558888,-0.0281363,-0.380878,-0.00315345,-3.50737,-2.52688,-3.89672,0.937268,0.416028,0.992765,0.000310908,0.00297247,0.000126847,1,1706.13,0.842532,-0.0558888,0.937268,0.416028,0.992765,0.000310908,0.00297247,0.000126847,1,1706.13
iter-0,0,3,21617994.0,0,21617994.0,51758065.0,0.0,3977710940.0,3977710940.0,87817415.0,34478244.0,53339172.0,0.0,34478244.0,0.842532,-0.0558888,-0.0281363,-0.380878,-0.00315345,-3.50737,-2.52688,-3.89672,0.937268,0.416028,0.992765,0.000310908,0.00297247,0.000126847,1,1706.13,0.842532,-0.0558888,0.937268,0.416028,0.992765,0.000310908,0.00297247,0.000126847,1,1706.13
iter-0,0,4,0.0,0,0.0,67577112.0,0.0,0.0,0.0,69650080.0,0.0,69650080.0,0.0,0.0,0.842532,-0.0558888,-0.0281363,-0.380878,-0.00315345,-3.50737,-2.52688,-3.89672,0.937268,0.416028,0.992765,0.000310908,0.00297247,0.000126847,1,1706.13,0.842532,-0.0558888,0.937268,0.416028,0.992765,0.000310908,0.00297247,0.000126847,1,1706.13
