CONIDX,WELL,PRESSURE,DRAWDOWN,CONKPOS,SGAS,DEPTH,CONJPOS,CONIPOS,DATE,SWAT,WELLMODEL,CONBPRES
1,R_A2,300.6733093261719,0,1,0.0,1641.094970703125,30,22,2018-01-01,0.05673010274767876,STANDARD,300.6733093261719
2,R_A2,300.7936096191406,0,2,0.0,1642.8890380859375,30,22,2018-01-01,0.05777252838015556,STANDARD,300.7936096191406
3,R_A2,300.9139099121094,0,3,0.0,1644.68310546875,30,22,2018-01-01,0.060030754655599594,STANDARD,300.9139099121094
4,R_A2,301.0342102050781,0,4,0.0,1646.4771728515625,30,22,2018-01-01,0.06766234338283539,STANDARD,301.0342102050781
5,R_A2,301.1545104980469,0,5,0.0,1648.2713623046875,30,22,2018-01-01,0.06880508363246918,STANDARD,301.1545104980469
6,R_A2,301.27484130859375,0,6,0.0,1650.0654296875,30,22,2018-01-01,0.31025803089141846,STANDARD,301.27484130859375
7,R_A2,301.3951721191406,0,7,0.0,1651.859619140625,30,22,2018-01-01,0.891412079334259,STANDARD,301.3951721191406
8,R_A2,301.5154724121094,0,8,0.0,1653.6536865234375,30,22,2018-01-01,0.8774909377098083,STANDARD,301.5154724121094
9,R_A2,301.63580322265625,0,9,0.0,1655.44775390625,30,22,2018-01-01,0.9038383364677429,STANDARD,301.63580322265625
10,R_A2,301.7561340332031,0,10,0.0,1657.2418212890625,30,22,2018-01-01,0.9149646162986755,STANDARD,301.7561340332031
11,R_A2,301.88323974609375,0,11,0.0,1659.1368408203125,30,22,2018-01-01,0.07614300400018692,STANDARD,301.88323974609375
12,R_A2,302.01708984375,0,12,0.0,1661.132568359375,30,22,2018-01-01,0.07716154307126999,STANDARD,302.01708984375
13,R_A2,302.1509704589844,0,13,0.0,1663.12841796875,30,22,2018-01-01,0.4616602957248688,STANDARD,302.1509704589844
14,R_A2,302.28485107421875,0,14,0.0,1665.1241455078125,30,22,2018-01-01,0.5056487321853638,STANDARD,302.28485107421875
15,R_A2,302.4187316894531,0,15,0.0,1667.1199951171875,30,22,2018-01-01,0.6890329718589783,STANDARD,302.4187316894531
16,R_A2,302.5526123046875,0,16,0.0,1669.11572265625,30,22,2018-01-01,0.9704177379608154,STANDARD,302.5526123046875
17,R_A2,302.6864929199219,0,17,0.0,1671.111572265625,30,22,2018-01-01,0.949622392654419,STANDARD,302.6864929199219
18,R_A2,302.8123779296875,0,18,0.0,1672.9881591796875,30,22,2018-01-01,0.9828952550888062,STANDARD,302.8123779296875
19,R_A2,302.89569091796875,0,18,0.0,1674.229736328125,29,22,2018-01-01,0.9966256022453308,STANDARD,302.89569091796875
20,R_A2,302.963134765625,0,19,0.0,1675.235107421875,29,22,2018-01-01,1.0,STANDARD,302.963134765625
21,R_A2,303.02569580078125,0,27,0.0,1676.1676025390625,29,22,2018-01-01,1.0,STANDARD,303.02569580078125
22,R_A2,303.47802734375,0,28,0.0,1677.9368896484375,29,22,2018-01-01,1.0,STANDARD,303.47802734375
23,R_A2,303.64569091796875,0,29,0.0,1679.7061767578125,29,22,2018-01-01,1.0,STANDARD,303.64569091796875
24,R_A2,303.8133544921875,0,30,0.0,1681.4754638671875,29,22,2018-01-01,1.0,STANDARD,303.8133544921875
25,R_A2,303.98101806640625,0,31,0.0,1683.2447509765625,29,22,2018-01-01,1.0,STANDARD,303.98101806640625
1,R_A3,298.53814697265625,0,1,0.0,1609.243408203125,41,28,2018-01-01,0.6481541991233826,STANDARD,298.53814697265625
2,R_A3,298.676513671875,0,2,0.0,1611.3077392578125,41,28,2018-01-01,0.19717952609062195,STANDARD,298.676513671875
