order,utm_x,utm_y,measured_depth,true_vertical_depth,zone,pressure,swat,sgas,soil,valid_zone,is_active,i,j,k,well,time
0,460994.9,5933813.29,1697.9,1648.9,Valysar,298.46185302734375,0.0614575520157814,0.0,0.9385424479842186,True,True,21,29,2,R_A2,2018-03-01
0,462753.44,5932869.64,1673.4,1624.4,Therys,285.0035095214844,0.0538909025490284,0.0,0.9461090974509716,True,True,28,40,11,R_A3,2018-07-03
1,462753.44,5932869.64,1690.7,1641.7,Volon,284.486328125,0.0918496698141098,0.0,0.9081503301858902,True,True,28,40,31,R_A3,2018-07-03
0,464008.822,5931878.919,2578.7,1634.538,Valysar,278.885986328125,0.05423152074217796,0.0,0.945768479257822,True,True,31,50,1,R_A4,2018-09-12
1,464291.761,5932429.155,3197.5,1643.655,Volon,278.2377014160156,0.6502028107643127,0.0,0.34979718923568726,True,True,35,48,32,R_A4,2018-09-12
0,461519.21,5935692.65,1737.8,1688.8,Valysar,286.8697814941406,1.0,-3.444340992975192e-11,3.444340992975192e-11,True,True,30,19,2,R_A5,2018-04-28
1,461519.21,5935692.65,1769.1,1720.1,Volon,287.6558532714844,1.0,-2.090402097297897e-13,2.090402097297897e-13,True,True,30,20,30,R_A5,2018-04-28
0,461292.74,5931883.26,1759.9,1710.9,Therys,278.1055908203125,1.0,-1.3420227602811696e-11,1.3420227602811696e-11,True,True,16,41,10,R_A6,2018-11-07
1,461292.74,5931883.26,1777.4,1728.4,Volon,280.2500305175781,1.0,-9.320595375150384e-14,9.320595375150384e-14,True,True,16,41,30,R_A6,2018-11-07
