CONBPRES,WELLMODEL,CONIPOS,CONKPOS,CONJPOS,SGAS,DEPTH,DRAWDOWN,DATE,WELL,SWAT,PRESSURE,CONIDX
300.81048583984375,STANDARD,22,2,30,0.0,1641.586181640625,0,2018-01-01,R_A2,0.05492563918232918,300.81048583984375,2
300.930419921875,STANDARD,22,3,30,0.0,1643.3751220703125,0,2018-01-01,R_A2,0.058747585862874985,300.930419921875,3
301.0503845214844,STANDARD,22,4,30,0.0,1645.1639404296875,0,2018-01-01,R_A2,0.06273884326219559,301.0503845214844,4
301.17034912109375,STANDARD,22,5,30,0.0,1646.952880859375,0,2018-01-01,R_A2,0.06473157554864883,301.17034912109375,5
301.2903137207031,STANDARD,22,6,30,0.0,1648.74169921875,0,2018-01-01,R_A2,0.30470505356788635,301.2903137207031,6
301.4102783203125,STANDARD,22,7,30,0.0,1650.5306396484375,0,2018-01-01,R_A2,0.8756157159805298,301.4102783203125,7
301.5302429199219,STANDARD,22,8,30,0.0,1652.319580078125,0,2018-01-01,R_A2,0.8483256697654724,301.5302429199219,8
301.6502380371094,STANDARD,22,9,30,0.0,1654.1083984375,0,2018-01-01,R_A2,0.8794441223144531,301.6502380371094,9
301.77020263671875,STANDARD,22,10,30,0.0,1655.897216796875,0,2018-01-01,R_A2,0.8884927034378052,301.77020263671875,10
301.8959655761719,STANDARD,22,11,30,0.0,1657.7723388671875,0,2018-01-01,R_A2,0.06873221695423126,301.8959655761719,11
302.1590881347656,STANDARD,22,13,30,0.0,1661.6949462890625,0,2018-01-01,R_A2,0.42208918929100037,302.1590881347656,12
302.2906494140625,STANDARD,22,14,30,0.0,1663.65625,0,2018-01-01,R_A2,0.4569806456565857,302.2906494140625,13
302.4222106933594,STANDARD,22,15,30,0.0,1665.6175537109375,0,2018-01-01,R_A2,0.6277018785476685,302.4222106933594,14
302.55377197265625,STANDARD,22,16,30,0.0,1667.578857421875,0,2018-01-01,R_A2,0.9182261228561401,302.55377197265625,15
302.68536376953125,STANDARD,22,17,30,0.0,1669.5401611328125,0,2018-01-01,R_A2,0.8643441200256348,302.68536376953125,16
302.897216796875,STANDARD,22,17,29,0.0,1672.6983642578125,0,2018-01-01,R_A2,0.9317843317985535,302.897216796875,17
303.0260009765625,STANDARD,22,18,29,0.0,1674.61767578125,0,2018-01-01,R_A2,0.9654625058174133,303.0260009765625,18
303.0889892578125,STANDARD,22,19,29,0.0,1675.556640625,0,2018-01-01,R_A2,0.9664455056190491,303.0889892578125,19
303.1519775390625,STANDARD,22,28,29,0.0,1676.495361328125,0,2018-01-01,R_A2,1.0,303.1519775390625,20
303.2684631347656,STANDARD,22,29,29,0.0,1678.2315673828125,0,2018-01-01,R_A2,1.0,303.2684631347656,21
303.38494873046875,STANDARD,22,30,29,0.0,1679.9677734375,0,2018-01-01,R_A2,0.6481541991233826,303.38494873046875,22
303.83502197265625,STANDARD,22,31,29,0.0,1681.703857421875,0,2018-01-01,R_A2,1.0,303.83502197265625,23
303.9995422363281,STANDARD,22,32,29,0.0,1683.4400634765625,0,2018-01-01,R_A2,1.0,303.9995422363281,24
298.6233215332031,STANDARD,28,1,41,0.0,1608.9599609375,0,2018-01-01,R_A3,0.320067822933197,298.6233215332031,1
298.7584228515625,STANDARD,28,2,41,0.0,1610.9754638671875,0,2018-01-01,R_A3,0.1124914288520813,298.7584228515625,2
298.89349365234375,STANDARD,28,3,41,0.0,1612.990966796875,0,2018-01-01,R_A3,0.11276132613420486,298.89349365234375,3
299.028564453125,STANDARD,28,4,41,0.0,1615.0064697265625,0,2018-01-01,R_A3,0.09766092151403427,299.028564453125,4
298.42950439453125,STANDARD,29,4,41,0.0,1606.06787109375,0,2018-01-01,R_A3,0.1560588926076889,298.42950439453125,5
298.56829833984375,STANDARD,29,5,41,0.0,1608.138671875,0,2018-01-01,R_A3,0.8033238053321838,298.56829833984375,6
298.7070617675781,STANDARD,29,6,41,0.0,1610.20947265625,0,2018-01-01,R_A3,0.6481541991233826,298.7070617675781,7
298.8458557128906,STANDARD,29,7,41,0.0,1612.2802734375,0,2018-01-01,R_A3,0.19496415555477142,298.8458557128906,8
298.9846496582031,STANDARD,29,8,41,0.0,1614.35107421875,0,2018-01-01,R_A3,0.19386783242225647,298.9846496582031,9
299.1234436035156,STANDARD,29,9,41,0.0,1616.421875,0,2018-01-01,R_A3,0.8002451062202454,299.1234436035156,10
299.2622375488281,STANDARD,29,10,41,0.0,1618.49267578125,0,2018-01-01,R_A3,0.7919566035270691,299.2622375488281,11
299.4093933105469,STANDARD,29,11,41,0.0,1620.68798828125,0,2018-01-01,R_A3,0.04794221371412277,299.4093933105469,12
299.56488037109375,STANDARD,29,12,41,0.0,1623.0076904296875,0,2018-01-01,R_A3,0.05453811585903168,299.56488037109375,13
299.72039794921875,STANDARD,29,13,41,0.0,1625.3275146484375,0,2018-01-01,R_A3,0.3676241934299469,299.72039794921875,14
299.87591552734375,STANDARD,29,14,41,0.0,1627.6473388671875,0,2018-01-01,R_A3,0.0561104491353035,299.87591552734375,15
300.03143310546875,STANDARD,29,15,41,0.0,1629.967041015625,0,2018-01-01,R_A3,0.4383840560913086,300.03143310546875,16
300.1562194824219,STANDARD,29,16,41,0.0,1631.8284912109375,0,2018-01-01,R_A3,0.8011866807937622,300.1562194824219,17
300.3229064941406,STANDARD,29,28,41,0.0,1634.3145751953125,0,2018-01-01,R_A3,1.0,300.3229064941406,18
300.56219482421875,STANDARD,29,29,41,0.0,1637.8836669921875,0,2018-01-01,R_A3,0.04487505555152893,300.56219482421875,19
300.801513671875,STANDARD,29,30,41,0.0,1641.45263671875,0,2018-01-01,R_A3,0.07868002355098724,300.801513671875,20
301.04083251953125,STANDARD,29,31,41,0.0,1645.0216064453125,0,2018-01-01,R_A3,1.0,301.04083251953125,21
301.2801818847656,STANDARD,29,32,41,0.0,1648.5906982421875,0,2018-01-01,R_A3,0.1810697615146637,301.2801818847656,22
300.0356140136719,STANDARD,30,1,52,0.0,1630.0294189453125,0,2018-01-01,R_A4,0.0486903190612793,300.0356140136719,1
299.7450866699219,STANDARD,31,1,52,0.0,1625.695556640625,0,2018-01-01,R_A4,0.047063734382390976,299.7450866699219,2
299.87945556640625,STANDARD,31,2,52,0.0,1627.7000732421875,0,2018-01-01,R_A4,0.05043478310108185,299.87945556640625,3
300.01385498046875,STANDARD,31,3,52,0.0,1629.70458984375,0,2018-01-01,R_A4,0.049993276596069336,300.01385498046875,4
300.1482238769531,STANDARD,31,4,52,0.0,1631.709228515625,0,2018-01-01,R_A4,0.051397085189819336,300.1482238769531,5
300.2826232910156,STANDARD,31,5,52,0.0,1633.7137451171875,0,2018-01-01,R_A4,0.05410156399011612,300.2826232910156,6
300.1799621582031,STANDARD,32,5,52,0.0,1632.1826171875,0,2018-01-01,R_A4,0.05366887152194977,300.1799621582031,7
300.4447937011719,STANDARD,32,5,51,0.0,1636.1326904296875,0,2018-01-01,R_A4,0.0543997585773468,300.4447937011719,8
300.3282775878906,STANDARD,32,4,51,0.0,1634.3946533203125,0,2018-01-01,R_A4,0.05454655736684799,300.3282775878906,9
300.474853515625,STANDARD,33,4,51,0.0,1636.5809326171875,0,2018-01-01,R_A4,0.07639145106077194,300.474853515625,10
300.9346618652344,STANDARD,33,4,50,0.0,1643.43798828125,0,2018-01-01,R_A4,0.2659951448440552,300.9346618652344,11
300.749267578125,STANDARD,34,4,50,0.0,1640.6732177734375,0,2018-01-01,R_A4,0.261117160320282,300.749267578125,12
300.70660400390625,STANDARD,35,4,50,0.0,1640.037109375,0,2018-01-01,R_A4,0.29518064856529236,300.70660400390625,13
300.58953857421875,STANDARD,35,3,50,0.0,1638.2913818359375,0,2018-01-01,R_A4,0.22078411281108856,300.58953857421875,14
300.60223388671875,STANDARD,35,31,49,0.0,1638.480712890625,0,2018-01-01,R_A4,0.05160998925566673,300.60223388671875,15
300.8782653808594,STANDARD,36,31,49,0.0,1642.5970458984375,0,2018-01-01,R_A4,0.3573092520236969,300.8782653808594,16
300.8828430175781,STANDARD,36,31,48,0.0,1642.6656494140625,0,2018-01-01,R_A4,0.055490732192993164,300.8828430175781,17
301.3287048339844,STANDARD,37,31,48,0.0,1649.3140869140625,0,2018-01-01,R_A4,0.6481541991233826,301.3287048339844,18
300.94232177734375,STANDARD,37,30,48,0.0,1643.5526123046875,0,2018-01-01,R_A4,0.6481541991233826,300.94232177734375,19
301.4859313964844,STANDARD,38,30,48,0.0,1651.658447265625,0,2018-01-01,R_A4,0.6481541991233826,301.4859313964844,20
302.0294494628906,STANDARD,38,30,47,0.0,1659.7620849609375,0,2018-01-01,R_A4,0.26532793045043945,302.0294494628906,21
301.6325988769531,STANDARD,38,29,47,0.0,1653.8455810546875,0,2018-01-01,R_A4,0.06044381111860275,301.6325988769531,22
303.8973388671875,STANDARD,31,1,20,0.0,1685.588623046875,0,2018-01-01,R_A5,1.0,303.8973388671875,1
304.09442138671875,STANDARD,31,2,20,0.0,1687.668212890625,0,2018-01-01,R_A5,1.0,304.09442138671875,2
304.2914733886719,STANDARD,31,3,20,0.0,1689.747802734375,0,2018-01-01,R_A5,1.0,304.2914733886719,3
304.4885559082031,STANDARD,31,4,20,0.0,1691.8272705078125,0,2018-01-01,R_A5,1.0,304.4885559082031,4
304.68560791015625,STANDARD,31,5,20,0.0,1693.9068603515625,0,2018-01-01,R_A5,1.0,304.68560791015625,5
304.8826904296875,STANDARD,31,6,20,0.0,1695.986328125,0,2018-01-01,R_A5,1.0,304.8826904296875,6
305.38555908203125,STANDARD,31,7,20,0.0,1698.06591796875,0,2018-01-01,R_A5,1.0,305.38555908203125,7
305.23626708984375,STANDARD,31,11,21,0.0,1699.7159423828125,0,2018-01-01,R_A5,1.0,305.23626708984375,8
305.4278564453125,STANDARD,31,12,21,0.0,1701.7379150390625,0,2018-01-01,R_A5,1.0,305.4278564453125,9
305.6314392089844,STANDARD,31,13,21,0.0,1703.759765625,0,2018-01-01,R_A5,1.0,305.6314392089844,10
305.82305908203125,STANDARD,31,14,21,0.0,1705.7816162109375,0,2018-01-01,R_A5,1.0,305.82305908203125,11
306.0146789550781,STANDARD,31,15,21,0.0,1707.8035888671875,0,2018-01-01,R_A5,1.0,306.0146789550781,12
306.351318359375,STANDARD,31,16,21,0.0,1709.825439453125,0,2018-01-01,R_A5,1.0,306.351318359375,13
306.5429382324219,STANDARD,31,17,21,0.0,1711.8472900390625,0,2018-01-01,R_A5,1.0,306.5429382324219,14
306.6976318359375,STANDARD,31,18,21,0.0,1713.479736328125,0,2018-01-01,R_A5,1.0,306.6976318359375,15
306.78045654296875,STANDARD,31,19,21,0.0,1714.353515625,0,2018-01-01,R_A5,1.0,306.78045654296875,16
307.07427978515625,STANDARD,31,28,21,0.0,1715.885009765625,0,2018-01-01,R_A5,1.0,307.07427978515625,17
306.9863586425781,STANDARD,31,29,21,0.0,1718.1837158203125,0,2018-01-01,R_A5,1.0,306.9863586425781,18
307.510009765625,STANDARD,31,30,21,0.0,1720.482421875,0,2018-01-01,R_A5,1.0,307.510009765625,19
307.7278747558594,STANDARD,31,31,21,0.0,1722.7811279296875,0,2018-01-01,R_A5,1.0,307.7278747558594,20
307.94573974609375,STANDARD,31,32,21,0.0,1725.079833984375,0,2018-01-01,R_A5,1.0,307.94573974609375,21
305.11859130859375,STANDARD,17,1,42,0.0,1695.248779296875,0,2018-01-01,R_A6,1.0,305.11859130859375,1
305.26568603515625,STANDARD,17,2,42,0.0,1696.80126953125,0,2018-01-01,R_A6,1.0,305.26568603515625,2
305.4128112792969,STANDARD,17,3,42,0.0,1698.3536376953125,0,2018-01-01,R_A6,1.0,305.4128112792969,3
305.5599365234375,STANDARD,17,4,42,0.0,1699.9061279296875,0,2018-01-01,R_A6,1.0,305.5599365234375,4
305.7070617675781,STANDARD,17,5,42,0.0,1701.45849609375,0,2018-01-01,R_A6,1.0,305.7070617675781,5
305.5551452636719,STANDARD,17,6,42,0.0,1703.010986328125,0,2018-01-01,R_A6,1.0,305.5551452636719,6
305.7022705078125,STANDARD,17,7,42,0.0,1704.5634765625,0,2018-01-01,R_A6,1.0,305.7022705078125,7
305.8493957519531,STANDARD,17,8,42,0.0,1706.1158447265625,0,2018-01-01,R_A6,1.0,305.8493957519531,8
306.2955627441406,STANDARD,17,9,42,0.0,1707.668212890625,0,2018-01-01,R_A6,1.0,306.2955627441406,9
306.13690185546875,STANDARD,17,10,42,0.0,1709.220703125,0,2018-01-01,R_A6,1.0,306.13690185546875,10
306.3165283203125,STANDARD,17,11,42,0.0,1711.11474609375,0,2018-01-01,R_A6,1.0,306.3165283203125,11
306.52838134765625,STANDARD,17,12,42,0.0,1713.3502197265625,0,2018-01-01,R_A6,1.0,306.52838134765625,12
306.7522277832031,STANDARD,17,13,42,0.0,1715.585693359375,0,2018-01-01,R_A6,1.0,306.7522277832031,13
306.9640808105469,STANDARD,17,14,42,0.0,1717.8212890625,0,2018-01-01,R_A6,1.0,306.9640808105469,14
307.17596435546875,STANDARD,17,15,42,0.0,1720.0567626953125,0,2018-01-01,R_A6,1.0,307.17596435546875,15
307.5328369140625,STANDARD,17,16,42,0.0,1722.292236328125,0,2018-01-01,R_A6,1.0,307.5328369140625,16
307.7447204589844,STANDARD,17,17,42,0.0,1724.5277099609375,0,2018-01-01,R_A6,1.0,307.7447204589844,17
