WELLMODEL,DEPTH,PRESSURE,CONBPRES,SWAT,CONIDX,DATE,CONKPOS,CONJPOS,WELL,DRAWDOWN,CONIPOS,SGAS
STANDARD,1640.4217529296875,300.74151611328125,300.74151611328125,0.052556127309799194,1,2018-01-01,1,30,R_A2,0,22,0.0
STANDARD,1642.19482421875,300.86041259765625,300.86041259765625,0.05466296523809433,2,2018-01-01,2,30,R_A2,0,22,0.0
STANDARD,1643.9678955078125,300.97930908203125,300.97930908203125,0.05800243094563484,3,2018-01-01,3,30,R_A2,0,22,0.0
STANDARD,1645.7408447265625,301.09820556640625,301.09820556640625,0.06223931163549423,4,2018-01-01,4,30,R_A2,0,22,0.0
STANDARD,1647.513916015625,301.21710205078125,301.21710205078125,0.06656188517808914,5,2018-01-01,5,30,R_A2,0,22,0.0
STANDARD,1649.2869873046875,301.33599853515625,301.33599853515625,0.3158983290195465,6,2018-01-01,6,30,R_A2,0,22,0.0
STANDARD,1651.06005859375,301.4549255371094,301.4549255371094,0.8740306496620178,7,2018-01-01,7,30,R_A2,0,22,0.0
STANDARD,1652.8331298828125,301.5738220214844,301.5738220214844,0.8527714610099792,8,2018-01-01,8,30,R_A2,0,22,0.0
STANDARD,1654.606201171875,301.6927490234375,301.6927490234375,0.8822517395019531,9,2018-01-01,9,30,R_A2,0,22,0.0
STANDARD,1656.379150390625,301.8116760253906,301.8116760253906,0.8929389715194702,10,2018-01-01,10,30,R_A2,0,22,0.0
STANDARD,1658.274169921875,301.9387512207031,301.9387512207031,0.06793873757123947,11,2018-01-01,11,30,R_A2,0,22,0.0
STANDARD,1660.2911376953125,302.0740661621094,302.0740661621094,0.06940862536430359,12,2018-01-01,12,30,R_A2,0,22,0.0
STANDARD,1662.30810546875,302.2093505859375,302.2093505859375,0.43424397706985474,13,2018-01-01,13,30,R_A2,0,22,0.0
STANDARD,1664.3250732421875,302.3446350097656,302.3446350097656,0.46439501643180847,14,2018-01-01,14,30,R_A2,0,22,0.0
STANDARD,1666.342041015625,302.4799499511719,302.4799499511719,0.9007901549339294,15,2018-01-01,15,30,R_A2,0,22,0.0
STANDARD,1668.3590087890625,302.615234375,302.615234375,0.9240277409553528,16,2018-01-01,16,30,R_A2,0,22,0.0
STANDARD,1670.3759765625,302.75054931640625,302.75054931640625,0.8862737417221069,17,2018-01-01,17,30,R_A2,0,22,0.0
STANDARD,1672.686279296875,302.9055480957031,302.9055480957031,0.8972694873809814,18,2018-01-01,17,29,R_A2,0,22,0.0
STANDARD,1674.6446533203125,303.03692626953125,303.03692626953125,0.9611338973045349,19,2018-01-01,18,29,R_A2,0,22,0.0
STANDARD,1676.498046875,303.1612854003906,303.1612854003906,1.0,20,2018-01-01,26,29,R_A2,0,22,0.0
STANDARD,1678.2696533203125,303.2801513671875,303.2801513671875,1.0,21,2018-01-01,27,29,R_A2,0,22,0.0
