DEPTH,SGAS,CONKPOS,WELL,CONIDX,CONBPRES,CONJPOS,CONIPOS,DRAWDOWN,DATE,PRESSURE,WELLMODEL,SWAT
1640.83056640625,0.0,1,R_A2,1,300.7462463378906,30,22,0,2018-01-01,300.7462463378906,STANDARD,0.08355353772640228
1642.6260986328125,0.0,2,R_A2,2,300.8666687011719,30,22,0,2018-01-01,300.8666687011719,STANDARD,0.06990142166614532
1644.421630859375,0.0,3,R_A2,3,300.987060546875,30,22,0,2018-01-01,300.987060546875,STANDARD,0.05939796566963196
1646.21728515625,0.0,4,R_A2,4,301.10748291015625,30,22,0,2018-01-01,301.10748291015625,STANDARD,0.06533577293157578
1648.0128173828125,0.0,5,R_A2,5,301.2278747558594,30,22,0,2018-01-01,301.2278747558594,STANDARD,0.28183454275131226
1649.808349609375,0.0,6,R_A2,6,301.3482971191406,30,22,0,2018-01-01,301.3482971191406,STANDARD,0.6776776313781738
1651.6038818359375,0.0,7,R_A2,7,301.4687194824219,30,22,0,2018-01-01,301.4687194824219,STANDARD,0.8739922642707825
1653.3995361328125,0.0,8,R_A2,8,301.5891418457031,30,22,0,2018-01-01,301.5891418457031,STANDARD,0.855033278465271
1655.195068359375,0.0,9,R_A2,9,301.7095642089844,30,22,0,2018-01-01,301.7095642089844,STANDARD,0.8979904055595398
1656.99072265625,0.0,10,R_A2,10,301.8299865722656,30,22,0,2018-01-01,301.8299865722656,STANDARD,0.907824695110321
1658.94580078125,0.0,11,R_A2,11,301.96112060546875,30,22,0,2018-01-01,301.96112060546875,STANDARD,0.070256806910038
1663.1749267578125,0.0,13,R_A2,12,302.24481201171875,30,22,0,2018-01-01,302.24481201171875,STANDARD,0.434742271900177
1665.28955078125,0.0,14,R_A2,13,302.38665771484375,30,22,0,2018-01-01,302.38665771484375,STANDARD,0.4824405014514923
1667.404052734375,0.0,15,R_A2,14,302.52850341796875,30,22,0,2018-01-01,302.52850341796875,STANDARD,0.9191980361938477
1669.5186767578125,0.0,16,R_A2,15,302.67034912109375,30,22,0,2018-01-01,302.67034912109375,STANDARD,0.9424869418144226
1671.6331787109375,0.0,17,R_A2,16,302.8122253417969,30,22,0,2018-01-01,302.8122253417969,STANDARD,0.9071839451789856
1673.44580078125,0.0,18,R_A2,17,302.933837890625,30,22,0,2018-01-01,302.933837890625,STANDARD,0.9628251791000366
1675.37744140625,0.0,25,R_A2,18,303.06341552734375,30,22,0,2018-01-01,303.06341552734375,STANDARD,0.721078097820282
1677.2376708984375,0.0,26,R_A2,19,303.188232421875,30,22,0,2018-01-01,303.188232421875,STANDARD,1.0
1679.62939453125,0.0,26,R_A2,20,303.34869384765625,29,22,0,2018-01-01,303.34869384765625,STANDARD,1.0
1681.3636474609375,0.0,27,R_A2,21,303.8027648925781,29,22,0,2018-01-01,303.8027648925781,STANDARD,1.0
1683.097900390625,0.0,28,R_A2,22,303.96710205078125,29,22,0,2018-01-01,303.96710205078125,STANDARD,1.0
1684.83203125,0.0,29,R_A2,23,304.1314392089844,29,22,0,2018-01-01,304.1314392089844,STANDARD,1.0
1600.33056640625,0.0,1,R_A3,1,298.0315246582031,41,29,0,2018-01-01,298.0315246582031,STANDARD,0.6481541991233826
1602.4554443359375,0.0,2,R_A3,2,298.17388916015625,41,29,0,2018-01-01,298.17388916015625,STANDARD,0.15230150520801544
1604.580322265625,0.0,3,R_A3,3,298.3162841796875,41,29,0,2018-01-01,298.3162841796875,STANDARD,0.11823459714651108
1606.7052001953125,0.0,4,R_A3,4,298.45867919921875,41,29,0,2018-01-01,298.45867919921875,STANDARD,0.15544836223125458
1608.830078125,0.0,5,R_A3,5,298.60107421875,41,29,0,2018-01-01,298.60107421875,STANDARD,0.6481541991233826
1610.9549560546875,0.0,6,R_A3,6,298.7434997558594,41,29,0,2018-01-01,298.7434997558594,STANDARD,0.6481541991233826
1613.079833984375,0.0,7,R_A3,7,298.8858947753906,41,29,0,2018-01-01,298.8858947753906,STANDARD,0.19627594947814941
1615.2047119140625,0.0,8,R_A3,8,299.0283203125,41,29,0,2018-01-01,299.0283203125,STANDARD,0.19610393047332764
1617.3294677734375,0.0,9,R_A3,9,299.1707458496094,41,29,0,2018-01-01,299.1707458496094,STANDARD,0.7972212433815002
1619.454345703125,0.0,10,R_A3,10,299.31317138671875,41,29,0,2018-01-01,299.31317138671875,STANDARD,0.6481541991233826
1621.6612548828125,0.0,11,R_A3,11,299.4610900878906,41,29,0,2018-01-01,299.4610900878906,STANDARD,0.04901159182190895
1623.9503173828125,0.0,12,R_A3,12,299.6145324707031,41,29,0,2018-01-01,299.6145324707031,STANDARD,0.055366016924381256
1626.2393798828125,0.0,13,R_A3,13,299.76800537109375,41,29,0,2018-01-01,299.76800537109375,STANDARD,0.36767175793647766
1628.5284423828125,0.0,14,R_A3,14,299.92144775390625,41,29,0,2018-01-01,299.92144775390625,STANDARD,0.2230851948261261
1630.8175048828125,0.0,15,R_A3,15,300.07489013671875,41,29,0,2018-01-01,300.07489013671875,STANDARD,0.4383087754249573
1632.6348876953125,0.0,16,R_A3,16,300.1967468261719,41,29,0,2018-01-01,300.1967468261719,STANDARD,0.8065418601036072
1635.07568359375,0.0,25,R_A3,17,300.3603820800781,41,29,0,2018-01-01,300.3603820800781,STANDARD,1.0
1638.603271484375,0.0,26,R_A3,18,300.596923828125,41,29,0,2018-01-01,300.596923828125,STANDARD,0.04350617155432701
1642.1307373046875,0.0,27,R_A3,19,300.83343505859375,41,29,0,2018-01-01,300.83343505859375,STANDARD,0.04897690564393997
1645.658203125,0.0,28,R_A3,20,301.0699768066406,41,29,0,2018-01-01,301.0699768066406,STANDARD,0.6481541991233826
1649.185791015625,0.0,29,R_A3,21,301.3065490722656,41,29,0,2018-01-01,301.3065490722656,STANDARD,0.06127362698316574
