SGAS,WELLMODEL,DEPTH,CONKPOS,CONJPOS,CONIDX,WELL,DRAWDOWN,DATE,CONIPOS,PRESSURE,CONBPRES,SWAT
0.0,STANDARD,1641.094970703125,1,30,1,R_A2,0,2018-01-01,22,300.6733093261719,300.6733093261719,0.056692592799663544
0.0,STANDARD,1642.8890380859375,2,30,2,R_A2,0,2018-01-01,22,300.7936096191406,300.7936096191406,0.05867929756641388
0.0,STANDARD,1644.68310546875,3,30,3,R_A2,0,2018-01-01,22,300.9139099121094,300.9139099121094,0.061895012855529785
0.0,STANDARD,1646.4771728515625,4,30,4,R_A2,0,2018-01-01,22,301.0342102050781,301.0342102050781,0.06773295253515244
0.0,STANDARD,1648.2713623046875,5,30,5,R_A2,0,2018-01-01,22,301.1545104980469,301.1545104980469,0.07102545350790024
0.0,STANDARD,1650.0654296875,6,30,6,R_A2,0,2018-01-01,22,301.27484130859375,301.27484130859375,0.32000941038131714
0.0,STANDARD,1651.859619140625,7,30,7,R_A2,0,2018-01-01,22,301.3951721191406,301.3951721191406,0.8964528441429138
0.0,STANDARD,1653.6536865234375,8,30,8,R_A2,0,2018-01-01,22,301.5154724121094,301.5154724121094,0.721605658531189
0.0,STANDARD,1655.44775390625,9,30,9,R_A2,0,2018-01-01,22,301.63580322265625,301.63580322265625,0.8981422781944275
0.0,STANDARD,1657.2418212890625,10,30,10,R_A2,0,2018-01-01,22,301.7561340332031,301.7561340332031,0.9288972020149231
0.0,STANDARD,1659.1368408203125,11,30,11,R_A2,0,2018-01-01,22,301.88323974609375,301.88323974609375,0.0764261856675148
0.0,STANDARD,1661.132568359375,12,30,12,R_A2,0,2018-01-01,22,302.01708984375,302.01708984375,0.07991793006658554
0.0,STANDARD,1663.12841796875,13,30,13,R_A2,0,2018-01-01,22,302.1509704589844,302.1509704589844,0.44190388917922974
0.0,STANDARD,1665.1241455078125,14,30,14,R_A2,0,2018-01-01,22,302.28485107421875,302.28485107421875,0.5030866861343384
0.0,STANDARD,1667.1199951171875,15,30,15,R_A2,0,2018-01-01,22,302.4187316894531,302.4187316894531,0.6875477433204651
0.0,STANDARD,1669.11572265625,16,30,16,R_A2,0,2018-01-01,22,302.5526123046875,302.5526123046875,0.9696621894836426
0.0,STANDARD,1671.111572265625,17,30,17,R_A2,0,2018-01-01,22,302.6864929199219,302.6864929199219,0.9681722521781921
0.0,STANDARD,1672.9881591796875,18,30,18,R_A2,0,2018-01-01,22,302.8123779296875,302.8123779296875,0.988319993019104
0.0,STANDARD,1674.229736328125,18,29,19,R_A2,0,2018-01-01,22,302.89569091796875,302.89569091796875,0.9956573843955994
0.0,STANDARD,1676.1676025390625,27,29,20,R_A2,0,2018-01-01,22,303.02569580078125,303.02569580078125,1.0
0.0,STANDARD,1677.9368896484375,28,29,21,R_A2,0,2018-01-01,22,303.47802734375,303.47802734375,1.0
0.0,STANDARD,1679.7061767578125,29,29,22,R_A2,0,2018-01-01,22,303.64569091796875,303.64569091796875,1.0
0.0,STANDARD,1681.4754638671875,30,29,23,R_A2,0,2018-01-01,22,303.8133544921875,303.8133544921875,1.0
0.0,STANDARD,1683.2447509765625,31,29,24,R_A2,0,2018-01-01,22,303.98101806640625,303.98101806640625,1.0
0.0,STANDARD,1609.243408203125,1,41,1,R_A3,0,2018-01-01,28,298.53814697265625,298.53814697265625,0.6481541991233826
0.0,STANDARD,1611.3077392578125,2,41,2,R_A3,0,2018-01-01,28,298.676513671875,298.676513671875,0.19344687461853027
0.0,STANDARD,1613.3720703125,3,41,3,R_A3,0,2018-01-01,28,298.8148498535156,298.8148498535156,0.19432701170444489
0.0,STANDARD,1615.4365234375,4,41,4,R_A3,0,2018-01-01,28,298.9532165527344,298.9532165527344,0.24996744096279144
0.0,STANDARD,1617.5008544921875,5,41,5,R_A3,0,2018-01-01,28,299.0915832519531,299.0915832519531,0.6481541991233826
0.0,STANDARD,1619.565185546875,6,41,6,R_A3,0,2018-01-01,28,299.2299499511719,299.2299499511719,0.1498473584651947
0.0,STANDARD,1609.3663330078125,6,41,7,R_A3,0,2018-01-01,29,298.54638671875,298.54638671875,0.2754424512386322
0.0,STANDARD,1611.4163818359375,7,41,8,R_A3,0,2018-01-01,29,298.68377685546875,298.68377685546875,0.19882161915302277
0.0,STANDARD,1613.46630859375,8,41,9,R_A3,0,2018-01-01,29,298.8211669921875,298.8211669921875,0.1460786610841751
0.0,STANDARD,1615.516357421875,9,41,10,R_A3,0,2018-01-01,29,298.95855712890625,298.95855712890625,0.6481541991233826
0.0,STANDARD,1617.5662841796875,10,41,11,R_A3,0,2018-01-01,29,299.095947265625,299.095947265625,0.8030344843864441
0.0,STANDARD,1619.750732421875,11,41,12,R_A3,0,2018-01-01,29,299.24237060546875,299.24237060546875,0.04831019043922424
0.0,STANDARD,1622.0697021484375,12,41,13,R_A3,0,2018-01-01,29,299.3978271484375,299.3978271484375,0.053891588002443314
0.0,STANDARD,1624.388671875,13,41,14,R_A3,0,2018-01-01,29,299.5532531738281,299.5532531738281,0.37262097001075745
0.0,STANDARD,1626.707763671875,14,41,15,R_A3,0,2018-01-01,29,299.7087097167969,299.7087097167969,0.3456023037433624
0.0,STANDARD,1629.026611328125,15,41,16,R_A3,0,2018-01-01,29,299.8641662597656,299.8641662597656,0.49332767724990845
0.0,STANDARD,1630.9468994140625,16,41,17,R_A3,0,2018-01-01,29,299.992919921875,299.992919921875,0.8019264936447144
0.0,STANDARD,1633.5262451171875,27,41,18,R_A3,0,2018-01-01,29,300.16583251953125,300.16583251953125,0.6481541991233826
0.0,STANDARD,1637.1630859375,28,41,19,R_A3,0,2018-01-01,29,300.40966796875,300.40966796875,0.04582946002483368
0.0,STANDARD,1640.8001708984375,29,41,20,R_A3,0,2018-01-01,29,300.6535339355469,300.6535339355469,0.05228268727660179
0.0,STANDARD,1644.4371337890625,30,41,21,R_A3,0,2018-01-01,29,300.89739990234375,300.89739990234375,0.6481541991233826
0.0,STANDARD,1648.0740966796875,31,41,22,R_A3,0,2018-01-01,29,301.14129638671875,301.14129638671875,0.06127921864390373
0.0,STANDARD,1631.1873779296875,1,52,1,R_A4,0,2018-01-01,30,300.009033203125,300.009033203125,0.05178655683994293
0.0,STANDARD,1627.4293212890625,1,52,2,R_A4,0,2018-01-01,31,299.7571105957031,299.7571105957031,0.050683874636888504
0.0,STANDARD,1629.4896240234375,2,52,3,R_A4,0,2018-01-01,31,299.89520263671875,299.89520263671875,0.051592472940683365
0.0,STANDARD,1631.5498046875,3,52,4,R_A4,0,2018-01-01,31,300.0333251953125,300.0333251953125,0.053491584956645966
0.0,STANDARD,1633.610107421875,4,52,5,R_A4,0,2018-01-01,31,300.17144775390625,300.17144775390625,0.6481541991233826
0.0,STANDARD,1632.3968505859375,4,52,6,R_A4,0,2018-01-01,32,300.0901184082031,300.0901184082031,0.05713524669408798
0.0,STANDARD,1635.880615234375,4,51,7,R_A4,0,2018-01-01,32,300.3236999511719,300.3236999511719,0.6481541991233826
0.0,STANDARD,1637.321044921875,4,51,8,R_A4,0,2018-01-01,33,300.4202575683594,300.4202575683594,0.6481541991233826
0.0,STANDARD,1635.474609375,3,51,9,R_A4,0,2018-01-01,33,300.29644775390625,300.29644775390625,0.05947340279817581
0.0,STANDARD,1642.1485595703125,4,50,10,R_A4,0,2018-01-01,33,300.74395751953125,300.74395751953125,0.6481541991233826
0.0,STANDARD,1641.132080078125,4,50,11,R_A4,0,2018-01-01,34,300.67578125,300.67578125,0.09878486394882202
0.0,STANDARD,1639.20703125,3,50,12,R_A4,0,2018-01-01,34,300.5467224121094,300.5467224121094,0.15478037297725677
0.0,STANDARD,1640.9061279296875,3,50,13,R_A4,0,2018-01-01,35,300.66064453125,300.66064453125,0.2293243557214737
0.0,STANDARD,1639.0426025390625,2,50,14,R_A4,0,2018-01-01,35,300.53570556640625,300.53570556640625,0.2288455367088318
0.0,STANDARD,1641.93212890625,2,49,15,R_A4,0,2018-01-01,35,300.72943115234375,300.72943115234375,0.24109753966331482
0.0,STANDARD,1642.357421875,30,49,16,R_A4,0,2018-01-01,36,300.7579650878906,300.7579650878906,0.05171753093600273
0.0,STANDARD,1639.6068115234375,30,48,17,R_A4,0,2018-01-01,36,300.5735168457031,300.5735168457031,0.194771870970726
0.0,STANDARD,1646.7513427734375,30,48,18,R_A4,0,2018-01-01,37,301.0526123046875,301.0526123046875,0.09849477559328079
0.0,STANDARD,1653.461669921875,30,48,19,R_A4,0,2018-01-01,38,301.5025939941406,301.5025939941406,0.10194094479084015
0.0,STANDARD,1657.8184814453125,30,47,20,R_A4,0,2018-01-01,38,301.7947998046875,301.7947998046875,0.11428860574960709
0.0,STANDARD,1685.026611328125,1,20,1,R_A5,0,2018-01-01,31,303.8440856933594,303.8440856933594,1.0
0.0,STANDARD,1687.3070068359375,2,20,2,R_A5,0,2018-01-01,31,304.0601806640625,304.0601806640625,1.0
0.0,STANDARD,1689.5875244140625,3,20,3,R_A5,0,2018-01-01,31,304.58209228515625,304.58209228515625,1.0
0.0,STANDARD,1691.8680419921875,4,20,4,R_A5,0,2018-01-01,31,304.4924011230469,304.4924011230469,1.0
0.0,STANDARD,1694.1485595703125,5,20,5,R_A5,0,2018-01-01,31,304.7085266113281,304.7085266113281,1.0
0.0,STANDARD,1696.4290771484375,6,20,6,R_A5,0,2018-01-01,31,304.9246520996094,304.9246520996094,1.0
0.0,STANDARD,1698.70947265625,7,20,7,R_A5,0,2018-01-01,31,305.446533203125,305.446533203125,1.0
0.0,STANDARD,1707.6488037109375,11,20,8,R_A5,0,2018-01-01,31,305.988037109375,305.988037109375,1.0
0.0,STANDARD,1709.5638427734375,12,20,9,R_A5,0,2018-01-01,31,306.1695251464844,306.1695251464844,1.0
0.0,STANDARD,1701.7845458984375,12,21,10,R_A5,0,2018-01-01,31,305.4322814941406,305.4322814941406,1.0
0.0,STANDARD,1703.735107421875,13,21,11,R_A5,0,2018-01-01,31,305.6291198730469,305.6291198730469,1.0
0.0,STANDARD,1705.6856689453125,14,21,12,R_A5,0,2018-01-01,31,305.81396484375,305.81396484375,1.0
0.0,STANDARD,1707.63623046875,15,21,13,R_A5,0,2018-01-01,31,305.9988098144531,305.9988098144531,1.0
0.0,STANDARD,1709.5867919921875,16,21,14,R_A5,0,2018-01-01,31,306.1836853027344,306.1836853027344,1.0
0.0,STANDARD,1711.537353515625,17,21,15,R_A5,0,2018-01-01,31,306.5135498046875,306.5135498046875,1.0
0.0,STANDARD,1713.35400390625,18,21,16,R_A5,0,2018-01-01,31,306.6856994628906,306.6856994628906,1.0
0.0,STANDARD,1714.3951416015625,19,21,17,R_A5,0,2018-01-01,31,306.7843933105469,306.7843933105469,1.0
0.0,STANDARD,1715.7628173828125,27,21,18,R_A5,0,2018-01-01,31,306.75689697265625,306.75689697265625,1.0
0.0,STANDARD,1718.098388671875,28,21,19,R_A5,0,2018-01-01,31,306.978271484375,306.978271484375,1.0
0.0,STANDARD,1720.43408203125,29,21,20,R_A5,0,2018-01-01,31,307.5054016113281,307.5054016113281,1.0
