CONBPRES,DATE,DEPTH,CONIDX,CONJPOS,CONKPOS,DRAWDOWN,SWAT,CONIPOS,WELL,WELLMODEL,PRESSURE,SGAS
300.71112060546875,2018-01-01,1640.0467529296875,1,30,1,0,0.05374554917216301,22,R_A2,STANDARD,300.71112060546875,0.0
300.82818603515625,2018-01-01,1641.792724609375,2,30,2,0,0.05448120832443237,22,R_A2,STANDARD,300.82818603515625,0.0
300.94525146484375,2018-01-01,1643.53857421875,3,30,3,0,0.057851262390613556,22,R_A2,STANDARD,300.94525146484375,0.0
301.0623474121094,2018-01-01,1645.284423828125,4,30,4,0,0.06425057351589203,22,R_A2,STANDARD,301.0623474121094,0.0
301.1794128417969,2018-01-01,1647.0303955078125,5,30,5,0,0.1450805366039276,22,R_A2,STANDARD,301.1794128417969,0.0
301.2965087890625,2018-01-01,1648.7762451171875,6,30,6,0,0.6481541991233826,22,R_A2,STANDARD,301.2965087890625,0.0
301.41357421875,2018-01-01,1650.5220947265625,7,30,7,0,0.8672839999198914,22,R_A2,STANDARD,301.41357421875,0.0
301.5306701660156,2018-01-01,1652.26806640625,8,30,8,0,0.8380605578422546,22,R_A2,STANDARD,301.5306701660156,0.0
301.64776611328125,2018-01-01,1654.013916015625,9,30,9,0,0.8768792152404785,22,R_A2,STANDARD,301.64776611328125,0.0
301.7648620605469,2018-01-01,1655.7598876953125,10,30,10,0,0.8832889795303345,22,R_A2,STANDARD,301.7648620605469,0.0
301.8922119140625,2018-01-01,1657.658447265625,11,30,11,0,0.06702383607625961,22,R_A2,STANDARD,301.8922119140625,0.0
302.02978515625,2018-01-01,1659.709716796875,12,30,12,0,0.11986837536096573,22,R_A2,STANDARD,302.02978515625,0.0
302.1673889160156,2018-01-01,1661.7611083984375,13,30,13,0,0.43063491582870483,22,R_A2,STANDARD,302.1673889160156,0.0
302.30499267578125,2018-01-01,1663.8123779296875,14,30,14,0,0.47285208106040955,22,R_A2,STANDARD,302.30499267578125,0.0
302.4425964355469,2018-01-01,1665.8636474609375,15,30,15,0,0.9024569988250732,22,R_A2,STANDARD,302.4425964355469,0.0
302.5802001953125,2018-01-01,1667.9149169921875,16,30,16,0,0.9121686220169067,22,R_A2,STANDARD,302.5802001953125,0.0
302.7178039550781,2018-01-01,1669.96630859375,17,30,17,0,0.8707502484321594,22,R_A2,STANDARD,302.7178039550781,0.0
302.9617004394531,2018-01-01,1673.601806640625,18,29,17,0,0.9420934319496155,22,R_A2,STANDARD,302.9617004394531,0.0
303.08331298828125,2018-01-01,1675.414306640625,19,29,18,0,0.9781246185302734,22,R_A2,STANDARD,303.08331298828125,0.0
303.1942138671875,2018-01-01,1677.0672607421875,20,29,26,0,0.6481541991233826,22,R_A2,STANDARD,303.1942138671875,0.0
303.3125,2018-01-01,1678.830078125,21,29,27,0,1.0,22,R_A2,STANDARD,303.3125,0.0
303.4307861328125,2018-01-01,1680.5927734375,22,29,28,0,1.0,22,R_A2,STANDARD,303.4307861328125,0.0
303.8967590332031,2018-01-01,1682.35546875,23,29,29,0,1.0,22,R_A2,STANDARD,303.8967590332031,0.0
304.0638122558594,2018-01-01,1684.1182861328125,24,29,30,0,1.0,22,R_A2,STANDARD,304.0638122558594,0.0
298.7710876464844,2018-01-01,1611.1068115234375,1,41,1,0,0.32612690329551697,28,R_A3,STANDARD,298.7710876464844,0.0
298.9067687988281,2018-01-01,1613.13134765625,2,41,2,0,0.1478659063577652,28,R_A3,STANDARD,298.9067687988281,0.0
299.0424499511719,2018-01-01,1615.156005859375,3,41,3,0,0.10853429138660431,28,R_A3,STANDARD,299.0424499511719,0.0
298.2103576660156,2018-01-01,1602.7398681640625,4,41,3,0,0.11823459714651108,29,R_A3,STANDARD,298.2103576660156,0.0
298.3527526855469,2018-01-01,1604.8648681640625,5,41,4,0,0.12617936730384827,29,R_A3,STANDARD,298.3527526855469,0.0
298.49517822265625,2018-01-01,1606.9898681640625,6,41,5,0,0.6481541991233826,29,R_A3,STANDARD,298.49517822265625,0.0
298.6375732421875,2018-01-01,1609.1148681640625,7,41,6,0,0.17618191242218018,29,R_A3,STANDARD,298.6375732421875,0.0
298.7799987792969,2018-01-01,1611.2398681640625,8,41,7,0,0.1914438009262085,29,R_A3,STANDARD,298.7799987792969,0.0
298.92242431640625,2018-01-01,1613.3648681640625,9,41,8,0,0.19421115517616272,29,R_A3,STANDARD,298.92242431640625,0.0
299.0648498535156,2018-01-01,1615.4898681640625,10,41,9,0,0.7968533635139465,29,R_A3,STANDARD,299.0648498535156,0.0
299.207275390625,2018-01-01,1617.6148681640625,11,41,10,0,0.797501266002655,29,R_A3,STANDARD,299.207275390625,0.0
