CONJPOS,SGAS,SWAT,CONIDX,CONBPRES,WELLMODEL,CONIPOS,DATE,DEPTH,WELL,DRAWDOWN,CONKPOS,PRESSURE
30,0.0,0.05649875849485397,1,300.6733093261719,STANDARD,22,2018-01-01,1641.094970703125,R_A2,0,1,300.6733093261719
30,0.0,0.05709094554185867,2,300.7936096191406,STANDARD,22,2018-01-01,1642.8890380859375,R_A2,0,2,300.7936096191406
30,0.0,0.06132970005273819,3,300.9139099121094,STANDARD,22,2018-01-01,1644.68310546875,R_A2,0,3,300.9139099121094
30,0.0,0.06751589477062225,4,301.0342102050781,STANDARD,22,2018-01-01,1646.4771728515625,R_A2,0,4,301.0342102050781
30,0.0,0.07101739197969437,5,301.1545104980469,STANDARD,22,2018-01-01,1648.2713623046875,R_A2,0,5,301.1545104980469
30,0.0,0.3220924139022827,6,301.27484130859375,STANDARD,22,2018-01-01,1650.0654296875,R_A2,0,6,301.27484130859375
30,0.0,0.6901668310165405,7,301.3951721191406,STANDARD,22,2018-01-01,1651.859619140625,R_A2,0,7,301.3951721191406
30,0.0,0.6481541991233826,8,301.5154724121094,STANDARD,22,2018-01-01,1653.6536865234375,R_A2,0,8,301.5154724121094
30,0.0,0.6481541991233826,9,301.63580322265625,STANDARD,22,2018-01-01,1655.44775390625,R_A2,0,9,301.63580322265625
30,0.0,0.9162277579307556,10,301.7561340332031,STANDARD,22,2018-01-01,1657.2418212890625,R_A2,0,10,301.7561340332031
30,0.0,0.07591938227415085,11,301.88323974609375,STANDARD,22,2018-01-01,1659.1368408203125,R_A2,0,11,301.88323974609375
30,0.0,0.08079689741134644,12,302.01708984375,STANDARD,22,2018-01-01,1661.132568359375,R_A2,0,12,302.01708984375
30,0.0,0.45630839467048645,13,302.1509704589844,STANDARD,22,2018-01-01,1663.12841796875,R_A2,0,13,302.1509704589844
30,0.0,0.503816545009613,14,302.28485107421875,STANDARD,22,2018-01-01,1665.1241455078125,R_A2,0,14,302.28485107421875
30,0.0,0.6866241097450256,15,302.4187316894531,STANDARD,22,2018-01-01,1667.1199951171875,R_A2,0,15,302.4187316894531
30,0.0,0.9751048684120178,16,302.5526123046875,STANDARD,22,2018-01-01,1669.11572265625,R_A2,0,16,302.5526123046875
30,0.0,0.9595911502838135,17,302.6864929199219,STANDARD,22,2018-01-01,1671.111572265625,R_A2,0,17,302.6864929199219
30,0.0,0.980763852596283,18,302.8123779296875,STANDARD,22,2018-01-01,1672.9881591796875,R_A2,0,18,302.8123779296875
29,0.0,0.999263346195221,19,302.89569091796875,STANDARD,22,2018-01-01,1674.229736328125,R_A2,0,18,302.89569091796875
29,0.0,1.0,20,303.02569580078125,STANDARD,22,2018-01-01,1676.1676025390625,R_A2,0,27,303.02569580078125
29,0.0,1.0,21,303.47802734375,STANDARD,22,2018-01-01,1677.9368896484375,R_A2,0,28,303.47802734375
29,0.0,1.0,22,303.64569091796875,STANDARD,22,2018-01-01,1679.7061767578125,R_A2,0,29,303.64569091796875
29,0.0,1.0,23,303.8133544921875,STANDARD,22,2018-01-01,1681.4754638671875,R_A2,0,30,303.8133544921875
29,0.0,1.0,24,303.98101806640625,STANDARD,22,2018-01-01,1683.2447509765625,R_A2,0,31,303.98101806640625
41,0.0,0.6481541991233826,1,298.53814697265625,STANDARD,28,2018-01-01,1609.243408203125,R_A3,0,1,298.53814697265625
