CONJPOS,CONIPOS,DEPTH,SGAS,CONBPRES,WELLMODEL,PRESSURE,SWAT,CONIDX,DRAWDOWN,DATE,WELL,CONKPOS
30,22,1641.412353515625,0.0,300.8079528808594,STANDARD,300.8079528808594,0.053648319095373154,1,0,2018-01-01,R_A2,1
30,22,1643.15771484375,0.0,300.9249572753906,STANDARD,300.9249572753906,0.054897647351026535,2,0,2018-01-01,R_A2,2
30,22,1644.903076171875,0.0,301.0420227050781,STANDARD,301.0420227050781,0.058688703924417496,3,0,2018-01-01,R_A2,3
30,22,1646.6484375,0.0,301.1590576171875,STANDARD,301.1590576171875,0.06379616260528564,4,0,2018-01-01,R_A2,4
30,22,1648.393798828125,0.0,301.2760925292969,STANDARD,301.2760925292969,0.06720858067274094,5,0,2018-01-01,R_A2,5
30,22,1650.13916015625,0.0,301.3931579589844,STANDARD,301.3931579589844,0.31011080741882324,6,0,2018-01-01,R_A2,6
30,22,1651.884521484375,0.0,301.51019287109375,STANDARD,301.51019287109375,0.8696020841598511,7,0,2018-01-01,R_A2,7
30,22,1653.6298828125,0.0,301.62725830078125,STANDARD,301.62725830078125,0.8677182197570801,8,0,2018-01-01,R_A2,8
30,22,1655.375244140625,0.0,301.74432373046875,STANDARD,301.74432373046875,0.8814362287521362,9,0,2018-01-01,R_A2,9
30,22,1657.12060546875,0.0,301.86138916015625,STANDARD,301.86138916015625,0.8892463445663452,10,0,2018-01-01,R_A2,10
30,22,1659.0372314453125,0.0,301.98992919921875,STANDARD,301.98992919921875,0.07009759545326233,11,0,2018-01-01,R_A2,11
30,22,1663.213134765625,0.0,302.2700500488281,STANDARD,302.2700500488281,0.43368110060691833,12,0,2018-01-01,R_A2,13
30,22,1665.301025390625,0.0,302.41009521484375,STANDARD,302.41009521484375,0.4834865927696228,13,0,2018-01-01,R_A2,14
30,22,1667.3890380859375,0.0,302.5501708984375,STANDARD,302.5501708984375,0.9120267629623413,14,0,2018-01-01,R_A2,15
30,22,1669.4769287109375,0.0,302.69024658203125,STANDARD,302.69024658203125,0.9169353246688843,15,0,2018-01-01,R_A2,16
30,22,1671.56494140625,0.0,302.830322265625,STANDARD,302.830322265625,0.8884944319725037,16,0,2018-01-01,R_A2,17
29,22,1676.411376953125,0.0,303.1554870605469,STANDARD,303.1554870605469,0.9765629768371582,17,0,2018-01-01,R_A2,17
29,22,1678.04296875,0.0,303.26495361328125,STANDARD,303.26495361328125,1.0,18,0,2018-01-01,R_A2,18
29,22,1679.483642578125,0.0,303.3616027832031,STANDARD,303.3616027832031,1.0,19,0,2018-01-01,R_A2,25
29,22,1681.182861328125,0.0,303.78564453125,STANDARD,303.78564453125,1.0,20,0,2018-01-01,R_A2,26
29,22,1682.8822021484375,0.0,303.9466552734375,STANDARD,303.9466552734375,1.0,21,0,2018-01-01,R_A2,27
29,22,1684.58154296875,0.0,304.1076965332031,STANDARD,304.1076965332031,1.0,22,0,2018-01-01,R_A2,28
29,22,1686.2808837890625,0.0,304.26873779296875,STANDARD,304.26873779296875,1.0,23,0,2018-01-01,R_A2,29
41,28,1610.383056640625,0.0,298.7278137207031,STANDARD,298.7278137207031,0.6481541991233826,1,0,2018-01-01,R_A3,1
41,28,1612.32080078125,0.0,298.8576965332031,STANDARD,298.8576965332031,0.19592662155628204,2,0,2018-01-01,R_A3,2
41,29,1601.2021484375,0.0,298.1125793457031,STANDARD,298.1125793457031,0.18803460896015167,3,0,2018-01-01,R_A3,2
41,29,1603.330078125,0.0,298.2551574707031,STANDARD,298.2551574707031,0.18219798803329468,4,0,2018-01-01,R_A3,3
41,29,1605.4580078125,0.0,298.39776611328125,STANDARD,298.39776611328125,0.3630734980106354,5,0,2018-01-01,R_A3,4
41,29,1607.5859375,0.0,298.5403747558594,STANDARD,298.5403747558594,0.8071780800819397,6,0,2018-01-01,R_A3,5
41,29,1609.7138671875,0.0,298.6829833984375,STANDARD,298.6829833984375,0.6481541991233826,7,0,2018-01-01,R_A3,6
41,29,1611.841796875,0.0,298.8255920410156,STANDARD,298.8255920410156,0.19393381476402283,8,0,2018-01-01,R_A3,7
41,29,1613.9696044921875,0.0,298.96820068359375,STANDARD,298.96820068359375,0.14461512863636017,9,0,2018-01-01,R_A3,8
41,29,1616.0975341796875,0.0,299.11083984375,STANDARD,299.11083984375,0.7964296340942383,10,0,2018-01-01,R_A3,9
41,29,1618.2254638671875,0.0,299.2534484863281,STANDARD,299.2534484863281,0.7964208722114563,11,0,2018-01-01,R_A3,10
41,29,1620.437255859375,0.0,299.4017028808594,STANDARD,299.4017028808594,0.04881593585014343,12,0,2018-01-01,R_A3,11
41,29,1622.73291015625,0.0,299.55560302734375,STANDARD,299.55560302734375,0.05328229442238808,13,0,2018-01-01,R_A3,12
41,29,1625.0286865234375,0.0,299.7095031738281,STANDARD,299.7095031738281,0.37238597869873047,14,0,2018-01-01,R_A3,13
41,29,1629.6201171875,0.0,300.0173034667969,STANDARD,300.0173034667969,0.601466715335846,15,0,2018-01-01,R_A3,15
41,29,1631.39892578125,0.0,300.13653564453125,STANDARD,300.13653564453125,0.8051351308822632,16,0,2018-01-01,R_A3,16
41,29,1633.9388427734375,0.0,300.30682373046875,STANDARD,300.30682373046875,0.6978121995925903,17,0,2018-01-01,R_A3,25
41,29,1637.481201171875,0.0,300.5443420410156,STANDARD,300.5443420410156,0.04464967921376228,18,0,2018-01-01,R_A3,26
41,29,1641.023681640625,0.0,300.7818908691406,STANDARD,300.7818908691406,0.04793074354529381,19,0,2018-01-01,R_A3,27
41,29,1644.566162109375,0.0,301.0194091796875,STANDARD,301.0194091796875,0.6481541991233826,20,0,2018-01-01,R_A3,28
41,29,1648.1085205078125,0.0,301.2569885253906,STANDARD,301.2569885253906,0.06084190309047699,21,0,2018-01-01,R_A3,29
