CONIDX,CONKPOS,SGAS,PRESSURE,CONIPOS,CONBPRES,DRAWDOWN,SWAT,DATE,WELLMODEL,DEPTH,CONJPOS,WELL
1,1,0.0,300.77398681640625,22,300.77398681640625,0,0.0583789236843586,2018-01-01,STANDARD,1642.839599609375,30,R_A2
2,2,0.0,300.8939208984375,22,300.8939208984375,0,0.06051723659038544,2018-01-01,STANDARD,1644.6285400390625,30,R_A2
3,3,0.0,301.0138854980469,22,301.0138854980469,0,0.06412667036056519,2018-01-01,STANDARD,1646.41748046875,30,R_A2
4,4,0.0,301.13385009765625,22,301.13385009765625,0,0.07006696611642838,2018-01-01,STANDARD,1648.206298828125,30,R_A2
5,5,0.0,301.2538146972656,22,301.2538146972656,0,0.07361628860235214,2018-01-01,STANDARD,1649.9952392578125,30,R_A2
6,6,0.0,301.373779296875,22,301.373779296875,0,0.32906046509742737,2018-01-01,STANDARD,1651.7840576171875,30,R_A2
7,7,0.0,301.4937438964844,22,301.4937438964844,0,0.9084214568138123,2018-01-01,STANDARD,1653.5728759765625,30,R_A2
8,8,0.0,301.6137390136719,22,301.6137390136719,0,0.6481541991233826,2018-01-01,STANDARD,1655.36181640625,30,R_A2
9,9,0.0,301.73370361328125,22,301.73370361328125,0,0.9223319292068481,2018-01-01,STANDARD,1657.150634765625,30,R_A2
10,10,0.0,301.85369873046875,22,301.85369873046875,0,0.9358623027801514,2018-01-01,STANDARD,1658.9395751953125,30,R_A2
11,11,0.0,301.9835205078125,22,301.9835205078125,0,0.08074032515287399,2018-01-01,STANDARD,1660.875244140625,30,R_A2
12,12,0.0,302.1231994628906,22,302.1231994628906,0,0.08982652425765991,2018-01-01,STANDARD,1662.95751953125,30,R_A2
13,13,0.0,302.26287841796875,22,302.26287841796875,0,0.48294317722320557,2018-01-01,STANDARD,1665.0399169921875,30,R_A2
14,14,0.0,302.4025573730469,22,302.4025573730469,0,0.5377476215362549,2018-01-01,STANDARD,1667.1221923828125,30,R_A2
15,15,0.0,302.542236328125,22,302.542236328125,0,0.9768691658973694,2018-01-01,STANDARD,1669.2044677734375,30,R_A2
16,16,0.0,302.6819152832031,22,302.6819152832031,0,0.9993917942047119,2018-01-01,STANDARD,1671.286865234375,30,R_A2
17,17,0.0,302.8216247558594,22,302.8216247558594,0,0.9866424798965454,2018-01-01,STANDARD,1673.369140625,30,R_A2
18,17,0.0,302.8052978515625,22,302.8052978515625,0,0.9916605353355408,2018-01-01,STANDARD,1673.1258544921875,29,R_A2
19,18,0.0,302.9324645996094,22,302.9324645996094,0,1.0,2018-01-01,STANDARD,1675.021484375,29,R_A2
20,26,0.0,303.3990173339844,22,303.3990173339844,0,1.0,2018-01-01,STANDARD,1677.102783203125,29,R_A2
21,27,0.0,303.57196044921875,22,303.57196044921875,0,1.0,2018-01-01,STANDARD,1678.9278564453125,29,R_A2
22,28,0.0,303.7449035644531,22,303.7449035644531,0,1.0,2018-01-01,STANDARD,1680.7529296875,29,R_A2
23,29,0.0,303.9178466796875,22,303.9178466796875,0,1.0,2018-01-01,STANDARD,1682.578125,29,R_A2
24,30,0.0,304.0907897949219,22,304.0907897949219,0,1.0,2018-01-01,STANDARD,1684.4031982421875,29,R_A2
1,1,0.0,298.4682922363281,28,298.4682922363281,0,0.6481541991233826,2018-01-01,STANDARD,1608.444091796875,41,R_A3
2,2,0.0,298.599853515625,28,298.599853515625,0,0.19303910434246063,2018-01-01,STANDARD,1610.4075927734375,41,R_A3
3,3,0.0,298.7314453125,28,298.7314453125,0,0.11823459714651108,2018-01-01,STANDARD,1612.37109375,41,R_A3
4,3,0.0,298.2257995605469,29,298.2257995605469,0,0.1922723352909088,2018-01-01,STANDARD,1604.8255615234375,41,R_A3
5,4,0.0,298.360595703125,29,298.360595703125,0,0.15735504031181335,2018-01-01,STANDARD,1606.8370361328125,41,R_A3
6,5,0.0,298.4953918457031,29,298.4953918457031,0,0.6481541991233826,2018-01-01,STANDARD,1608.8486328125,41,R_A3
7,6,0.0,298.63018798828125,29,298.63018798828125,0,0.2879917323589325,2018-01-01,STANDARD,1610.860107421875,41,R_A3
8,7,0.0,298.7650146484375,29,298.7650146484375,0,0.2008734941482544,2018-01-01,STANDARD,1612.87158203125,41,R_A3
