SGAS,CONBPRES,WELL,PRESSURE,CONIPOS,DEPTH,CONJPOS,DRAWDOWN,DATE,WELLMODEL,CONKPOS,SWAT,CONIDX
0.0,300.6733093261719,R_A2,300.6733093261719,22,1641.094970703125,30,0,2018-01-01,STANDARD,1,0.055880606174468994,1
0.0,300.7936096191406,R_A2,300.7936096191406,22,1642.8890380859375,30,0,2018-01-01,STANDARD,2,0.05794878676533699,2
0.0,300.9139099121094,R_A2,300.9139099121094,22,1644.68310546875,30,0,2018-01-01,STANDARD,3,0.06058797240257263,3
0.0,301.0342102050781,R_A2,301.0342102050781,22,1646.4771728515625,30,0,2018-01-01,STANDARD,4,0.0678098052740097,4
0.0,301.1545104980469,R_A2,301.1545104980469,22,1648.2713623046875,30,0,2018-01-01,STANDARD,5,0.07152793556451797,5
0.0,301.27484130859375,R_A2,301.27484130859375,22,1650.0654296875,30,0,2018-01-01,STANDARD,6,0.14327770471572876,6
0.0,301.3951721191406,R_A2,301.3951721191406,22,1651.859619140625,30,0,2018-01-01,STANDARD,7,0.2598637044429779,7
0.0,301.5154724121094,R_A2,301.5154724121094,22,1653.6536865234375,30,0,2018-01-01,STANDARD,8,0.6481541991233826,8
0.0,301.63580322265625,R_A2,301.63580322265625,22,1655.44775390625,30,0,2018-01-01,STANDARD,9,0.6481541991233826,9
0.0,301.7561340332031,R_A2,301.7561340332031,22,1657.2418212890625,30,0,2018-01-01,STANDARD,10,0.9135551452636719,10
0.0,301.88323974609375,R_A2,301.88323974609375,22,1659.1368408203125,30,0,2018-01-01,STANDARD,11,0.07876349240541458,11
0.0,302.01708984375,R_A2,302.01708984375,22,1661.132568359375,30,0,2018-01-01,STANDARD,12,0.0862409919500351,12
0.0,302.1509704589844,R_A2,302.1509704589844,22,1663.12841796875,30,0,2018-01-01,STANDARD,13,0.4577699303627014,13
0.0,302.28485107421875,R_A2,302.28485107421875,22,1665.1241455078125,30,0,2018-01-01,STANDARD,14,0.519985556602478,14
0.0,302.4187316894531,R_A2,302.4187316894531,22,1667.1199951171875,30,0,2018-01-01,STANDARD,15,0.6918675303459167,15
0.0,302.5526123046875,R_A2,302.5526123046875,22,1669.11572265625,30,0,2018-01-01,STANDARD,16,0.9727101922035217,16
0.0,302.6864929199219,R_A2,302.6864929199219,22,1671.111572265625,30,0,2018-01-01,STANDARD,17,0.9494145512580872,17
0.0,302.8123779296875,R_A2,302.8123779296875,22,1672.9881591796875,30,0,2018-01-01,STANDARD,18,0.9820622205734253,18
0.0,302.89569091796875,R_A2,302.89569091796875,22,1674.229736328125,29,0,2018-01-01,STANDARD,18,0.9921741485595703,19
