CONKPOS,PRESSURE,CONJPOS,DRAWDOWN,DEPTH,SWAT,SGAS,CONIDX,CONBPRES,CONIPOS,WELL,DATE,WELLMODEL
1,300.6733093261719,30,0,1641.094970703125,0.056692592799663544,0.0,1,300.6733093261719,22,R_A2,2018-01-01,STANDARD
2,300.7936096191406,30,0,1642.8890380859375,0.05867929756641388,0.0,2,300.7936096191406,22,R_A2,2018-01-01,STANDARD
3,300.9139099121094,30,0,1644.68310546875,0.061895012855529785,0.0,3,300.9139099121094,22,R_A2,2018-01-01,STANDARD
4,301.0342102050781,30,0,1646.4771728515625,0.06773295253515244,0.0,4,301.0342102050781,22,R_A2,2018-01-01,STANDARD
5,301.1545104980469,30,0,1648.2713623046875,0.07102545350790024,0.0,5,301.1545104980469,22,R_A2,2018-01-01,STANDARD
6,301.27484130859375,30,0,1650.0654296875,0.32000941038131714,0.0,6,301.27484130859375,22,R_A2,2018-01-01,STANDARD
7,301.3951721191406,30,0,1651.859619140625,0.8964528441429138,0.0,7,301.3951721191406,22,R_A2,2018-01-01,STANDARD
8,301.5154724121094,30,0,1653.6536865234375,0.721605658531189,0.0,8,301.5154724121094,22,R_A2,2018-01-01,STANDARD
9,301.63580322265625,30,0,1655.44775390625,0.8981422781944275,0.0,9,301.63580322265625,22,R_A2,2018-01-01,STANDARD
10,301.7561340332031,30,0,1657.2418212890625,0.9288972020149231,0.0,10,301.7561340332031,22,R_A2,2018-01-01,STANDARD
11,301.88323974609375,30,0,1659.1368408203125,0.0764261856675148,0.0,11,301.88323974609375,22,R_A2,2018-01-01,STANDARD
12,302.01708984375,30,0,1661.132568359375,0.07991793006658554,0.0,12,302.01708984375,22,R_A2,2018-01-01,STANDARD
13,302.1509704589844,30,0,1663.12841796875,0.44190388917922974,0.0,13,302.1509704589844,22,R_A2,2018-01-01,STANDARD
14,302.28485107421875,30,0,1665.1241455078125,0.5030866861343384,0.0,14,302.28485107421875,22,R_A2,2018-01-01,STANDARD
