DATE,CONIPOS,CONJPOS,WELL,CONKPOS,CONIDX,WELLMODEL,PRESSURE,DEPTH,SGAS,SWAT,DRAWDOWN,CONBPRES
2018-01-01,22,30,R_A2,1,1,STANDARD,300.5270080566406,1640.2247314453125,0.0,0.057764697819948196,0,300.5270080566406
2018-01-01,22,30,R_A2,2,2,STANDARD,300.6572265625,1642.166748046875,0.0,0.06048612669110298,0,300.6572265625
2018-01-01,22,30,R_A2,3,3,STANDARD,300.7874450683594,1644.10888671875,0.0,0.06351353228092194,0,300.7874450683594
2018-01-01,22,30,R_A2,4,4,STANDARD,300.9176940917969,1646.0509033203125,0.0,0.07019084692001343,0,300.9176940917969
2018-01-01,22,30,R_A2,5,5,STANDARD,301.04791259765625,1647.992919921875,0.0,0.07578271627426147,0,301.04791259765625
2018-01-01,22,30,R_A2,6,6,STANDARD,301.1781311035156,1649.9349365234375,0.0,0.3100626766681671,0,301.1781311035156
2018-01-01,22,30,R_A2,7,7,STANDARD,301.3083801269531,1651.876953125,0.0,0.9123769998550415,0,301.3083801269531
2018-01-01,22,30,R_A2,8,8,STANDARD,301.4386291503906,1653.819091796875,0.0,0.8902492523193359,0,301.4386291503906
2018-01-01,22,30,R_A2,9,9,STANDARD,301.5688781738281,1655.7611083984375,0.0,0.9554340243339539,0,301.5688781738281
2018-01-01,22,30,R_A2,10,10,STANDARD,301.6990966796875,1657.703125,0.0,0.9598644375801086,0,301.6990966796875
2018-01-01,22,30,R_A2,11,11,STANDARD,301.83221435546875,1659.687744140625,0.0,0.0880422443151474,0,301.83221435546875
2018-01-01,22,30,R_A2,12,12,STANDARD,301.96820068359375,1661.715087890625,0.0,0.08977019041776657,0,301.96820068359375
2018-01-01,22,30,R_A2,13,13,STANDARD,302.10418701171875,1663.742431640625,0.0,0.49977943301200867,0,302.10418701171875
2018-01-01,22,30,R_A2,14,14,STANDARD,302.24017333984375,1665.769775390625,0.0,0.5681004524230957,0,302.24017333984375
2018-01-01,22,30,R_A2,15,15,STANDARD,302.37615966796875,1667.797119140625,0.0,0.7747156023979187,0,302.37615966796875
2018-01-01,22,30,R_A2,16,16,STANDARD,302.5121765136719,1669.824462890625,0.0,0.9917426705360413,0,302.5121765136719
2018-01-01,22,30,R_A2,17,17,STANDARD,302.6481628417969,1671.851806640625,0.0,0.9911803007125854,0,302.6481628417969
2018-01-01,22,30,R_A2,18,18,STANDARD,302.9448547363281,1673.879150390625,0.0,1.0,0,302.9448547363281
2018-01-01,22,30,R_A2,19,19,STANDARD,303.1050720214844,1675.570068359375,0.0,1.0,0,303.1050720214844
2018-01-01,22,30,R_A2,33,20,STANDARD,303.4049072265625,1677.1651611328125,0.0,1.0,0,303.4049072265625
2018-01-01,22,29,R_A2,33,21,STANDARD,302.6875305175781,1672.438720703125,0.0,0.5761139392852783,0,302.6875305175781
2018-01-01,22,29,R_A2,34,22,STANDARD,303.1396179199219,1674.3653564453125,0.0,1.0,0,303.1396179199219
2018-01-01,22,29,R_A2,35,23,STANDARD,303.3221740722656,1676.2919921875,0.0,1.0,0,303.3221740722656
2018-01-01,22,29,R_A2,36,24,STANDARD,303.5047607421875,1678.21875,0.0,1.0,0,303.5047607421875
2018-01-01,22,29,R_A2,37,25,STANDARD,303.68731689453125,1680.1455078125,0.0,1.0,0,303.68731689453125
2018-01-01,28,41,R_A3,1,1,STANDARD,298.5093994140625,1610.125732421875,0.0,0.6481541991233826,0,298.5093994140625
2018-01-01,28,41,R_A3,2,2,STANDARD,298.6393737792969,1612.065185546875,0.0,0.2004549652338028,0,298.6393737792969
2018-01-01,28,41,R_A3,3,3,STANDARD,298.76934814453125,1614.004638671875,0.0,0.13822120428085327,0,298.76934814453125
2018-01-01,28,41,R_A3,4,4,STANDARD,298.8993225097656,1615.944091796875,0.0,0.1232224777340889,0,298.8993225097656
2018-01-01,28,41,R_A3,5,5,STANDARD,299.0293273925781,1617.8834228515625,0.0,0.6481541991233826,0,299.0293273925781
2018-01-01,28,41,R_A3,6,6,STANDARD,299.1593017578125,1619.8228759765625,0.0,0.13782557845115662,0,299.1593017578125
2018-01-01,29,41,R_A3,6,7,STANDARD,298.6042175292969,1611.54052734375,0.0,0.6481541991233826,0,298.6042175292969
2018-01-01,29,41,R_A3,7,8,STANDARD,298.7351379394531,1613.494140625,0.0,0.20346398651599884,0,298.7351379394531
2018-01-01,29,41,R_A3,8,9,STANDARD,298.8660583496094,1615.44775390625,0.0,0.18053629994392395,0,298.8660583496094
2018-01-01,29,41,R_A3,9,10,STANDARD,298.99700927734375,1617.4014892578125,0.0,0.8102118372917175,0,298.99700927734375
2018-01-01,29,41,R_A3,10,11,STANDARD,299.1279602050781,1619.3551025390625,0.0,0.8126246929168701,0,299.1279602050781
2018-01-01,29,41,R_A3,11,12,STANDARD,299.2623291015625,1621.3597412109375,0.0,0.04706661403179169,0,299.2623291015625
2018-01-01,29,41,R_A3,12,13,STANDARD,299.40008544921875,1623.4151611328125,0.0,0.055074259638786316,0,299.40008544921875
2018-01-01,29,41,R_A3,13,14,STANDARD,299.5378723144531,1625.470703125,0.0,0.3707626163959503,0,299.5378723144531
2018-01-01,29,41,R_A3,14,15,STANDARD,299.6756591796875,1627.526123046875,0.0,0.2890528440475464,0,299.6756591796875
2018-01-01,29,41,R_A3,15,16,STANDARD,299.8134765625,1629.5816650390625,0.0,0.5090164542198181,0,299.8134765625
2018-01-01,29,41,R_A3,16,17,STANDARD,299.93243408203125,1631.3564453125,0.0,0.8173829317092896,0,299.93243408203125
2018-01-01,29,41,R_A3,17,18,STANDARD,299.9909973144531,1632.229736328125,0.0,0.7675387859344482,0,299.9909973144531
2018-01-01,29,41,R_A3,33,19,STANDARD,300.1123352050781,1634.0396728515625,0.0,0.16830594837665558,0,300.1123352050781
2018-01-01,29,41,R_A3,34,20,STANDARD,300.3381042480469,1637.406982421875,0.0,0.04573281109333038,0,300.3381042480469
2018-01-01,29,41,R_A3,35,21,STANDARD,300.5638732910156,1640.7744140625,0.0,0.051772989332675934,0,300.5638732910156
2018-01-01,29,41,R_A3,36,22,STANDARD,300.7896728515625,1644.1417236328125,0.0,0.6481541991233826,0,300.7896728515625
2018-01-01,29,41,R_A3,37,23,STANDARD,301.0154724121094,1647.5091552734375,0.0,0.06656263023614883,0,301.0154724121094
2018-01-01,30,52,R_A4,1,1,STANDARD,299.8524475097656,1630.163330078125,0.0,0.05302804335951805,0,299.8524475097656
2018-01-01,31,52,R_A4,1,2,STANDARD,299.5345458984375,1625.4207763671875,0.0,0.05082276836037636,0,299.5345458984375
2018-01-01,31,52,R_A4,2,3,STANDARD,299.67645263671875,1627.537841796875,0.0,0.08117847889661789,0,299.67645263671875
2018-01-01,31,52,R_A4,3,4,STANDARD,299.818359375,1629.6549072265625,0.0,0.05329475924372673,0,299.818359375
2018-01-01,31,52,R_A4,4,5,STANDARD,299.9602966308594,1631.77197265625,0.0,0.055834077298641205,0,299.9602966308594
2018-01-01,31,52,R_A4,5,6,STANDARD,300.10223388671875,1633.8890380859375,0.0,0.05685335770249367,0,300.10223388671875
2018-01-01,32,52,R_A4,5,7,STANDARD,300.0376281738281,1632.9254150390625,0.0,0.054721102118492126,0,300.0376281738281
2018-01-01,32,52,R_A4,6,8,STANDARD,300.1654357910156,1634.8319091796875,0.0,0.05875487998127937,0,300.1654357910156
2018-01-01,32,51,R_A4,6,9,STANDARD,300.2105712890625,1635.5048828125,0.0,0.060496985912323,0,300.2105712890625
2018-01-01,32,51,R_A4,5,10,STANDARD,300.0852966308594,1633.636474609375,0.0,0.05824418365955353,0,300.0852966308594
2018-01-01,33,51,R_A4,5,11,STANDARD,300.24432373046875,1636.0081787109375,0.0,0.0608559250831604,0,300.24432373046875
2018-01-01,33,50,R_A4,5,12,STANDARD,300.68902587890625,1642.640869140625,0.0,0.064815953373909,0,300.68902587890625
2018-01-01,34,50,R_A4,5,13,STANDARD,300.6982727050781,1642.7789306640625,0.0,0.06422020494937897,0,300.6982727050781
2018-01-01,34,50,R_A4,4,14,STANDARD,300.5731506347656,1640.9127197265625,0.0,0.0651913657784462,0,300.5731506347656
2018-01-01,34,50,R_A4,3,15,STANDARD,300.4480285644531,1639.046630859375,0.0,0.1302495300769806,0,300.4480285644531
2018-01-01,35,50,R_A4,3,16,STANDARD,300.61590576171875,1641.5501708984375,0.0,0.1698315292596817,0,300.61590576171875
