PRESSURE,DEPTH,WELLMODEL,SWAT,DRAWDOWN,WELL,CONIPOS,CONJPOS,SGAS,CONKPOS,CONBPRES,DATE,CONIDX
300.58551025390625,1638.7340087890625,STANDARD,0.053127069026231766,0,R_A2,22,30,0.0,1,300.58551025390625,2018-01-01,1
300.7016296386719,1640.466064453125,STANDARD,0.056182824075222015,0,R_A2,22,30,0.0,2,300.7016296386719,2018-01-01,2
300.8177795410156,1642.1982421875,STANDARD,0.0595150925219059,0,R_A2,22,30,0.0,3,300.8177795410156,2018-01-01,3
300.9339294433594,1643.930419921875,STANDARD,0.06355786323547363,0,R_A2,22,30,0.0,4,300.9339294433594,2018-01-01,4
301.0500793457031,1645.6624755859375,STANDARD,0.06610371917486191,0,R_A2,22,30,0.0,5,301.0500793457031,2018-01-01,5
301.166259765625,1647.3946533203125,STANDARD,0.3084264397621155,0,R_A2,22,30,0.0,6,301.166259765625,2018-01-01,6
301.28240966796875,1649.1268310546875,STANDARD,0.8724488019943237,0,R_A2,22,30,0.0,7,301.28240966796875,2018-01-01,7
301.3985595703125,1650.85888671875,STANDARD,0.8506919145584106,0,R_A2,22,30,0.0,8,301.3985595703125,2018-01-01,8
301.5147399902344,1652.591064453125,STANDARD,0.8708231449127197,0,R_A2,22,30,0.0,9,301.5147399902344,2018-01-01,9
301.6308898925781,1654.3231201171875,STANDARD,0.6481541991233826,0,R_A2,22,30,0.0,10,301.6308898925781,2018-01-01,10
301.75701904296875,1656.2034912109375,STANDARD,0.06884262710809708,0,R_A2,22,30,0.0,11,301.75701904296875,2018-01-01,11
301.89306640625,1658.2320556640625,STANDARD,0.06180711090564728,0,R_A2,22,30,0.0,12,301.89306640625,2018-01-01,12
302.0291442871094,1660.2606201171875,STANDARD,0.42890802025794983,0,R_A2,22,30,0.0,13,302.0291442871094,2018-01-01,13
302.1651916503906,1662.2891845703125,STANDARD,0.4892233610153198,0,R_A2,22,30,0.0,14,302.1651916503906,2018-01-01,14
302.30126953125,1664.317626953125,STANDARD,0.8969985842704773,0,R_A2,22,30,0.0,15,302.30126953125,2018-01-01,15
302.4373474121094,1666.34619140625,STANDARD,0.9213506579399109,0,R_A2,22,30,0.0,16,302.4373474121094,2018-01-01,16
302.5823974609375,1668.5081787109375,STANDARD,0.9223225712776184,0,R_A2,22,29,0.0,16,302.5823974609375,2018-01-01,17
302.7211608886719,1670.5770263671875,STANDARD,0.8963468074798584,0,R_A2,22,29,0.0,17,302.7211608886719,2018-01-01,18
302.8463134765625,1672.4422607421875,STANDARD,0.9452444314956665,0,R_A2,22,29,0.0,18,302.8463134765625,2018-01-01,19
302.9624328613281,1674.1729736328125,STANDARD,1.0,0,R_A2,22,29,0.0,25,302.9624328613281,2018-01-01,20
303.0831604003906,1675.9727783203125,STANDARD,1.0,0,R_A2,22,29,0.0,26,303.0831604003906,2018-01-01,21
303.20391845703125,1677.7725830078125,STANDARD,1.0,0,R_A2,22,29,0.0,27,303.20391845703125,2018-01-01,22
303.6330261230469,1679.572509765625,STANDARD,1.0,0,R_A2,22,29,0.0,28,303.6330261230469,2018-01-01,23
303.8035888671875,1681.3721923828125,STANDARD,1.0,0,R_A2,22,29,0.0,29,303.8035888671875,2018-01-01,24
298.5784606933594,1608.7933349609375,STANDARD,0.09371703863143921,0,R_A3,28,41,0.0,1,298.5784606933594,2018-01-01,1
298.7129821777344,1610.80078125,STANDARD,0.07911758124828339,0,R_A3,28,41,0.0,2,298.7129821777344,2018-01-01,2
298.8475341796875,1612.8082275390625,STANDARD,0.0984066054224968,0,R_A3,28,41,0.0,3,298.8475341796875,2018-01-01,3
298.9820861816406,1614.815673828125,STANDARD,0.2685384154319763,0,R_A3,28,41,0.0,4,298.9820861816406,2018-01-01,4
299.11663818359375,1616.8232421875,STANDARD,0.6481541991233826,0,R_A3,28,41,0.0,5,299.11663818359375,2018-01-01,5
298.7269592285156,1611.00927734375,STANDARD,0.2773014008998871,0,R_A3,29,41,0.0,6,298.7269592285156,2018-01-01,6
298.8554382324219,1612.9261474609375,STANDARD,0.19809210300445557,0,R_A3,29,41,0.0,7,298.8554382324219,2018-01-01,7
298.9839172363281,1614.843017578125,STANDARD,0.19680774211883545,0,R_A3,29,41,0.0,8,298.9839172363281,2018-01-01,8
299.1123962402344,1616.7598876953125,STANDARD,0.7990622520446777,0,R_A3,29,41,0.0,9,299.1123962402344,2018-01-01,9
299.2408752441406,1618.6767578125,STANDARD,0.7990068197250366,0,R_A3,29,41,0.0,10,299.2408752441406,2018-01-01,10
299.3860168457031,1620.84228515625,STANDARD,0.04681786894798279,0,R_A3,29,41,0.0,11,299.3860168457031,2018-01-01,11
299.5478210449219,1623.2562255859375,STANDARD,0.055394209921360016,0,R_A3,29,41,0.0,12,299.5478210449219,2018-01-01,12
299.70965576171875,1625.670166015625,STANDARD,0.3764197826385498,0,R_A3,29,41,0.0,13,299.70965576171875,2018-01-01,13
299.8714904785156,1628.084228515625,STANDARD,0.34813132882118225,0,R_A3,29,41,0.0,14,299.8714904785156,2018-01-01,14
300.0225524902344,1630.33740234375,STANDARD,0.8027445077896118,0,R_A3,29,41,0.0,15,300.0225524902344,2018-01-01,15
300.120849609375,1631.8038330078125,STANDARD,0.7987328171730042,0,R_A3,29,41,0.0,16,300.120849609375,2018-01-01,16
300.26690673828125,1633.982177734375,STANDARD,0.11988851428031921,0,R_A3,29,41,0.0,25,300.26690673828125,2018-01-01,17
300.502685546875,1637.4989013671875,STANDARD,0.04571335017681122,0,R_A3,29,41,0.0,26,300.502685546875,2018-01-01,18
300.7384948730469,1641.015625,STANDARD,0.05271602421998978,0,R_A3,29,41,0.0,27,300.7384948730469,2018-01-01,19
300.97430419921875,1644.5322265625,STANDARD,0.13713431358337402,0,R_A3,29,41,0.0,28,300.97430419921875,2018-01-01,20
301.21014404296875,1648.049072265625,STANDARD,0.05972082167863846,0,R_A3,29,41,0.0,29,301.21014404296875,2018-01-01,21
300.0641784667969,1630.958740234375,STANDARD,0.04937579110264778,0,R_A4,30,52,0.0,1,300.0641784667969,2018-01-01,1
299.7670593261719,1626.5263671875,STANDARD,0.047120314091444016,0,R_A4,31,52,0.0,1,299.7670593261719,2018-01-01,2
299.9088439941406,1628.6416015625,STANDARD,0.049755536019802094,0,R_A4,31,52,0.0,2,299.9088439941406,2018-01-01,3
300.0506591796875,1630.7568359375,STANDARD,0.050570208579301834,0,R_A4,31,52,0.0,3,300.0506591796875,2018-01-01,4
300.1924743652344,1632.8720703125,STANDARD,0.05439445748925209,0,R_A4,31,52,0.0,4,300.1924743652344,2018-01-01,5
300.052978515625,1630.7913818359375,STANDARD,0.05323363468050957,0,R_A4,32,52,0.0,4,300.052978515625,2018-01-01,6
300.4390563964844,1636.5498046875,STANDARD,0.05677511543035507,0,R_A4,32,51,0.0,4,300.4390563964844,2018-01-01,7
300.52215576171875,1637.789306640625,STANDARD,0.05815338343381882,0,R_A4,33,51,0.0,4,300.52215576171875,2018-01-01,8
300.393798828125,1635.8751220703125,STANDARD,0.055933527648448944,0,R_A4,33,51,0.0,3,300.393798828125,2018-01-01,9
300.8982238769531,1643.397705078125,STANDARD,0.06130845844745636,0,R_A4,33,50,0.0,4,300.8982238769531,2018-01-01,10
300.83404541015625,1642.440673828125,STANDARD,0.061778731644153595,0,R_A4,34,50,0.0,4,300.83404541015625,2018-01-01,11
300.7027282714844,1640.4825439453125,STANDARD,0.06134285032749176,0,R_A4,34,50,0.0,3,300.7027282714844,2018-01-01,12
300.7350769042969,1640.9649658203125,STANDARD,0.061253324151039124,0,R_A4,35,50,0.0,3,300.7350769042969,2018-01-01,13
300.6052551269531,1639.0284423828125,STANDARD,0.07486195862293243,0,R_A4,35,50,0.0,2,300.6052551269531,2018-01-01,14
300.5953063964844,1638.88037109375,STANDARD,0.05077096074819565,0,R_A4,35,49,0.0,28,300.5953063964844,2018-01-01,15
300.80035400390625,1641.9383544921875,STANDARD,0.055258575826883316,0,R_A4,36,49,0.0,28,300.80035400390625,2018-01-01,16
300.7933654785156,1641.833984375,STANDARD,0.12322770804166794,0,R_A4,36,48,0.0,28,300.7933654785156,2018-01-01,17
301.1205749511719,1646.7138671875,STANDARD,0.09749871492385864,0,R_A4,37,48,0.0,28,301.1205749511719,2018-01-01,18
301.6125183105469,1654.049072265625,STANDARD,0.10838725417852402,0,R_A4,38,48,0.0,28,301.6125183105469,2018-01-01,19
301.24310302734375,1648.54052734375,STANDARD,0.12615498900413513,0,R_A4,38,48,0.0,27,301.24310302734375,2018-01-01,20
301.71649169921875,1655.59912109375,STANDARD,0.06665822118520737,0,R_A4,38,47,0.0,27,301.71649169921875,2018-01-01,21
304.3033447265625,1686.64599609375,STANDARD,1.0,0,R_A5,31,20,0.0,1,304.3033447265625,2018-01-01,1
304.2049865722656,1688.8350830078125,STANDARD,1.0,0,R_A5,31,20,0.0,2,304.2049865722656,2018-01-01,2
304.4124450683594,1691.024169921875,STANDARD,1.0,0,R_A5,31,20,0.0,3,304.4124450683594,2018-01-01,3
304.6199035644531,1693.2132568359375,STANDARD,1.0,0,R_A5,31,20,0.0,4,304.6199035644531,2018-01-01,4
304.8273620605469,1695.4024658203125,STANDARD,1.0,0,R_A5,31,20,0.0,5,304.8273620605469,2018-01-01,5
305.0348205566406,1697.591552734375,STANDARD,1.0,0,R_A5,31,20,0.0,6,305.0348205566406,2018-01-01,6
305.5480651855469,1699.78076171875,STANDARD,1.0,0,R_A5,31,20,0.0,7,305.5480651855469,2018-01-01,7
305.0418701171875,1697.664794921875,STANDARD,1.0,0,R_A5,31,21,0.0,11,305.0418701171875,2018-01-01,8
305.24493408203125,1699.8076171875,STANDARD,1.0,0,R_A5,31,21,0.0,12,305.24493408203125,2018-01-01,9
305.4599914550781,1701.9505615234375,STANDARD,1.0,0,R_A5,31,21,0.0,13,305.4599914550781,2018-01-01,10
305.6630554199219,1704.0933837890625,STANDARD,1.0,0,R_A5,31,21,0.0,14,305.6630554199219,2018-01-01,11
305.86614990234375,1706.236328125,STANDARD,1.0,0,R_A5,31,21,0.0,15,305.86614990234375,2018-01-01,12
306.2142333984375,1708.379150390625,STANDARD,1.0,0,R_A5,31,21,0.0,16,306.2142333984375,2018-01-01,13
306.4146728515625,1710.4940185546875,STANDARD,1.0,0,R_A5,31,21,0.0,17,306.4146728515625,2018-01-01,14
306.5839538574219,1712.2802734375,STANDARD,1.0,0,R_A5,31,21,0.0,18,306.5839538574219,2018-01-01,15
306.6794738769531,1713.2882080078125,STANDARD,1.0,0,R_A5,31,21,0.0,19,306.6794738769531,2018-01-01,16
306.67950439453125,1714.946044921875,STANDARD,1.0,0,R_A5,31,21,0.0,25,306.67950439453125,2018-01-01,17
306.9100341796875,1717.3785400390625,STANDARD,1.0,0,R_A5,31,21,0.0,26,306.9100341796875,2018-01-01,18
