CONIPOS,CONJPOS,DRAWDOWN,PRESSURE,WELL,CONBPRES,SWAT,DEPTH,SGAS,WELLMODEL,CONIDX,CONKPOS,DATE
22,30,0,300.73016357421875,R_A2,300.73016357421875,0.05184594541788101,1640.0504150390625,0.0,STANDARD,1,1,2018-01-01
22,30,0,300.8475341796875,R_A2,300.8475341796875,0.054119814187288284,1641.8006591796875,0.0,STANDARD,2,2,2018-01-01
22,30,0,300.96490478515625,R_A2,300.96490478515625,0.057813968509435654,1643.551025390625,0.0,STANDARD,3,3,2018-01-01
22,30,0,301.082275390625,R_A2,301.082275390625,0.06220629811286926,1645.30126953125,0.0,STANDARD,4,4,2018-01-01
22,30,0,301.19964599609375,R_A2,301.19964599609375,0.0647897869348526,1647.0516357421875,0.0,STANDARD,5,5,2018-01-01
22,30,0,301.3170166015625,R_A2,301.3170166015625,0.3024468719959259,1648.8018798828125,0.0,STANDARD,6,6,2018-01-01
22,30,0,301.43438720703125,R_A2,301.43438720703125,0.8688541650772095,1650.5521240234375,0.0,STANDARD,7,7,2018-01-01
22,30,0,301.5517883300781,R_A2,301.5517883300781,0.8738691210746765,1652.302490234375,0.0,STANDARD,8,8,2018-01-01
22,30,0,301.6691589355469,R_A2,301.6691589355469,0.8773793578147888,1654.052734375,0.0,STANDARD,9,9,2018-01-01
22,30,0,301.78656005859375,R_A2,301.78656005859375,0.8826492428779602,1655.802978515625,0.0,STANDARD,10,10,2018-01-01
22,30,0,301.9132080078125,R_A2,301.9132080078125,0.06665904819965363,1657.69140625,0.0,STANDARD,11,11,2018-01-01
22,30,0,302.04913330078125,R_A2,302.04913330078125,0.0704398900270462,1659.7178955078125,0.0,STANDARD,12,12,2018-01-01
22,30,0,302.18505859375,R_A2,302.18505859375,0.4246479868888855,1661.744384765625,0.0,STANDARD,13,13,2018-01-01
22,30,0,302.3210144042969,R_A2,302.3210144042969,0.45880231261253357,1663.770751953125,0.0,STANDARD,14,14,2018-01-01
22,30,0,302.4569396972656,R_A2,302.4569396972656,0.8957030773162842,1665.7972412109375,0.0,STANDARD,15,15,2018-01-01
22,30,0,302.5928955078125,R_A2,302.5928955078125,0.9204360246658325,1667.82373046875,0.0,STANDARD,16,16,2018-01-01
22,29,0,302.90234375,R_A2,302.90234375,0.952259361743927,1672.436767578125,0.0,STANDARD,17,16,2018-01-01
22,29,0,303.04632568359375,R_A2,303.04632568359375,0.9257399439811707,1674.5823974609375,0.0,STANDARD,18,17,2018-01-01
22,29,0,303.1601867675781,R_A2,303.1601867675781,0.9772379994392395,1676.279541015625,0.0,STANDARD,19,18,2018-01-01
22,29,0,303.2604064941406,R_A2,303.2604064941406,1.0,1677.7733154296875,0.0,STANDARD,20,25,2018-01-01
22,29,0,303.3770751953125,R_A2,303.3770751953125,1.0,1679.51220703125,0.0,STANDARD,21,26,2018-01-01
22,29,0,303.4937438964844,R_A2,303.4937438964844,0.8628860116004944,1681.2510986328125,0.0,STANDARD,22,27,2018-01-01
22,29,0,303.9568786621094,R_A2,303.9568786621094,1.0,1682.989990234375,0.0,STANDARD,23,28,2018-01-01
22,29,0,304.1216735839844,R_A2,304.1216735839844,1.0,1684.7288818359375,0.0,STANDARD,24,29,2018-01-01
28,41,0,298.6897277832031,R_A3,298.6897277832031,0.3576069474220276,1609.612548828125,0.0,STANDARD,1,1,2018-01-01
28,41,0,298.8240661621094,R_A3,298.8240661621094,0.16676846146583557,1611.6171875,0.0,STANDARD,2,2,2018-01-01
28,41,0,298.9584045410156,R_A3,298.9584045410156,0.09014707058668137,1613.62158203125,0.0,STANDARD,3,3,2018-01-01
29,41,0,298.33123779296875,R_A3,298.33123779296875,0.1607220321893692,1604.26318359375,0.0,STANDARD,4,3,2018-01-01
29,41,0,298.47088623046875,R_A3,298.47088623046875,0.2865116596221924,1606.346923828125,0.0,STANDARD,5,4,2018-01-01
29,41,0,298.61053466796875,R_A3,298.61053466796875,0.8119713068008423,1608.4307861328125,0.0,STANDARD,6,5,2018-01-01
29,41,0,298.75018310546875,R_A3,298.75018310546875,0.6577658653259277,1610.5146484375,0.0,STANDARD,7,6,2018-01-01
29,41,0,298.88983154296875,R_A3,298.88983154296875,0.27578607201576233,1612.598388671875,0.0,STANDARD,8,7,2018-01-01
29,41,0,299.0295104980469,R_A3,299.0295104980469,0.19637706875801086,1614.6822509765625,0.0,STANDARD,9,8,2018-01-01
29,41,0,299.1691589355469,R_A3,299.1691589355469,0.7908201217651367,1616.76611328125,0.0,STANDARD,10,9,2018-01-01
29,41,0,299.308837890625,R_A3,299.308837890625,0.8008028268814087,1618.849853515625,0.0,STANDARD,11,10,2018-01-01
29,41,0,299.4561767578125,R_A3,299.4561767578125,0.04853777587413788,1621.0479736328125,0.0,STANDARD,12,11,2018-01-01
29,41,0,299.6112060546875,R_A3,299.6112060546875,0.05320875346660614,1623.3603515625,0.0,STANDARD,13,12,2018-01-01
29,41,0,299.7662048339844,R_A3,299.7662048339844,0.369037926197052,1625.6727294921875,0.0,STANDARD,14,13,2018-01-01
29,41,0,299.9212341308594,R_A3,299.9212341308594,0.1853042095899582,1627.985107421875,0.0,STANDARD,15,14,2018-01-01
29,41,0,300.0762634277344,R_A3,300.0762634277344,0.5003383159637451,1630.297607421875,0.0,STANDARD,16,15,2018-01-01
29,41,0,300.20220947265625,R_A3,300.20220947265625,0.7994599342346191,1632.176513671875,0.0,STANDARD,17,16,2018-01-01
