DRAWDOWN,SWAT,DEPTH,CONBPRES,WELL,CONIDX,CONKPOS,WELLMODEL,CONJPOS,DATE,CONIPOS,SGAS,PRESSURE
0,0.11639835685491562,1641.094970703125,300.6733093261719,R_A2,1,1,STANDARD,30,2018-01-01,22,0.0,300.6733093261719
0,0.05913596972823143,1642.8890380859375,300.7936096191406,R_A2,2,2,STANDARD,30,2018-01-01,22,0.0,300.7936096191406
0,0.1264522522687912,1644.68310546875,300.9139099121094,R_A2,3,3,STANDARD,30,2018-01-01,22,0.0,300.9139099121094
0,0.10851117223501205,1646.4771728515625,301.0342102050781,R_A2,4,4,STANDARD,30,2018-01-01,22,0.0,301.0342102050781
0,0.11078716069459915,1648.2713623046875,301.1545104980469,R_A2,5,5,STANDARD,30,2018-01-01,22,0.0,301.1545104980469
0,0.31581538915634155,1650.0654296875,301.27484130859375,R_A2,6,6,STANDARD,30,2018-01-01,22,0.0,301.27484130859375
0,0.8967062830924988,1651.859619140625,301.3951721191406,R_A2,7,7,STANDARD,30,2018-01-01,22,0.0,301.3951721191406
0,0.8729602694511414,1653.6536865234375,301.5154724121094,R_A2,8,8,STANDARD,30,2018-01-01,22,0.0,301.5154724121094
0,0.9158713817596436,1655.44775390625,301.63580322265625,R_A2,9,9,STANDARD,30,2018-01-01,22,0.0,301.63580322265625
0,0.9034853577613831,1657.2418212890625,301.7561340332031,R_A2,10,10,STANDARD,30,2018-01-01,22,0.0,301.7561340332031
0,0.07596161216497421,1659.1368408203125,301.88323974609375,R_A2,11,11,STANDARD,30,2018-01-01,22,0.0,301.88323974609375
0,0.08016353845596313,1661.132568359375,302.01708984375,R_A2,12,12,STANDARD,30,2018-01-01,22,0.0,302.01708984375
0,0.45490843057632446,1663.12841796875,302.1509704589844,R_A2,13,13,STANDARD,30,2018-01-01,22,0.0,302.1509704589844
0,0.5153446793556213,1665.1241455078125,302.28485107421875,R_A2,14,14,STANDARD,30,2018-01-01,22,0.0,302.28485107421875
0,0.712632954120636,1667.1199951171875,302.4187316894531,R_A2,15,15,STANDARD,30,2018-01-01,22,0.0,302.4187316894531
0,0.9810691475868225,1669.11572265625,302.5526123046875,R_A2,16,16,STANDARD,30,2018-01-01,22,0.0,302.5526123046875
0,0.945175051689148,1671.111572265625,302.6864929199219,R_A2,17,17,STANDARD,30,2018-01-01,22,0.0,302.6864929199219
0,0.9814856648445129,1672.9881591796875,302.8123779296875,R_A2,18,18,STANDARD,30,2018-01-01,22,0.0,302.8123779296875
