ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL
Valysar,WestLowland,6813610,1078281,543327,378889,53347568
Valysar,CentralSouth,48883481,9760831,7422285,5175931,728771094
Valysar,CentralNorth,26918639,4481458,3186560,2222148,312878433
Valysar,NorthHorst,3980129,511347,258755,158940,31136409
Valysar,CentralRamp,13795924,2434835,1881107,1311790,184700047
Valysar,CentralHorst,77119521,13037088,9878169,6888542,969906777
Valysar,EastLowland,1633367,231639,84442,58886,8291082
Therys,WestLowland,2561919,488226,223863,156111,21980458
Therys,CentralSouth,2570561,747305,449156,313219,44101212
Therys,CentralNorth,13978813,2623164,1420156,990346,139440686
Therys,NorthHorst,8402511,1167942,447380,274804,53834007
Therys,CentralRamp,6662667,1437325,1054247,735179,103513266
Therys,CentralHorst,23776965,6142796,4850646,3382599,476269909
Therys,EastLowland,0,0,0,0,0
Volon,WestLowland,406860,59416,31880,22232,3130230
Volon,CentralSouth,25081406,4741571,3321185,2316029,326096850
Volon,CentralNorth,2715872,383418,177219,123583,17400545
Volon,NorthHorst,6067514,1143723,855111,525252,102896939
Volon,CentralRamp,10294982,1901530,1386772,967066,136162829
Volon,CentralHorst,73988110,12655736,9298330,6484192,912974190
Volon,EastLowland,5117,483,0,0,0
