CONKPOS,SGAS,DRAWDOWN,CONIPOS,WELL,SWAT,CONBPRES,CONIDX,CONJPOS,WELLMODEL,DATE,DEPTH,PRESSURE
1,0.0,0,22,R_A2,0.05906299501657486,300.5760803222656,1,30,STANDARD,2018-01-01,1640.684326171875,300.5760803222656
2,0.0,0,22,R_A2,0.06040284410119057,300.6963195800781,2,30,STANDARD,2018-01-01,1642.4775390625,300.6963195800781
3,0.0,0,22,R_A2,0.1708698570728302,300.8165588378906,3,30,STANDARD,2018-01-01,1644.270751953125,300.8165588378906
4,0.0,0,22,R_A2,0.06977507472038269,300.9367980957031,4,30,STANDARD,2018-01-01,1646.06396484375,300.9367980957031
5,0.0,0,22,R_A2,0.07349047064781189,301.05706787109375,5,30,STANDARD,2018-01-01,1647.857177734375,301.05706787109375
6,0.0,0,22,R_A2,0.31028857827186584,301.17730712890625,6,30,STANDARD,2018-01-01,1649.6505126953125,301.17730712890625
7,0.0,0,22,R_A2,0.906227171421051,301.2975769042969,7,30,STANDARD,2018-01-01,1651.4437255859375,301.2975769042969
8,0.0,0,22,R_A2,0.7430610060691833,301.4178466796875,8,30,STANDARD,2018-01-01,1653.2369384765625,301.4178466796875
9,0.0,0,22,R_A2,0.12397464364767075,301.5380859375,9,30,STANDARD,2018-01-01,1655.0301513671875,301.5380859375
10,0.0,0,22,R_A2,0.6481541991233826,301.6583557128906,10,30,STANDARD,2018-01-01,1656.8233642578125,301.6583557128906
11,0.0,0,22,R_A2,0.0819263681769371,301.7876892089844,11,30,STANDARD,2018-01-01,1658.751708984375,301.7876892089844
13,0.0,0,22,R_A2,0.48315754532814026,302.0644836425781,12,30,STANDARD,2018-01-01,1662.878173828125,302.0644836425781
14,0.0,0,22,R_A2,0.5447039008140564,302.202880859375,13,30,STANDARD,2018-01-01,1664.9415283203125,302.202880859375
15,0.0,0,22,R_A2,0.9790887236595154,302.3412780761719,14,30,STANDARD,2018-01-01,1667.0047607421875,302.3412780761719
16,0.0,0,22,R_A2,0.9861048460006714,302.47967529296875,15,30,STANDARD,2018-01-01,1669.0679931640625,302.47967529296875
17,0.0,0,22,R_A2,0.9794524312019348,302.61810302734375,16,30,STANDARD,2018-01-01,1671.13134765625,302.61810302734375
17,0.0,0,22,R_A2,1.0,302.7803039550781,17,29,STANDARD,2018-01-01,1673.549072265625,302.7803039550781
18,0.0,0,22,R_A2,1.0,303.09259033203125,18,29,STANDARD,2018-01-01,1675.4384765625,303.09259033203125
28,0.0,0,22,R_A2,1.0,303.418212890625,19,29,STANDARD,2018-01-01,1677.305419921875,303.418212890625
29,0.0,0,22,R_A2,1.0,303.5840759277344,20,29,STANDARD,2018-01-01,1679.055908203125,303.5840759277344
30,0.0,0,22,R_A2,1.0,303.7499694824219,21,29,STANDARD,2018-01-01,1680.806640625,303.7499694824219
31,0.0,0,22,R_A2,1.0,303.9158630371094,22,29,STANDARD,2018-01-01,1682.5572509765625,303.9158630371094
32,0.0,0,22,R_A2,1.0,304.0817565917969,23,29,STANDARD,2018-01-01,1684.3077392578125,304.0817565917969
1,0.0,0,28,R_A3,0.2689753472805023,298.41278076171875,1,41,STANDARD,2018-01-01,1608.412109375,298.41278076171875
1,0.0,0,29,R_A3,0.22092954814434052,297.9273986816406,2,41,STANDARD,2018-01-01,1601.16845703125,297.9273986816406
2,0.0,0,29,R_A3,0.19127357006072998,298.06524658203125,3,41,STANDARD,2018-01-01,1603.225830078125,298.06524658203125
3,0.0,0,29,R_A3,0.19147153198719025,298.203125,4,41,STANDARD,2018-01-01,1605.283203125,298.203125
4,0.0,0,29,R_A3,0.3732006251811981,298.34100341796875,5,41,STANDARD,2018-01-01,1607.340576171875,298.34100341796875
5,0.0,0,29,R_A3,0.8218653202056885,298.4788513183594,6,41,STANDARD,2018-01-01,1609.3980712890625,298.4788513183594
6,0.0,0,29,R_A3,0.6481541991233826,298.6167297363281,7,41,STANDARD,2018-01-01,1611.455322265625,298.6167297363281
7,0.0,0,29,R_A3,0.20171409845352173,298.754638671875,8,41,STANDARD,2018-01-01,1613.5126953125,298.754638671875
8,0.0,0,29,R_A3,0.20454108715057373,298.89251708984375,9,41,STANDARD,2018-01-01,1615.5701904296875,298.89251708984375
9,0.0,0,29,R_A3,0.8074135184288025,299.0303955078125,10,41,STANDARD,2018-01-01,1617.6275634765625,299.0303955078125
10,0.0,0,29,R_A3,0.804922878742218,299.1683044433594,11,41,STANDARD,2018-01-01,1619.6849365234375,299.1683044433594
11,0.0,0,29,R_A3,0.05045599117875099,299.3113098144531,12,41,STANDARD,2018-01-01,1621.8184814453125,299.3113098144531
