CONIPOS,DRAWDOWN,CONKPOS,CONIDX,PRESSURE,WELL,CONJPOS,DEPTH,DATE,SGAS,WELLMODEL,SWAT,CONBPRES
22,0,6,6,301.07501220703125,R_A2,30,1648.05908203125,2018-01-01,0.0,STANDARD,0.32212746143341064,301.07501220703125
22,0,7,7,301.18878173828125,R_A2,30,1649.75537109375,2018-01-01,0.0,STANDARD,0.8966236710548401,301.18878173828125
22,0,8,8,301.3025207519531,R_A2,30,1651.45166015625,2018-01-01,0.0,STANDARD,0.8869380354881287,301.3025207519531
22,0,9,9,301.4162902832031,R_A2,30,1653.14794921875,2018-01-01,0.0,STANDARD,0.8980083465576172,301.4162902832031
22,0,10,10,301.5300598144531,R_A2,30,1654.84423828125,2018-01-01,0.0,STANDARD,0.9401465058326721,301.5300598144531
22,0,11,11,301.65673828125,R_A2,30,1656.73291015625,2018-01-01,0.0,STANDARD,0.07527252286672592,301.65673828125
22,0,13,12,301.9359130859375,R_A2,30,1660.8953857421875,2018-01-01,0.0,STANDARD,0.46111053228378296,301.9359130859375
22,0,14,13,302.07550048828125,R_A2,30,1662.9765625,2018-01-01,0.0,STANDARD,0.5240933299064636,302.07550048828125
22,0,15,14,302.2151184082031,R_A2,30,1665.057861328125,2018-01-01,0.0,STANDARD,0.9532503485679626,302.2151184082031
22,0,16,15,302.3547058105469,R_A2,30,1667.1390380859375,2018-01-01,0.0,STANDARD,0.9668943881988525,302.3547058105469
22,0,17,16,302.49432373046875,R_A2,30,1669.22021484375,2018-01-01,0.0,STANDARD,0.9548841118812561,302.49432373046875
22,0,18,17,302.58636474609375,R_A2,30,1670.5924072265625,2018-01-01,0.0,STANDARD,0.9846010208129883,302.58636474609375
22,0,26,18,302.6626281738281,R_A2,30,1671.7291259765625,2018-01-01,0.0,STANDARD,0.3584820330142975,302.6626281738281
22,0,26,19,303.6005859375,R_A2,29,1679.22998046875,2018-01-01,0.0,STANDARD,1.0,303.6005859375
22,0,27,20,303.772705078125,R_A2,29,1681.04638671875,2018-01-01,0.0,STANDARD,1.0,303.772705078125
22,0,28,21,303.94482421875,R_A2,29,1682.8629150390625,2018-01-01,0.0,STANDARD,1.0,303.94482421875
22,0,29,22,304.1169738769531,R_A2,29,1684.6793212890625,2018-01-01,0.0,STANDARD,1.0,304.1169738769531
22,0,30,23,304.2890930175781,R_A2,29,1686.495849609375,2018-01-01,0.0,STANDARD,1.0,304.2890930175781
28,0,1,1,298.6822814941406,R_A3,41,1612.3671875,2018-01-01,0.0,STANDARD,0.6481541991233826,298.6822814941406
28,0,2,2,298.8204345703125,R_A3,41,1614.4285888671875,2018-01-01,0.0,STANDARD,0.1355459988117218,298.8204345703125
28,0,3,3,298.9585876464844,R_A3,41,1616.4901123046875,2018-01-01,0.0,STANDARD,0.11823459714651108,298.9585876464844
28,0,4,4,299.0967712402344,R_A3,41,1618.551513671875,2018-01-01,0.0,STANDARD,0.1832898110151291,299.0967712402344
28,0,5,5,299.23492431640625,R_A3,41,1620.613037109375,2018-01-01,0.0,STANDARD,0.8392154574394226,299.23492431640625
29,0,5,6,298.2371826171875,R_A3,41,1605.725341796875,2018-01-01,0.0,STANDARD,0.8088208436965942,298.2371826171875
29,0,6,7,298.3804016113281,R_A3,41,1607.86279296875,2018-01-01,0.0,STANDARD,0.6481541991233826,298.3804016113281
29,0,7,8,298.5236511230469,R_A3,41,1610.000244140625,2018-01-01,0.0,STANDARD,0.2396518439054489,298.5236511230469
29,0,8,9,298.6669006347656,R_A3,41,1612.1376953125,2018-01-01,0.0,STANDARD,0.20158450305461884,298.6669006347656
29,0,9,10,298.8101501464844,R_A3,41,1614.275146484375,2018-01-01,0.0,STANDARD,0.6481541991233826,298.8101501464844
29,0,10,11,298.9533996582031,R_A3,41,1616.41259765625,2018-01-01,0.0,STANDARD,0.6481541991233826,298.9533996582031
29,0,11,12,299.1018981933594,R_A3,41,1618.628173828125,2018-01-01,0.0,STANDARD,0.047005608677864075,299.1018981933594
29,0,12,13,299.255615234375,R_A3,41,1620.921630859375,2018-01-01,0.0,STANDARD,0.054543498903512955,299.255615234375
29,0,13,14,299.40936279296875,R_A3,41,1623.2152099609375,2018-01-01,0.0,STANDARD,0.37167924642562866,299.40936279296875
29,0,15,15,299.7136535644531,R_A3,41,1627.7545166015625,2018-01-01,0.0,STANDARD,0.35362106561660767,299.7136535644531
29,0,16,16,299.83740234375,R_A3,41,1629.600341796875,2018-01-01,0.0,STANDARD,0.8069092035293579,299.83740234375
29,0,17,17,299.90216064453125,R_A3,41,1630.566650390625,2018-01-01,0.0,STANDARD,0.7847639322280884,299.90216064453125
29,0,26,18,300.0435791015625,R_A3,41,1632.676025390625,2018-01-01,0.0,STANDARD,1.0,300.0435791015625
29,0,27,19,300.2970275878906,R_A3,41,1636.4561767578125,2018-01-01,0.0,STANDARD,0.04607777297496796,300.2970275878906
29,0,28,20,300.55047607421875,R_A3,41,1640.236328125,2018-01-01,0.0,STANDARD,0.08709049969911575,300.55047607421875
29,0,29,21,300.803955078125,R_A3,41,1644.0166015625,2018-01-01,0.0,STANDARD,0.6481541991233826,300.803955078125
29,0,30,22,301.05743408203125,R_A3,41,1647.796630859375,2018-01-01,0.0,STANDARD,0.06626494973897934,301.05743408203125
30,0,1,1,300.0009765625,R_A4,52,1632.04052734375,2018-01-01,0.0,STANDARD,0.05383453518152237,300.0009765625
31,0,1,2,299.5672302246094,R_A4,52,1625.570068359375,2018-01-01,0.0,STANDARD,0.05095736309885979,299.5672302246094
31,0,2,3,299.70513916015625,R_A4,52,1627.62744140625,2018-01-01,0.0,STANDARD,0.05171949788928032,299.70513916015625
31,0,3,4,299.8430480957031,R_A4,52,1629.684814453125,2018-01-01,0.0,STANDARD,0.05213414132595062,299.8430480957031
31,0,4,5,299.98095703125,R_A4,52,1631.7420654296875,2018-01-01,0.0,STANDARD,0.05582241341471672,299.98095703125
31,0,5,6,300.118896484375,R_A4,52,1633.79931640625,2018-01-01,0.0,STANDARD,0.05670436471700668,300.118896484375
31,0,6,7,300.2568359375,R_A4,52,1635.856689453125,2018-01-01,0.0,STANDARD,0.05978699028491974,300.2568359375
32,0,6,8,299.98406982421875,R_A4,52,1631.7884521484375,2018-01-01,0.0,STANDARD,0.05539514124393463,299.98406982421875
32,0,6,9,300.3029479980469,R_A4,51,1636.5447998046875,2018-01-01,0.0,STANDARD,0.05872498080134392,300.3029479980469
32,0,5,10,300.1792297363281,R_A4,51,1634.69921875,2018-01-01,0.0,STANDARD,0.05978906527161598,300.1792297363281
33,0,5,11,300.3722229003906,R_A4,51,1637.5780029296875,2018-01-01,0.0,STANDARD,0.061410386115312576,300.3722229003906
33,0,4,12,300.2498779296875,R_A4,51,1635.7530517578125,2018-01-01,0.0,STANDARD,0.05979783460497856,300.2498779296875
33,0,4,13,300.541259765625,R_A4,50,1640.098876953125,2018-01-01,0.0,STANDARD,0.06664042174816132,300.541259765625
34,0,4,14,300.6025085449219,R_A4,50,1641.01220703125,2018-01-01,0.0,STANDARD,0.06711093336343765,300.6025085449219
34,0,3,15,300.4753723144531,R_A4,50,1639.1163330078125,2018-01-01,0.0,STANDARD,0.06455051153898239,300.4753723144531
35,0,3,16,300.5581359863281,R_A4,50,1640.3504638671875,2018-01-01,0.0,STANDARD,0.06428386270999908,300.5581359863281
35,0,2,17,300.4355773925781,R_A4,50,1638.5228271484375,2018-01-01,0.0,STANDARD,0.20615413784980774,300.4355773925781
35,0,2,18,300.8384094238281,R_A4,49,1644.530517578125,2018-01-01,0.0,STANDARD,0.24681837856769562,300.8384094238281
35,0,1,19,300.7213439941406,R_A4,49,1642.784912109375,2018-01-01,0.0,STANDARD,0.24666307866573334,300.7213439941406
36,0,29,20,300.8033142089844,R_A4,49,1644.0069580078125,2018-01-01,0.0,STANDARD,0.1888953447341919,300.8033142089844
36,0,29,21,300.627197265625,R_A4,48,1641.380859375,2018-01-01,0.0,STANDARD,0.24340884387493134,300.627197265625
37,0,29,22,301.1365051269531,R_A4,48,1648.9757080078125,2018-01-01,0.0,STANDARD,0.688867449760437,301.1365051269531
37,0,28,23,300.7566223144531,R_A4,48,1643.3106689453125,2018-01-01,0.0,STANDARD,0.6481541991233826,300.7566223144531
38,0,28,24,301.42193603515625,R_A4,48,1653.23193359375,2018-01-01,0.0,STANDARD,0.2544890344142914,301.42193603515625
38,0,28,25,301.8887023925781,R_A4,47,1660.191650390625,2018-01-01,0.0,STANDARD,0.1587660312652588,301.8887023925781
38,0,27,26,301.5088806152344,R_A4,47,1654.5283203125,2018-01-01,0.0,STANDARD,0.058846354484558105,301.5088806152344
31,0,1,1,303.78448486328125,R_A5,20,1684.3974609375,2018-01-01,0.0,STANDARD,1.0,303.78448486328125
31,0,2,2,303.9966125488281,R_A5,20,1686.635986328125,2018-01-01,0.0,STANDARD,1.0,303.9966125488281
31,0,3,3,304.208740234375,R_A5,20,1688.8746337890625,2018-01-01,0.0,STANDARD,1.0,304.208740234375
31,0,4,4,304.4208679199219,R_A5,20,1691.113037109375,2018-01-01,0.0,STANDARD,1.0,304.4208679199219
31,0,5,5,304.63299560546875,R_A5,20,1693.3515625,2018-01-01,0.0,STANDARD,1.0,304.63299560546875
31,0,6,6,304.8451232910156,R_A5,20,1695.590087890625,2018-01-01,0.0,STANDARD,1.0,304.8451232910156
31,0,7,7,305.3630676269531,R_A5,20,1697.82861328125,2018-01-01,0.0,STANDARD,1.0,305.3630676269531
31,0,11,8,305.4580383300781,R_A5,21,1702.056396484375,2018-01-01,0.0,STANDARD,1.0,305.4580383300781
31,0,12,9,305.64495849609375,R_A5,21,1704.028564453125,2018-01-01,0.0,STANDARD,1.0,305.64495849609375
31,0,13,10,305.84381103515625,R_A5,21,1706.0006103515625,2018-01-01,0.0,STANDARD,1.0,305.84381103515625
31,0,14,11,306.0307312011719,R_A5,21,1707.9727783203125,2018-01-01,0.0,STANDARD,1.0,306.0307312011719
