ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL
Valysar,WestLowland,5693685,867765,453767,316435,44553989
Valysar,CentralSouth,67815226,12515357,9125247,6363492,895979670
Valysar,CentralNorth,37785648,6235661,4529061,3158341,444694426
Valysar,NorthHorst,3724932,508785,248834,152847,29942639
Valysar,CentralRamp,13727417,2308381,1661525,1158664,163139954
Valysar,CentralHorst,87187423,14850837,11511576,8027599,1130285908
Valysar,EastLowland,1033929,194469,88848,61958,8723710
Therys,WestLowland,2523044,407298,176612,123160,17340963
Therys,CentralSouth,12512289,2941197,1790207,1248401,175774843
Therys,CentralNorth,21822231,3777120,2150352,1499548,211136335
Therys,NorthHorst,6157001,815674,278458,171043,33507356
Therys,CentralRamp,6578286,1373025,1051618,733346,103255081
Therys,CentralHorst,30544349,7153021,5695856,3972006,559258414
Therys,EastLowland,0,0,0,0,0
Volon,WestLowland,332025,51339,27628,19266,2712677
Volon,CentralSouth,31228322,6069928,4494942,3134548,441344357
Volon,CentralNorth,7453305,1112215,665213,463887,65315225
Volon,NorthHorst,5154779,915504,644069,395620,77501862
Volon,CentralRamp,11217251,2000623,1513196,1055227,148576001
Volon,CentralHorst,81692932,14636468,11781458,8215801,1156784799
Volon,EastLowland,0,0,0,0,0
