ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL,BULK_GAS,PORV_GAS,HCPV_GAS,GIIP_GAS,ASSOCIATEDOIL_GAS
Valysar,WestLowland,4926419,646774,384280,267978,37731271,0,0,0,0,0
Valysar,CentralSouth,60229660,10891064,7844213,5470162,770198871,0,0,0,0,0
Valysar,CentralNorth,33449390,6184095,4488620,3130139,440723627,0,0,0,0,0
Valysar,NorthHorst,3418351,486533,250404,153811,30131499,24618365,3501588,2334026,542796693,83048
Valysar,CentralRamp,13746446,2107364,1387226,967382,136207407,0,0,0,0,0
Valysar,CentralHorst,83933467,14369131,11033597,7694280,1083354638,0,0,0,0,0
Valysar,EastLowland,291997,74763,44600,31102,4379144,0,0,0,0,0
Therys,WestLowland,2204974,408714,216411,150915,21248766,0,0,0,0,0
Therys,CentralSouth,8168841,1720036,1032046,719698,101333411,0,0,0,0,0
Therys,CentralNorth,17503602,3192689,1872189,1305571,183824471,0,0,0,0,0
Therys,NorthHorst,5793129,868500,348075,213805,41884447,17244197,2866181,1819353,423105435,64735
Therys,CentralRamp,6770890,1465289,1130504,788357,111000648,0,0,0,0,0
Therys,CentralHorst,27376190,6965612,5389218,3758172,529150599,0,0,0,0,0
Therys,EastLowland,0,0,0,0,0,0,0,0,0,0
Volon,WestLowland,254401,40236,22636,15785,2222574,0,0,0,0,0
Volon,CentralSouth,26381979,4636176,3305943,2305399,324600249,0,0,0,0,0
Volon,CentralNorth,4004869,606235,373704,260603,36692876,0,0,0,0,0
Volon,NorthHorst,4507648,806370,608110,373532,73174928,2936745,487034,393575,91529098,14004
Volon,CentralRamp,11675893,2238838,1643998,1146442,161419040,0,0,0,0,0
Volon,CentralHorst,77820838,13585355,9913707,6913324,973396057,0,0,0,0,0
Volon,EastLowland,0,0,0,0,0,0,0,0,0,0
