CONKPOS,SGAS,DATE,WELL,DEPTH,CONIDX,CONIPOS,PRESSURE,DRAWDOWN,CONBPRES,WELLMODEL,CONJPOS,SWAT
1,0.0,2018-01-01,R_A2,1640.1051025390625,1,22,300.54913330078125,0,300.54913330078125,STANDARD,30,0.05768852308392525
2,0.0,2018-01-01,R_A2,1641.947265625,2,22,300.67266845703125,0,300.67266845703125,STANDARD,30,0.06041967123746872
3,0.0,2018-01-01,R_A2,1643.789306640625,3,22,300.7961730957031,0,300.7961730957031,STANDARD,30,0.06267920136451721
4,0.0,2018-01-01,R_A2,1645.63134765625,4,22,300.919677734375,0,300.919677734375,STANDARD,30,0.06843335926532745
5,0.0,2018-01-01,R_A2,1647.473388671875,5,22,301.043212890625,0,301.043212890625,STANDARD,30,0.07091252505779266
6,0.0,2018-01-01,R_A2,1649.3154296875,6,22,301.166748046875,0,301.166748046875,STANDARD,30,0.6481541991233826
7,0.0,2018-01-01,R_A2,1651.157470703125,7,22,301.290283203125,0,301.290283203125,STANDARD,30,0.9046054482460022
8,0.0,2018-01-01,R_A2,1652.99951171875,8,22,301.413818359375,0,301.413818359375,STANDARD,30,0.9035691022872925
9,0.0,2018-01-01,R_A2,1654.841552734375,9,22,301.537353515625,0,301.537353515625,STANDARD,30,0.916170597076416
10,0.0,2018-01-01,R_A2,1656.68359375,10,22,301.660888671875,0,301.660888671875,STANDARD,30,0.9321171045303345
11,0.0,2018-01-01,R_A2,1658.644775390625,11,22,301.79241943359375,0,301.79241943359375,STANDARD,30,0.08127635717391968
13,0.0,2018-01-01,R_A2,1662.8055419921875,12,22,302.0715026855469,0,302.0715026855469,STANDARD,30,0.47767531871795654
14,0.0,2018-01-01,R_A2,1664.885986328125,13,22,302.2110595703125,0,302.2110595703125,STANDARD,30,0.5484315156936646
15,0.0,2018-01-01,R_A2,1666.9664306640625,14,22,302.3506164550781,0,302.3506164550781,STANDARD,30,0.7309969067573547
15,0.0,2018-01-01,R_A2,1668.1846923828125,15,22,302.43231201171875,0,302.43231201171875,STANDARD,29,0.9756889343261719
16,0.0,2018-01-01,R_A2,1670.2958984375,16,22,302.5739440917969,0,302.5739440917969,STANDARD,29,0.989516019821167
17,0.0,2018-01-01,R_A2,1672.4072265625,17,22,302.715576171875,0,302.715576171875,STANDARD,29,0.9877199530601501
18,0.0,2018-01-01,R_A2,1674.2274169921875,18,22,302.83770751953125,0,302.83770751953125,STANDARD,29,1.0
26,0.0,2018-01-01,R_A2,1675.87353515625,19,22,302.9767150878906,0,302.9767150878906,STANDARD,29,1.0
27,0.0,2018-01-01,R_A2,1677.636474609375,20,22,303.4495849609375,0,303.4495849609375,STANDARD,29,1.0
28,0.0,2018-01-01,R_A2,1679.3994140625,21,22,303.61663818359375,0,303.61663818359375,STANDARD,29,1.0
29,0.0,2018-01-01,R_A2,1681.162353515625,22,22,303.78369140625,0,303.78369140625,STANDARD,29,1.0
30,0.0,2018-01-01,R_A2,1682.92529296875,23,22,303.95074462890625,0,303.95074462890625,STANDARD,29,1.0
1,0.0,2018-01-01,R_A3,1610.0977783203125,1,28,298.53765869140625,0,298.53765869140625,STANDARD,41,0.6481541991233826
2,0.0,2018-01-01,R_A3,1612.1575927734375,2,28,298.6756896972656,0,298.6756896972656,STANDARD,41,0.20123526453971863
3,0.0,2018-01-01,R_A3,1614.21728515625,3,28,298.813720703125,0,298.813720703125,STANDARD,41,0.20085476338863373
4,0.0,2018-01-01,R_A3,1616.277099609375,4,28,298.9517822265625,0,298.9517822265625,STANDARD,41,0.6481541991233826
4,0.0,2018-01-01,R_A3,1606.1717529296875,5,29,298.2745361328125,0,298.2745361328125,STANDARD,41,0.37691226601600647
5,0.0,2018-01-01,R_A3,1608.142822265625,6,29,298.4066162109375,0,298.4066162109375,STANDARD,41,0.8200763463973999
6,0.0,2018-01-01,R_A3,1610.11376953125,7,29,298.5387268066406,0,298.5387268066406,STANDARD,41,0.6481541991233826
7,0.0,2018-01-01,R_A3,1612.084716796875,8,29,298.6708068847656,0,298.6708068847656,STANDARD,41,0.19778668880462646
8,0.0,2018-01-01,R_A3,1614.0556640625,9,29,298.8028869628906,0,298.8028869628906,STANDARD,41,0.2375425547361374
9,0.0,2018-01-01,R_A3,1616.026611328125,10,29,298.93499755859375,0,298.93499755859375,STANDARD,41,0.8070627450942993
10,0.0,2018-01-01,R_A3,1617.99755859375,11,29,299.0671081542969,0,299.0671081542969,STANDARD,41,0.8059858083724976
11,0.0,2018-01-01,R_A3,1620.1417236328125,12,29,299.2108154296875,0,299.2108154296875,STANDARD,41,0.049516547471284866
12,0.0,2018-01-01,R_A3,1622.4588623046875,13,29,299.3661193847656,0,299.3661193847656,STANDARD,41,0.05640034377574921
13,0.0,2018-01-01,R_A3,1624.776123046875,14,29,299.5214538574219,0,299.5214538574219,STANDARD,41,0.3742809295654297
15,0.0,2018-01-01,R_A3,1629.410400390625,15,29,299.8321228027344,0,299.8321228027344,STANDARD,41,0.5071631669998169
16,0.0,2018-01-01,R_A3,1631.2225341796875,16,29,299.95361328125,0,299.95361328125,STANDARD,41,0.8116234540939331
26,0.0,2018-01-01,R_A3,1633.664306640625,17,29,300.1173095703125,0,300.1173095703125,STANDARD,41,0.765505313873291
27,0.0,2018-01-01,R_A3,1637.2408447265625,18,29,300.3570861816406,0,300.3570861816406,STANDARD,41,0.24056872725486755
28,0.0,2018-01-01,R_A3,1640.8173828125,19,29,300.5968933105469,0,300.5968933105469,STANDARD,41,0.049123454838991165
29,0.0,2018-01-01,R_A3,1644.3939208984375,20,29,300.8367004394531,0,300.8367004394531,STANDARD,41,0.22928844392299652
30,0.0,2018-01-01,R_A3,1647.970458984375,21,29,301.0765380859375,0,301.0765380859375,STANDARD,41,0.06486808508634567
1,0.0,2018-01-01,R_A4,1631.38134765625,1,30,299.9642639160156,0,299.9642639160156,STANDARD,52,0.052899476140737534
1,0.0,2018-01-01,R_A4,1628.7596435546875,2,31,299.78851318359375,0,299.78851318359375,STANDARD,52,0.052554041147232056
2,0.0,2018-01-01,R_A4,1630.881591796875,3,31,299.9307556152344,0,299.9307556152344,STANDARD,52,0.20416979491710663
3,0.0,2018-01-01,R_A4,1633.003662109375,4,31,300.072998046875,0,300.072998046875,STANDARD,52,0.21482323110103607
3,0.0,2018-01-01,R_A4,1633.2745361328125,5,32,300.0911865234375,0,300.0911865234375,STANDARD,52,0.0573711171746254
3,0.0,2018-01-01,R_A4,1635.817138671875,6,32,300.2616271972656,0,300.2616271972656,STANDARD,51,0.6481541991233826
2,0.0,2018-01-01,R_A4,1633.9222412109375,7,32,300.13458251953125,0,300.13458251953125,STANDARD,51,0.6481541991233826
2,0.0,2018-01-01,R_A4,1637.177001953125,8,33,300.3528137207031,0,300.3528137207031,STANDARD,51,0.06062432751059532
1,0.0,2018-01-01,R_A4,1635.2454833984375,9,33,300.22332763671875,0,300.22332763671875,STANDARD,51,0.05960727855563164
2,0.0,2018-01-01,R_A4,1639.5157470703125,10,33,300.5096130371094,0,300.5096130371094,STANDARD,50,0.06191207095980644
2,0.0,2018-01-01,R_A4,1638.05322265625,11,34,300.41156005859375,0,300.41156005859375,STANDARD,50,0.10431410372257233
3,0.0,2018-01-01,R_A4,1640.116943359375,12,34,300.5499267578125,0,300.5499267578125,STANDARD,50,0.06432867795228958
3,0.0,2018-01-01,R_A4,1644.2901611328125,13,35,300.8297424316406,0,300.8297424316406,STANDARD,50,0.06697218120098114
2,0.0,2018-01-01,R_A4,1642.271484375,14,35,300.69439697265625,0,300.69439697265625,STANDARD,50,0.17142905294895172
2,0.0,2018-01-01,R_A4,1640.9229736328125,15,35,300.6039733886719,0,300.6039733886719,STANDARD,49,0.1705472469329834
1,0.0,2018-01-01,R_A4,1638.927490234375,16,35,300.4701843261719,0,300.4701843261719,STANDARD,49,0.23696081340312958
29,0.0,2018-01-01,R_A4,1645.2733154296875,17,36,300.89569091796875,0,300.89569091796875,STANDARD,49,0.1046343669295311
29,0.0,2018-01-01,R_A4,1640.5926513671875,18,36,300.5818176269531,0,300.5818176269531,STANDARD,48,0.05862019211053848
29,0.0,2018-01-01,R_A4,1649.1748046875,19,37,301.1573181152344,0,301.1573181152344,STANDARD,48,0.6481541991233826
29,0.0,2018-01-01,R_A4,1659.206298828125,20,38,301.830078125,0,301.830078125,STANDARD,48,0.6588459610939026
28,0.0,2018-01-01,R_A4,1653.38916015625,21,38,301.43994140625,0,301.43994140625,STANDARD,48,0.16637107729911804
28,0.0,2018-01-01,R_A4,1653.68310546875,22,38,301.45965576171875,0,301.45965576171875,STANDARD,47,0.0714552104473114
1,0.0,2018-01-01,R_A5,1686.0419921875,1,31,303.9403076171875,0,303.9403076171875,STANDARD,20,1.0
2,0.0,2018-01-01,R_A5,1688.2708740234375,2,31,304.1515197753906,0,304.1515197753906,STANDARD,20,1.0
3,0.0,2018-01-01,R_A5,1690.4998779296875,3,31,304.3627624511719,0,304.3627624511719,STANDARD,20,1.0
4,0.0,2018-01-01,R_A5,1692.728759765625,4,31,304.573974609375,0,304.573974609375,STANDARD,20,1.0
5,0.0,2018-01-01,R_A5,1694.9576416015625,5,31,304.78521728515625,0,304.78521728515625,STANDARD,20,1.0
6,0.0,2018-01-01,R_A5,1697.1865234375,6,31,304.9964294433594,0,304.9964294433594,STANDARD,20,1.0
7,0.0,2018-01-01,R_A5,1699.41552734375,7,31,305.5134582519531,0,305.5134582519531,STANDARD,20,1.0
11,0.0,2018-01-01,R_A5,1703.63623046875,8,31,305.6077575683594,0,305.6077575683594,STANDARD,21,1.0
12,0.0,2018-01-01,R_A5,1705.49755859375,9,31,305.7841796875,0,305.7841796875,STANDARD,21,1.0
13,0.0,2018-01-01,R_A5,1707.3587646484375,10,31,305.9725341796875,0,305.9725341796875,STANDARD,21,1.0
14,0.0,2018-01-01,R_A5,1709.2200927734375,11,31,306.14892578125,0,306.14892578125,STANDARD,21,1.0
15,0.0,2018-01-01,R_A5,1711.0814208984375,12,31,306.3253173828125,0,306.3253173828125,STANDARD,21,1.0
16,0.0,2018-01-01,R_A5,1712.9427490234375,13,31,306.6467590332031,0,306.6467590332031,STANDARD,21,1.0
17,0.0,2018-01-01,R_A5,1714.626708984375,14,31,306.80633544921875,0,306.80633544921875,STANDARD,21,1.0
