CONIPOS,DRAWDOWN,WELLMODEL,PRESSURE,WELL,CONIDX,DEPTH,CONBPRES,SGAS,SWAT,CONKPOS,DATE,CONJPOS
22,0,STANDARD,300.6733093261719,R_A2,1,1641.094970703125,300.6733093261719,0.0,0.05659883841872215,1,2018-01-01,30
22,0,STANDARD,300.7936096191406,R_A2,2,1642.8890380859375,300.7936096191406,0.0,0.057897210121154785,2,2018-01-01,30
22,0,STANDARD,300.9139099121094,R_A2,3,1644.68310546875,300.9139099121094,0.0,0.06060889735817909,3,2018-01-01,30
22,0,STANDARD,301.0342102050781,R_A2,4,1646.4771728515625,301.0342102050781,0.0,0.06530755013227463,4,2018-01-01,30
22,0,STANDARD,301.1545104980469,R_A2,5,1648.2713623046875,301.1545104980469,0.0,0.06916967034339905,5,2018-01-01,30
22,0,STANDARD,301.27484130859375,R_A2,6,1650.0654296875,301.27484130859375,0.0,0.3080350458621979,6,2018-01-01,30
22,0,STANDARD,301.3951721191406,R_A2,7,1651.859619140625,301.3951721191406,0.0,0.8966805338859558,7,2018-01-01,30
22,0,STANDARD,301.5154724121094,R_A2,8,1653.6536865234375,301.5154724121094,0.0,0.8801488876342773,8,2018-01-01,30
22,0,STANDARD,301.63580322265625,R_A2,9,1655.44775390625,301.63580322265625,0.0,0.9076734781265259,9,2018-01-01,30
22,0,STANDARD,301.7561340332031,R_A2,10,1657.2418212890625,301.7561340332031,0.0,0.9077416062355042,10,2018-01-01,30
22,0,STANDARD,301.88323974609375,R_A2,11,1659.1368408203125,301.88323974609375,0.0,0.07622610777616501,11,2018-01-01,30
22,0,STANDARD,302.01708984375,R_A2,12,1661.132568359375,302.01708984375,0.0,0.08180969953536987,12,2018-01-01,30
22,0,STANDARD,302.1509704589844,R_A2,13,1663.12841796875,302.1509704589844,0.0,0.4750072658061981,13,2018-01-01,30
22,0,STANDARD,302.28485107421875,R_A2,14,1665.1241455078125,302.28485107421875,0.0,0.512985348701477,14,2018-01-01,30
22,0,STANDARD,302.4187316894531,R_A2,15,1667.1199951171875,302.4187316894531,0.0,0.679781973361969,15,2018-01-01,30
22,0,STANDARD,302.5526123046875,R_A2,16,1669.11572265625,302.5526123046875,0.0,0.9705216884613037,16,2018-01-01,30
22,0,STANDARD,302.6864929199219,R_A2,17,1671.111572265625,302.6864929199219,0.0,0.9569120407104492,17,2018-01-01,30
22,0,STANDARD,302.8123779296875,R_A2,18,1672.9881591796875,302.8123779296875,0.0,0.9819161295890808,18,2018-01-01,30
22,0,STANDARD,302.89569091796875,R_A2,19,1674.229736328125,302.89569091796875,0.0,0.9946486949920654,18,2018-01-01,29
