ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL
Valysar,WestLowland,4908777,783443,458680,319861,45036362
Valysar,CentralSouth,60358268,11632760,8772940,6117811,861387747
Valysar,CentralNorth,33496707,5390872,3501357,2441671,343787344
Valysar,NorthHorst,4025607,450565,212935,130796,25622860
Valysar,CentralRamp,13747335,2399030,1788910,1247497,175647544
Valysar,CentralHorst,83965845,15093046,11872990,8279631,1165772041
Valysar,EastLowland,288978,56802,12929,9016,1269426
Therys,WestLowland,2193689,405682,195560,136374,19201411
Therys,CentralSouth,8219316,1992679,1210935,844446,118897972
Therys,CentralNorth,17576284,3320983,1891127,1318777,185683866
Therys,NorthHorst,6910232,971633,379255,232958,45636406
Therys,CentralRamp,6771661,1540919,1146348,799406,112556321
Therys,CentralHorst,27416911,7362760,5643173,3935267,554085584
Therys,EastLowland,0,0,0,0,0
Volon,WestLowland,252999,40275,16857,11755,1655119
Volon,CentralSouth,26486060,5188545,3774244,2631969,370581299
Volon,CentralNorth,4038314,579095,306979,214072,30141285
Volon,NorthHorst,4982967,904823,694288,426467,83544872
Volon,CentralRamp,11700895,2115282,1578531,1100789,154991027
Volon,CentralHorst,77883766,14026507,10993043,7666000,1079372762
Volon,EastLowland,0,0,0,0,0
