ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL
Valysar,WestLowland,5252073,827800,473899,330474,46530716
Valysar,CentralSouth,69328843,12676377,9553342,6662024,938013022
Valysar,CentralNorth,37988174,6692549,4943572,3447400,485393957
Valysar,NorthHorst,3940849,670424,358590,220264,43149685
Valysar,CentralRamp,13452267,2063171,1434031,1000022,140803049
Valysar,CentralHorst,86234630,14022847,10794947,7527857,1059922339
Valysar,EastLowland,786812,130382,68462,47742,6722026
Therys,WestLowland,2397602,424098,207591,144764,20382746
Therys,CentralSouth,17351279,4122254,2577411,1797357,253067938
Therys,CentralNorth,21485472,3980158,2297455,1602130,225579936
Therys,NorthHorst,5241708,689611,261141,160406,31423479
Therys,CentralRamp,6649670,1663605,1287104,897562,126376719
Therys,CentralHorst,31298277,7844571,6065499,4229776,595552488
Therys,EastLowland,0,0,0,0,0
Volon,WestLowland,290932,47237,21293,14849,2090691
Volon,CentralSouth,34259310,6511792,4714311,3287525,462883590
Volon,CentralNorth,7207340,1006934,532413,371278,52275985
Volon,NorthHorst,3562140,650442,452920,278206,54500615
Volon,CentralRamp,12571837,2284093,1777627,1239628,174539653
Volon,CentralHorst,83906823,15100536,12032401,8390796,1181424129
Volon,EastLowland,0,0,0,0,0
