DRAWDOWN,WELL,CONKPOS,CONJPOS,SGAS,DATE,WELLMODEL,PRESSURE,CONIDX,SWAT,CONIPOS,CONBPRES,DEPTH
0,R_A2,3,30,0.0,2018-01-01,STANDARD,301.08538818359375,3,0.05776412785053253,22,301.08538818359375,1645.3065185546875
0,R_A2,4,30,0.0,2018-01-01,STANDARD,301.2041320800781,4,0.06361702084541321,22,301.2041320800781,1647.0772705078125
0,R_A2,5,30,0.0,2018-01-01,STANDARD,301.3228759765625,5,0.06640537828207016,22,301.3228759765625,1648.8480224609375
0,R_A2,6,30,0.0,2018-01-01,STANDARD,301.441650390625,6,0.3164619207382202,22,301.441650390625,1650.618896484375
0,R_A2,7,30,0.0,2018-01-01,STANDARD,301.5603942871094,7,0.8735352158546448,22,301.5603942871094,1652.3896484375
0,R_A2,8,30,0.0,2018-01-01,STANDARD,301.6791687011719,8,0.8480820059776306,22,301.6791687011719,1654.1605224609375
0,R_A2,9,30,0.0,2018-01-01,STANDARD,301.7979431152344,9,0.6481541991233826,22,301.7979431152344,1655.9312744140625
0,R_A2,10,30,0.0,2018-01-01,STANDARD,301.91668701171875,10,0.8909491896629333,22,301.91668701171875,1657.7020263671875
0,R_A2,11,30,0.0,2018-01-01,STANDARD,302.04541015625,11,0.06970036029815674,22,302.04541015625,1659.62109375
0,R_A2,12,30,0.0,2018-01-01,STANDARD,302.18408203125,12,0.07156020402908325,22,302.18408203125,1661.688232421875
0,R_A2,13,30,0.0,2018-01-01,STANDARD,302.32275390625,13,0.4354638159275055,22,302.32275390625,1663.7554931640625
0,R_A2,14,30,0.0,2018-01-01,STANDARD,302.46142578125,14,0.4727648198604584,22,302.46142578125,1665.82275390625
0,R_A2,15,30,0.0,2018-01-01,STANDARD,302.60009765625,15,0.9103023409843445,22,302.60009765625,1667.889892578125
0,R_A2,16,30,0.0,2018-01-01,STANDARD,302.73876953125,16,0.9377249479293823,22,302.73876953125,1669.9571533203125
0,R_A2,17,30,0.0,2018-01-01,STANDARD,302.8774719238281,17,0.8849146962165833,22,302.8774719238281,1672.0244140625
0,R_A2,18,30,0.0,2018-01-01,STANDARD,303.00164794921875,18,0.9450502395629883,22,303.00164794921875,1673.87548828125
0,R_A2,18,29,0.0,2018-01-01,STANDARD,303.1293029785156,19,0.9715359807014465,22,303.1293029785156,1675.7783203125
0,R_A2,26,29,0.0,2018-01-01,STANDARD,303.2489013671875,20,0.15420420467853546,22,303.2489013671875,1677.560791015625
0,R_A2,27,29,0.0,2018-01-01,STANDARD,303.3660888671875,21,0.7957842350006104,22,303.3660888671875,1679.3070068359375
0,R_A2,28,29,0.0,2018-01-01,STANDARD,303.4832458496094,22,0.8462010622024536,22,303.4832458496094,1681.05322265625
0,R_A2,29,29,0.0,2018-01-01,STANDARD,303.9388122558594,23,1.0,22,303.9388122558594,1682.7994384765625
0,R_A2,30,29,0.0,2018-01-01,STANDARD,304.10430908203125,24,1.0,22,304.10430908203125,1684.545654296875
0,R_A3,1,41,0.0,2018-01-01,STANDARD,298.6281433105469,1,0.2597396969795227,28,298.6281433105469,1608.652587890625
0,R_A3,2,41,0.0,2018-01-01,STANDARD,298.76544189453125,2,0.190843865275383,28,298.76544189453125,1610.701171875
0,R_A3,3,41,0.0,2018-01-01,STANDARD,298.9027404785156,3,0.11300153285264969,28,298.9027404785156,1612.749755859375
0,R_A3,4,41,0.0,2018-01-01,STANDARD,299.0400390625,4,0.0808711126446724,28,299.0400390625,1614.79833984375
0,R_A3,4,41,0.0,2018-01-01,STANDARD,298.47430419921875,5,0.13543814420700073,29,298.47430419921875,1606.356689453125
0,R_A3,5,41,0.0,2018-01-01,STANDARD,298.6121520996094,6,0.8064015507698059,29,298.6121520996094,1608.413818359375
0,R_A3,6,41,0.0,2018-01-01,STANDARD,298.75,7,0.33042043447494507,29,298.75,1610.4708251953125
0,R_A3,7,41,0.0,2018-01-01,STANDARD,298.88787841796875,8,0.19457818567752838,29,298.88787841796875,1612.5279541015625
0,R_A3,8,41,0.0,2018-01-01,STANDARD,299.0257263183594,9,0.19478969275951385,29,299.0257263183594,1614.5849609375
0,R_A3,9,41,0.0,2018-01-01,STANDARD,299.1636047363281,10,0.7951148152351379,29,299.1636047363281,1616.641845703125
0,R_A3,10,41,0.0,2018-01-01,STANDARD,299.3014831542969,11,0.7889500856399536,29,299.3014831542969,1618.698974609375
0,R_A3,11,41,0.0,2018-01-01,STANDARD,299.4461975097656,12,0.04746534302830696,29,299.4461975097656,1620.857666015625
0,R_A3,12,41,0.0,2018-01-01,STANDARD,299.5977478027344,13,0.0523509718477726,29,299.5977478027344,1623.1182861328125
0,R_A3,13,41,0.0,2018-01-01,STANDARD,299.749267578125,14,0.3664502501487732,29,299.749267578125,1625.37890625
0,R_A3,14,41,0.0,2018-01-01,STANDARD,299.90081787109375,15,0.38489487767219543,29,299.90081787109375,1627.6395263671875
0,R_A3,15,41,0.0,2018-01-01,STANDARD,300.0523681640625,16,0.442869633436203,29,300.0523681640625,1629.900146484375
0,R_A3,16,41,0.0,2018-01-01,STANDARD,300.18511962890625,17,0.8000521659851074,29,300.18511962890625,1631.8802490234375
0,R_A3,26,41,0.0,2018-01-01,STANDARD,300.36187744140625,18,0.1384560763835907,29,300.36187744140625,1634.5167236328125
0,R_A3,27,41,0.0,2018-01-01,STANDARD,300.5998840332031,19,0.045685574412345886,29,300.5998840332031,1638.0660400390625
0,R_A3,28,41,0.0,2018-01-01,STANDARD,300.8378601074219,20,0.04937494173645973,29,300.8378601074219,1641.6153564453125
0,R_A3,29,41,0.0,2018-01-01,STANDARD,301.07586669921875,21,0.6481541991233826,29,301.07586669921875,1645.16455078125
0,R_A3,30,41,0.0,2018-01-01,STANDARD,301.3138732910156,22,0.10966847836971283,29,301.3138732910156,1648.7139892578125
0,R_A4,1,52,0.0,2018-01-01,STANDARD,300.2898864746094,1,0.05099496245384216,30,300.2898864746094,1633.4429931640625
0,R_A4,1,52,0.0,2018-01-01,STANDARD,299.8425598144531,2,0.04746429994702339,31,299.8425598144531,1626.7705078125
0,R_A4,2,52,0.0,2018-01-01,STANDARD,299.97979736328125,3,0.050385020673274994,31,299.97979736328125,1628.817626953125
0,R_A4,3,52,0.0,2018-01-01,STANDARD,300.1170349121094,4,0.050176892429590225,31,300.1170349121094,1630.86474609375
0,R_A4,4,52,0.0,2018-01-01,STANDARD,300.2542724609375,5,0.05289095640182495,31,300.2542724609375,1632.9117431640625
0,R_A4,5,52,0.0,2018-01-01,STANDARD,300.39154052734375,6,0.3023264706134796,31,300.39154052734375,1634.9588623046875
0,R_A4,5,52,0.0,2018-01-01,STANDARD,300.261962890625,7,0.24697069823741913,32,300.261962890625,1633.0264892578125
0,R_A4,5,51,0.0,2018-01-01,STANDARD,300.5448303222656,8,0.1521000862121582,32,300.5448303222656,1637.2451171875
0,R_A4,4,51,0.0,2018-01-01,STANDARD,300.4234313964844,9,0.0558490976691246,32,300.4234313964844,1635.4345703125
0,R_A4,4,51,0.0,2018-01-01,STANDARD,300.48486328125,10,0.056032098829746246,33,300.48486328125,1636.35107421875
0,R_A4,4,50,0.0,2018-01-01,STANDARD,300.8324890136719,11,0.06040235981345177,33,300.8324890136719,1641.535400390625
