CONBPRES,CONKPOS,SWAT,PRESSURE,SGAS,WELLMODEL,CONJPOS,DEPTH,CONIDX,WELL,DATE,CONIPOS,DRAWDOWN
300.5433654785156,1,0.055409081280231476,300.5433654785156,0.0,STANDARD,30,1638.9219970703125,1,R_A2,2018-01-01,22,0
300.6624450683594,2,0.05728425830602646,300.6624450683594,0.0,STANDARD,30,1640.6981201171875,2,R_A2,2018-01-01,22,0
300.78155517578125,3,0.05961132422089577,300.78155517578125,0.0,STANDARD,30,1642.4742431640625,3,R_A2,2018-01-01,22,0
300.900634765625,4,0.06378580629825592,300.900634765625,0.0,STANDARD,30,1644.2503662109375,4,R_A2,2018-01-01,22,0
301.0197448730469,5,0.06827393919229507,301.0197448730469,0.0,STANDARD,30,1646.0264892578125,5,R_A2,2018-01-01,22,0
301.13885498046875,6,0.3083997666835785,301.13885498046875,0.0,STANDARD,30,1647.802490234375,6,R_A2,2018-01-01,22,0
301.2579650878906,7,0.8822652697563171,301.2579650878906,0.0,STANDARD,30,1649.57861328125,7,R_A2,2018-01-01,22,0
301.3770751953125,8,0.8675826787948608,301.3770751953125,0.0,STANDARD,30,1651.354736328125,8,R_A2,2018-01-01,22,0
301.4961853027344,9,0.8848382830619812,301.4961853027344,0.0,STANDARD,30,1653.130859375,9,R_A2,2018-01-01,22,0
301.61529541015625,10,0.8974254131317139,301.61529541015625,0.0,STANDARD,30,1654.906982421875,10,R_A2,2018-01-01,22,0
301.74334716796875,11,0.07210598886013031,301.74334716796875,0.0,STANDARD,30,1656.81591796875,11,R_A2,2018-01-01,22,0
302.0172424316406,13,0.43810296058654785,302.0172424316406,0.0,STANDARD,30,1660.899658203125,12,R_A2,2018-01-01,22,0
302.1542053222656,14,0.48686373233795166,302.1542053222656,0.0,STANDARD,30,1662.94140625,13,R_A2,2018-01-01,22,0
302.2911682128906,15,0.929506242275238,302.2911682128906,0.0,STANDARD,30,1664.9832763671875,14,R_A2,2018-01-01,22,0
302.4281311035156,16,0.9598502516746521,302.4281311035156,0.0,STANDARD,30,1667.025146484375,15,R_A2,2018-01-01,22,0
302.5650939941406,17,0.9149748682975769,302.5650939941406,0.0,STANDARD,30,1669.06689453125,16,R_A2,2018-01-01,22,0
302.805419921875,17,0.9521737098693848,302.805419921875,0.0,STANDARD,29,1672.6494140625,17,R_A2,2018-01-01,22,0
302.9245300292969,18,0.9865928292274475,302.9245300292969,0.0,STANDARD,29,1674.4248046875,18,R_A2,2018-01-01,22,0
303.0369567871094,26,1.0,303.0369567871094,0.0,STANDARD,29,1676.1002197265625,19,R_A2,2018-01-01,22,0
303.4678649902344,27,1.0,303.4678649902344,0.0,STANDARD,29,1677.82958984375,20,R_A2,2018-01-01,22,0
303.6317443847656,28,1.0,303.6317443847656,0.0,STANDARD,29,1679.5589599609375,21,R_A2,2018-01-01,22,0
303.7956237792969,29,1.0,303.7956237792969,0.0,STANDARD,29,1681.288330078125,22,R_A2,2018-01-01,22,0
303.9595031738281,30,1.0,303.9595031738281,0.0,STANDARD,29,1683.0177001953125,23,R_A2,2018-01-01,22,0
297.9071044921875,1,0.17173780500888824,297.9071044921875,0.0,STANDARD,41,1599.591064453125,1,R_A3,2018-01-01,29,0
298.0528259277344,2,0.11823459714651108,298.0528259277344,0.0,STANDARD,41,1601.765869140625,2,R_A3,2018-01-01,29,0
298.19854736328125,3,0.127422496676445,298.19854736328125,0.0,STANDARD,41,1603.9407958984375,3,R_A3,2018-01-01,29,0
298.34429931640625,4,0.10088302940130234,298.34429931640625,0.0,STANDARD,41,1606.11572265625,4,R_A3,2018-01-01,29,0
298.49005126953125,5,0.6481541991233826,298.49005126953125,0.0,STANDARD,41,1608.29052734375,5,R_A3,2018-01-01,29,0
298.63580322265625,6,0.6481541991233826,298.63580322265625,0.0,STANDARD,41,1610.46533203125,6,R_A3,2018-01-01,29,0
298.78155517578125,7,0.1995282769203186,298.78155517578125,0.0,STANDARD,41,1612.64013671875,7,R_A3,2018-01-01,29,0
298.92730712890625,8,0.28185734152793884,298.92730712890625,0.0,STANDARD,41,1614.81494140625,8,R_A3,2018-01-01,29,0
299.0730895996094,9,0.7982558012008667,299.0730895996094,0.0,STANDARD,41,1616.9898681640625,9,R_A3,2018-01-01,29,0
299.2188415527344,10,0.8047341704368591,299.2188415527344,0.0,STANDARD,41,1619.1646728515625,10,R_A3,2018-01-01,29,0
299.3677673339844,11,0.05065544322133064,299.3677673339844,0.0,STANDARD,41,1621.386474609375,11,R_A3,2018-01-01,29,0
299.5198669433594,12,0.05633154883980751,299.5198669433594,0.0,STANDARD,41,1623.6553955078125,12,R_A3,2018-01-01,29,0
299.6719665527344,13,0.3761402666568756,299.6719665527344,0.0,STANDARD,41,1625.92431640625,13,R_A3,2018-01-01,29,0
299.9761657714844,15,0.499459832906723,299.9761657714844,0.0,STANDARD,41,1630.4620361328125,14,R_A3,2018-01-01,29,0
300.1042785644531,16,0.8117213845252991,300.1042785644531,0.0,STANDARD,41,1632.373046875,15,R_A3,2018-01-01,29,0
300.28173828125,26,1.0,300.28173828125,0.0,STANDARD,41,1635.02001953125,16,R_A3,2018-01-01,29,0
300.52215576171875,27,0.08022858202457428,300.52215576171875,0.0,STANDARD,41,1638.605712890625,17,R_A3,2018-01-01,29,0
300.7625732421875,28,0.051945459097623825,300.7625732421875,0.0,STANDARD,41,1642.19140625,18,R_A3,2018-01-01,29,0
301.0030212402344,29,1.0,301.0030212402344,0.0,STANDARD,41,1645.7769775390625,19,R_A3,2018-01-01,29,0
301.24346923828125,30,0.10085592418909073,301.24346923828125,0.0,STANDARD,41,1649.3626708984375,20,R_A3,2018-01-01,29,0
299.7169189453125,1,0.08114109188318253,299.7169189453125,0.0,STANDARD,52,1626.594970703125,1,R_A4,2018-01-01,30,0
299.5759582519531,1,0.11823459714651108,299.5759582519531,0.0,STANDARD,52,1624.4920654296875,2,R_A4,2018-01-01,31,0
299.7120666503906,2,0.04968713968992233,299.7120666503906,0.0,STANDARD,52,1626.522705078125,3,R_A4,2018-01-01,31,0
299.84820556640625,3,0.050847843289375305,299.84820556640625,0.0,STANDARD,52,1628.553466796875,4,R_A4,2018-01-01,31,0
299.9843444824219,4,0.0530054084956646,299.9843444824219,0.0,STANDARD,52,1630.5841064453125,5,R_A4,2018-01-01,31,0
300.1204833984375,5,0.05443471670150757,300.1204833984375,0.0,STANDARD,52,1632.6148681640625,6,R_A4,2018-01-01,31,0
300.2043762207031,5,0.05616523325443268,300.2043762207031,0.0,STANDARD,52,1633.8662109375,7,R_A4,2018-01-01,32,0
300.32843017578125,6,0.05792248621582985,300.32843017578125,0.0,STANDARD,52,1635.71630859375,8,R_A4,2018-01-01,32,0
300.2855224609375,6,0.05884797126054764,300.2855224609375,0.0,STANDARD,51,1635.0765380859375,9,R_A4,2018-01-01,32,0
300.1661376953125,5,0.055426012724637985,300.1661376953125,0.0,STANDARD,51,1633.2958984375,10,R_A4,2018-01-01,32,0
300.4588317871094,5,0.059684138745069504,300.4588317871094,0.0,STANDARD,51,1637.6611328125,11,R_A4,2018-01-01,33,0
300.3377685546875,4,0.1313847154378891,300.3377685546875,0.0,STANDARD,51,1635.855712890625,12,R_A4,2018-01-01,33,0
300.82879638671875,5,0.06419350206851959,300.82879638671875,0.0,STANDARD,50,1643.178955078125,13,R_A4,2018-01-01,33,0
300.7613220214844,5,0.06540831178426743,300.7613220214844,0.0,STANDARD,50,1642.1727294921875,14,R_A4,2018-01-01,34,0
300.638916015625,4,0.06412757933139801,300.638916015625,0.0,STANDARD,50,1640.34716796875,15,R_A4,2018-01-01,34,0
300.5165100097656,3,0.1824275106191635,300.5165100097656,0.0,STANDARD,50,1638.521728515625,16,R_A4,2018-01-01,34,0
300.74102783203125,3,0.166446253657341,300.74102783203125,0.0,STANDARD,50,1641.8701171875,17,R_A4,2018-01-01,35,0
