CONJPOS,CONIDX,WELLMODEL,SGAS,CONBPRES,DEPTH,SWAT,CONKPOS,DATE,WELL,CONIPOS,DRAWDOWN,PRESSURE
30,1,STANDARD,0.0,300.6656494140625,1639.4302978515625,0.05251845344901085,1,2018-01-01,R_A2,22,0,300.6656494140625
30,2,STANDARD,0.0,300.779541015625,1641.12890625,0.054154619574546814,2,2018-01-01,R_A2,22,0,300.779541015625
30,3,STANDARD,0.0,300.8934326171875,1642.827392578125,0.0566512793302536,3,2018-01-01,R_A2,22,0,300.8934326171875
30,4,STANDARD,0.0,301.00732421875,1644.5260009765625,0.0627903863787651,4,2018-01-01,R_A2,22,0,301.00732421875
30,5,STANDARD,0.0,301.1212158203125,1646.2244873046875,0.06665851920843124,5,2018-01-01,R_A2,22,0,301.1212158203125
30,6,STANDARD,0.0,301.2351379394531,1647.923095703125,0.3202788233757019,6,2018-01-01,R_A2,22,0,301.2351379394531
30,7,STANDARD,0.0,301.34906005859375,1649.62158203125,0.87151038646698,7,2018-01-01,R_A2,22,0,301.34906005859375
30,8,STANDARD,0.0,301.46295166015625,1651.3201904296875,0.857097327709198,8,2018-01-01,R_A2,22,0,301.46295166015625
30,9,STANDARD,0.0,301.5768737792969,1653.018798828125,0.6481541991233826,9,2018-01-01,R_A2,22,0,301.5768737792969
30,10,STANDARD,0.0,301.6907958984375,1654.71728515625,0.8743826746940613,10,2018-01-01,R_A2,22,0,301.6907958984375
30,11,STANDARD,0.0,301.81512451171875,1656.5709228515625,0.06780815124511719,11,2018-01-01,R_A2,22,0,301.81512451171875
30,12,STANDARD,0.0,301.9498596191406,1658.57958984375,0.2230851948261261,12,2018-01-01,R_A2,22,0,301.9498596191406
30,13,STANDARD,0.0,302.0845947265625,1660.58837890625,0.4241105914115906,13,2018-01-01,R_A2,22,0,302.0845947265625
30,14,STANDARD,0.0,302.2193298339844,1662.5970458984375,0.46584460139274597,14,2018-01-01,R_A2,22,0,302.2193298339844
30,15,STANDARD,0.0,302.35406494140625,1664.605712890625,0.8860719799995422,15,2018-01-01,R_A2,22,0,302.35406494140625
29,16,STANDARD,0.0,302.7951965332031,1671.1815185546875,0.9517152905464172,15,2018-01-01,R_A2,22,0,302.7951965332031
29,17,STANDARD,0.0,302.9403991699219,1673.34619140625,0.9643526077270508,16,2018-01-01,R_A2,22,0,302.9403991699219
29,18,STANDARD,0.0,303.08563232421875,1675.5107421875,0.9608977437019348,17,2018-01-01,R_A2,22,0,303.08563232421875
