DATE,CONIPOS,PRESSURE,DEPTH,CONJPOS,SGAS,CONKPOS,CONIDX,WELL,SWAT,DRAWDOWN,WELLMODEL,CONBPRES
2018-01-01,22,300.6733093261719,1641.094970703125,30,0.0,1,1,R_A2,0.11639835685491562,0,STANDARD,300.6733093261719
2018-01-01,22,300.7936096191406,1642.8890380859375,30,0.0,2,2,R_A2,0.05913596972823143,0,STANDARD,300.7936096191406
2018-01-01,22,300.9139099121094,1644.68310546875,30,0.0,3,3,R_A2,0.1264522522687912,0,STANDARD,300.9139099121094
2018-01-01,22,301.0342102050781,1646.4771728515625,30,0.0,4,4,R_A2,0.10851117223501205,0,STANDARD,301.0342102050781
2018-01-01,22,301.1545104980469,1648.2713623046875,30,0.0,5,5,R_A2,0.11078716069459915,0,STANDARD,301.1545104980469
2018-01-01,22,301.27484130859375,1650.0654296875,30,0.0,6,6,R_A2,0.31581538915634155,0,STANDARD,301.27484130859375
2018-01-01,22,301.3951721191406,1651.859619140625,30,0.0,7,7,R_A2,0.8967062830924988,0,STANDARD,301.3951721191406
2018-01-01,22,301.5154724121094,1653.6536865234375,30,0.0,8,8,R_A2,0.8729602694511414,0,STANDARD,301.5154724121094
2018-01-01,22,301.63580322265625,1655.44775390625,30,0.0,9,9,R_A2,0.9158713817596436,0,STANDARD,301.63580322265625
2018-01-01,22,301.7561340332031,1657.2418212890625,30,0.0,10,10,R_A2,0.9034853577613831,0,STANDARD,301.7561340332031
2018-01-01,22,301.88323974609375,1659.1368408203125,30,0.0,11,11,R_A2,0.07596161216497421,0,STANDARD,301.88323974609375
2018-01-01,22,302.01708984375,1661.132568359375,30,0.0,12,12,R_A2,0.08016353845596313,0,STANDARD,302.01708984375
2018-01-01,22,302.1509704589844,1663.12841796875,30,0.0,13,13,R_A2,0.45490843057632446,0,STANDARD,302.1509704589844
2018-01-01,22,302.28485107421875,1665.1241455078125,30,0.0,14,14,R_A2,0.5153446793556213,0,STANDARD,302.28485107421875
2018-01-01,22,302.4187316894531,1667.1199951171875,30,0.0,15,15,R_A2,0.712632954120636,0,STANDARD,302.4187316894531
2018-01-01,22,302.5526123046875,1669.11572265625,30,0.0,16,16,R_A2,0.9810691475868225,0,STANDARD,302.5526123046875
2018-01-01,22,302.6864929199219,1671.111572265625,30,0.0,17,17,R_A2,0.945175051689148,0,STANDARD,302.6864929199219
2018-01-01,22,302.8123779296875,1672.9881591796875,30,0.0,18,18,R_A2,0.9814856648445129,0,STANDARD,302.8123779296875
2018-01-01,22,302.89569091796875,1674.229736328125,29,0.0,18,19,R_A2,0.9939976930618286,0,STANDARD,302.89569091796875
