ZONE,REGION,BULK_OIL,PORE_OIL,HCPV_OIL,STOIIP_OIL
UpperReek,1,289525818.03,42230625.69,29410278.0,18497029.89
UpperReek,2,0.0,0.0,0.0,0.0
MidReek,1,169206250.14,31199171.66,24095432.05,15154359.52
MidReek,2,0.0,0.0,0.0,0.0
LowerReek,1,116705542.01,22461153.79,17222012.51,10831454.22
LowerReek,2,0.0,0.0,0.0,0.0
