CONIDX,DRAWDOWN,DATE,SWAT,DEPTH,CONJPOS,CONBPRES,WELL,WELLMODEL,CONKPOS,SGAS,PRESSURE,CONIPOS
1,0,2018-01-01,0.09913785755634308,1640.435791015625,30,300.7582092285156,R_A2,STANDARD,1,0.0,300.7582092285156,22
2,0,2018-01-01,0.054154276847839355,1642.1925048828125,30,300.8760070800781,R_A2,STANDARD,2,0.0,300.8760070800781,22
3,0,2018-01-01,0.056448716670274734,1643.9493408203125,30,300.9938049316406,R_A2,STANDARD,3,0.0,300.9938049316406,22
4,0,2018-01-01,0.06056467071175575,1645.7061767578125,30,301.11163330078125,R_A2,STANDARD,4,0.0,301.11163330078125,22
5,0,2018-01-01,0.06394195556640625,1647.4630126953125,30,301.22943115234375,R_A2,STANDARD,5,0.0,301.22943115234375,22
6,0,2018-01-01,0.3051202893257141,1649.2198486328125,30,301.3472595214844,R_A2,STANDARD,6,0.0,301.3472595214844,22
7,0,2018-01-01,0.8697890639305115,1650.9766845703125,30,301.465087890625,R_A2,STANDARD,7,0.0,301.465087890625,22
8,0,2018-01-01,0.856033205986023,1652.7335205078125,30,301.5829162597656,R_A2,STANDARD,8,0.0,301.5829162597656,22
9,0,2018-01-01,0.6481541991233826,1654.490234375,30,301.70074462890625,R_A2,STANDARD,9,0.0,301.70074462890625,22
10,0,2018-01-01,0.15122409164905548,1656.2470703125,30,301.8185729980469,R_A2,STANDARD,10,0.0,301.8185729980469,22
11,0,2018-01-01,0.06702829897403717,1658.118408203125,30,301.9440612792969,R_A2,STANDARD,11,0.0,301.9440612792969,22
12,0,2018-01-01,0.42889100313186646,1660.104248046875,30,302.0772705078125,R_A2,STANDARD,12,0.0,302.0772705078125,22
13,0,2018-01-01,0.4211917817592621,1662.0902099609375,30,302.2104797363281,R_A2,STANDARD,13,0.0,302.2104797363281,22
14,0,2018-01-01,0.46574220061302185,1664.0760498046875,30,302.34368896484375,R_A2,STANDARD,14,0.0,302.34368896484375,22
15,0,2018-01-01,0.8939223289489746,1666.06201171875,30,302.4768981933594,R_A2,STANDARD,15,0.0,302.4768981933594,22
16,0,2018-01-01,0.9020767211914062,1668.0478515625,30,302.6101379394531,R_A2,STANDARD,16,0.0,302.6101379394531,22
17,0,2018-01-01,0.9714545607566833,1672.8746337890625,29,302.9339599609375,R_A2,STANDARD,16,0.0,302.9339599609375,22
18,0,2018-01-01,0.925478458404541,1674.957275390625,29,303.07366943359375,R_A2,STANDARD,17,0.0,303.07366943359375,22
19,0,2018-01-01,0.9724283218383789,1676.71435546875,29,303.1915588378906,R_A2,STANDARD,18,0.0,303.1915588378906,22
20,0,2018-01-01,1.0,1678.287841796875,29,303.2971496582031,R_A2,STANDARD,29,0.0,303.2971496582031,22
21,0,2018-01-01,1.0,1679.9866943359375,29,303.4111328125,R_A2,STANDARD,30,0.0,303.4111328125,22
22,0,2018-01-01,1.0,1681.685546875,29,303.8332824707031,R_A2,STANDARD,31,0.0,303.8332824707031,22
23,0,2018-01-01,1.0,1683.3843994140625,29,303.9942626953125,R_A2,STANDARD,32,0.0,303.9942626953125,22
24,0,2018-01-01,1.0,1685.083251953125,29,304.1552429199219,R_A2,STANDARD,33,0.0,304.1552429199219,22
1,0,2018-01-01,0.32677122950553894,1609.4969482421875,41,298.6841735839844,R_A3,STANDARD,1,0.0,298.6841735839844,28
2,0,2018-01-01,0.19066520035266876,1611.493896484375,41,298.8180236816406,R_A3,STANDARD,2,0.0,298.8180236816406,28
3,0,2018-01-01,0.19285768270492554,1613.490966796875,41,298.9518737792969,R_A3,STANDARD,3,0.0,298.9518737792969,28
4,0,2018-01-01,0.3078760802745819,1615.488037109375,41,299.0857238769531,R_A3,STANDARD,4,0.0,299.0857238769531,28
5,0,2018-01-01,0.6481541991233826,1617.485107421875,41,299.2195739746094,R_A3,STANDARD,5,0.0,299.2195739746094,28
6,0,2018-01-01,0.8033806681632996,1609.604248046875,41,298.6913757324219,R_A3,STANDARD,5,0.0,298.6913757324219,29
7,0,2018-01-01,0.3387545645236969,1611.538818359375,41,298.821044921875,R_A3,STANDARD,6,0.0,298.821044921875,29
8,0,2018-01-01,0.19486252963542938,1613.473388671875,41,298.95068359375,R_A3,STANDARD,7,0.0,298.95068359375,29
9,0,2018-01-01,0.19556747376918793,1615.4078369140625,41,299.0803527832031,R_A3,STANDARD,8,0.0,299.0803527832031,29
10,0,2018-01-01,0.7920597195625305,1617.34228515625,41,299.21002197265625,R_A3,STANDARD,9,0.0,299.21002197265625,29
11,0,2018-01-01,0.7972033023834229,1619.27685546875,41,299.33966064453125,R_A3,STANDARD,10,0.0,299.33966064453125,29
12,0,2018-01-01,0.0481191985309124,1621.3487548828125,41,299.4785461425781,R_A3,STANDARD,11,0.0,299.4785461425781,29
13,0,2018-01-01,0.053480297327041626,1623.5582275390625,41,299.6266784667969,R_A3,STANDARD,12,0.0,299.6266784667969,29
14,0,2018-01-01,0.36503535509109497,1625.767578125,41,299.7747802734375,R_A3,STANDARD,13,0.0,299.7747802734375,29
15,0,2018-01-01,0.49742913246154785,1630.1864013671875,41,300.0710144042969,R_A3,STANDARD,15,0.0,300.0710144042969,29
