SW,KRW,KROW,PCOW,SATNUM,KEYWORD,SG,KRG,KROG,PCOG
0.0205601,0.0,1.0,9.95715,1,SWOF,,,,
0.0305601,0.0,0.982193,4.1634181,1,SWOF,,,,
0.0405601,2.77e-05,0.9606799,2.2334317,1,SWOF,,,,
0.0605601,0.000245,0.9117101,0.9246556,1,SWOF,,,,
0.0805601,0.0007164,0.857119,0.4935447,1,SWOF,,,,
0.1005601,0.0014898,0.7984368,0.3030079,1,SWOF,,,,
0.1205601,0.002614,0.7369364,0.2033024,1,SWOF,,,,
0.1405601,0.0041406,0.6738471,0.1450421,1,SWOF,,,,
0.1605601,0.006124,0.610385,0.10824,1,SWOF,,,,
0.1805601,0.0086228,0.5477221,0.0836031,1,SWOF,,,,
0.2005601,0.0116996,0.4869341,0.0663518,1,SWOF,,,,
0.2205601,0.0154221,0.4289507,0.0538308,1,SWOF,,,,
0.2405601,0.0198632,0.3745168,0.0444732,1,SWOF,,,,
0.2605601,0.0251012,0.3241729,0.0373072,1,SWOF,,,,
0.2805601,0.0312206,0.2782548,0.0317054,1,SWOF,,,,
0.3005601,0.0383121,0.2369086,0.0272484,1,SWOF,,,,
0.3205601,0.0464726,0.2001175,0.0236477,1,SWOF,,,,
0.3405601,0.0558058,0.167735,0.0206997,1,SWOF,,,,
0.3605601,0.0664218,0.1395182,0.0182574,1,SWOF,,,,
0.3805601,0.0784369,0.1151598,0.0162129,1,SWOF,,,,
0.4005601,0.0919738,0.0943177,0.0144851,1,SWOF,,,,
0.4205601,0.1071685,0.0766335,0.0130127,1,SWOF,,,,
0.4405601,0.1241425,0.0617447,0.0117484,1,SWOF,,,,
0.4605601,0.1430289,0.049308,0.0106552,1,SWOF,,,,
0.4805601,0.1639611,0.0390018,0.0097039,1,SWOF,,,,
0.5005601,0.1870698,0.0305305,0.0088713,1,SWOF,,,,
0.5205601,0.2124796,0.023627,0.0081387,1,SWOF,,,,
0.5405601,0.2403043,0.0180525,0.0074909,1,SWOF,,,,
0.5605601,0.270641,0.0135963,0.0069155,1,SWOF,,,,
0.5805601,0.3035638,0.0100739,0.0064022,1,SWOF,,,,
0.6005601,0.3391148,0.0073246,0.0059425,1,SWOF,,,,
0.6205601,0.3772952,0.0052099,0.0055293,1,SWOF,,,,
0.6405601,0.4180535,0.003611,0.0051565,1,SWOF,,,,
0.6605601,0.4612735,0.0024263,0.0048193,1,SWOF,,,,
