Project name			: /project/fmu/tutorial/reek/resmod/ff/2019a/users/hakal/r001/rms/model/reek.rms11.0.1
Date				: 2019.11.13 14:23:09
Grid model name			: Simgrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       241341940.98         39103495.61         28395025.29         17858506.18
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  241341940.98         39103495.61         28395025.29         17858506.18
MidReek    1                       175870731.95         33587100.78         25220888.21         15862193.59
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  175870731.95         33587100.78         25220888.21         15862193.59
LowerReek  1                        97811697.25         20634636.81         16476945.56         10362858.68
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                   97811697.25         20634636.81         16476945.56         10362858.68
Totals     1                       515024370.17         93325233.20         70092859.05         44083558.45
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  515024370.17         93325233.20         70092859.05         44083558.45
