Project name			: /project/fmu/tutorial/reek/resmod/ff/2019a/users/hakal/r001/rms/model/reek.rms11.0.1
Date				: 2019.11.13 14:23:09
Grid model name			: Geogrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       241382049.26         39098935.18         28531532.06         17944359.48
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  241382049.26         39098935.18         28531532.06         17944359.48
MidReek    1                       175847540.38         33566327.61         25452322.55         16007749.77
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  175847540.38         33566327.61         25452322.55         16007749.77
LowerReek  1                        97800116.59         20652511.60         16672734.04         10485996.07
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                   97800116.59         20652511.60         16672734.04         10485996.07
Totals     1                       515029706.22         93317774.39         70656588.65         44438105.32
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  515029706.22         93317774.39         70656588.65         44438105.32
