ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL
Valysar,WestLowland,4926419,1064714,818028,570452,80319613
Valysar,CentralSouth,67824469,12320829,9292135,6479871,912365858
Valysar,CentralNorth,36376771,5600328,3928853,2739786,385761880
Valysar,NorthHorst,4782341,834575,540194,331815,65002476
Valysar,CentralRamp,13746446,2202425,1521742,1061187,149415083
Valysar,CentralHorst,86371295,11941537,8376278,5841198,822440673
Valysar,EastLowland,291997,54580,18993,13244,1864815
Therys,WestLowland,2204974,367275,188821,131674,18539729
Therys,CentralSouth,12476404,2850623,1824586,1272375,179150401
Therys,CentralNorth,20648668,4038496,2455118,1712077,241060417
Therys,NorthHorst,8151091,1206252,543487,333837,65398754
Therys,CentralRamp,6770890,1467495,1114509,777203,109430172
Therys,CentralHorst,29243345,7051890,5385247,3755403,528760709
Therys,EastLowland,0,0,0,0,0
Volon,WestLowland,254401,35508,19025,13267,1868050
Volon,CentralSouth,35017667,6419875,4791416,3341295,470454290
Volon,CentralNorth,6832817,891580,420957,293555,41332498
Volon,NorthHorst,5572991,1029637,771973,474185,92892803
Volon,CentralRamp,12639541,2314728,1805920,1259358,177317666
Volon,CentralHorst,80611071,14146282,11131966,7762877,1093013133
Volon,EastLowland,0,0,0,0,0
