ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL,BULK_GAS,PORV_GAS,HCPV_GAS,GIIP_GAS,ASSOCIATEDOIL_GAS
Valysar,WestLowland,4908777,1055448,767902,535497,75397930,0,0,0,0,0
Valysar,CentralSouth,67833576,12305523,9195735,6412647,902900647,0,0,0,0,0
Valysar,CentralNorth,36382608,5596399,3875702,2702721,380543114,0,0,0,0,0
Valysar,NorthHorst,4782407,827629,510130,313347,61384770,24619636,3408305,2293327,533331894,81600
Valysar,CentralRamp,13747335,2202544,1521818,1061240,149422540,0,0,0,0,0
Valysar,CentralHorst,86367811,11940720,8335307,5812627,818417920,0,0,0,0,0
Valysar,EastLowland,288978,54046,12711,8864,1248014,0,0,0,0,0
Therys,WestLowland,2193689,369170,170800,119107,16770318,0,0,0,0,0
Therys,CentralSouth,12475726,2842907,1768143,1233015,173608473,0,0,0,0,0
Therys,CentralNorth,20653864,4036886,2401681,1674812,235813550,0,0,0,0,0
Therys,NorthHorst,8150674,1203814,525106,322547,63186933,17247277,2782261,1780864,414154346,63366
Therys,CentralRamp,6771661,1466675,1114255,777026,109405205,0,0,0,0,0
Therys,CentralHorst,29249147,7048270,5371482,3745803,527409106,0,0,0,0,0
Therys,EastLowland,0,0,0,0,0,0,0,0,0,0
Volon,WestLowland,252999,35695,13625,9501,1337778,0,0,0,0,0
Volon,CentralSouth,35001289,6458720,4567290,3185000,448447972,0,0,0,0,0
Volon,CentralNorth,6828593,897184,402728,280843,39542628,0,0,0,0,0
Volon,NorthHorst,5577924,1030434,751403,461549,90417540,2929122,538317,435943,101382106,15511
Volon,CentralRamp,12644289,2316887,1792277,1249844,175978107,0,0,0,0,0
Volon,CentralHorst,80624036,14170543,11083644,7729180,1088268617,0,0,0,0,0
Volon,EastLowland,0,0,0,0,0,0,0,0,0,0
