PRESSURE,CONKPOS,CONJPOS,CONIPOS,DRAWDOWN,DEPTH,WELLMODEL,SWAT,CONIDX,CONBPRES,WELL,DATE,SGAS
300.6733093261719,1,30,22,0,1641.094970703125,STANDARD,0.05760246515274048,1,300.6733093261719,R_A2,2018-01-01,0.0
300.7936096191406,2,30,22,0,1642.8890380859375,STANDARD,0.05853121727705002,2,300.7936096191406,R_A2,2018-01-01,0.0
300.9139099121094,3,30,22,0,1644.68310546875,STANDARD,0.06116862595081329,3,300.9139099121094,R_A2,2018-01-01,0.0
301.0342102050781,4,30,22,0,1646.4771728515625,STANDARD,0.0663427859544754,4,301.0342102050781,R_A2,2018-01-01,0.0
301.1545104980469,5,30,22,0,1648.2713623046875,STANDARD,0.0687314122915268,5,301.1545104980469,R_A2,2018-01-01,0.0
301.27484130859375,6,30,22,0,1650.0654296875,STANDARD,0.3121729791164398,6,301.27484130859375,R_A2,2018-01-01,0.0
301.3951721191406,7,30,22,0,1651.859619140625,STANDARD,0.8978545665740967,7,301.3951721191406,R_A2,2018-01-01,0.0
301.5154724121094,8,30,22,0,1653.6536865234375,STANDARD,0.8618757724761963,8,301.5154724121094,R_A2,2018-01-01,0.0
301.63580322265625,9,30,22,0,1655.44775390625,STANDARD,0.9105261564254761,9,301.63580322265625,R_A2,2018-01-01,0.0
301.7561340332031,10,30,22,0,1657.2418212890625,STANDARD,0.9083951115608215,10,301.7561340332031,R_A2,2018-01-01,0.0
301.88323974609375,11,30,22,0,1659.1368408203125,STANDARD,0.07604346424341202,11,301.88323974609375,R_A2,2018-01-01,0.0
302.01708984375,12,30,22,0,1661.132568359375,STANDARD,0.0789390504360199,12,302.01708984375,R_A2,2018-01-01,0.0
302.1509704589844,13,30,22,0,1663.12841796875,STANDARD,0.44872841238975525,13,302.1509704589844,R_A2,2018-01-01,0.0
302.28485107421875,14,30,22,0,1665.1241455078125,STANDARD,0.5068296194076538,14,302.28485107421875,R_A2,2018-01-01,0.0
302.4187316894531,15,30,22,0,1667.1199951171875,STANDARD,0.6861860752105713,15,302.4187316894531,R_A2,2018-01-01,0.0
302.5526123046875,16,30,22,0,1669.11572265625,STANDARD,0.9714688062667847,16,302.5526123046875,R_A2,2018-01-01,0.0
302.6864929199219,17,30,22,0,1671.111572265625,STANDARD,0.948536217212677,17,302.6864929199219,R_A2,2018-01-01,0.0
302.8123779296875,18,30,22,0,1672.9881591796875,STANDARD,0.9796320199966431,18,302.8123779296875,R_A2,2018-01-01,0.0
302.89569091796875,18,29,22,0,1674.229736328125,STANDARD,0.9940532445907593,19,302.89569091796875,R_A2,2018-01-01,0.0
303.02569580078125,27,29,22,0,1676.1676025390625,STANDARD,0.6481541991233826,20,303.02569580078125,R_A2,2018-01-01,0.0
303.47802734375,28,29,22,0,1677.9368896484375,STANDARD,1.0,21,303.47802734375,R_A2,2018-01-01,0.0
303.64569091796875,29,29,22,0,1679.7061767578125,STANDARD,1.0,22,303.64569091796875,R_A2,2018-01-01,0.0
303.8133544921875,30,29,22,0,1681.4754638671875,STANDARD,1.0,23,303.8133544921875,R_A2,2018-01-01,0.0
303.98101806640625,31,29,22,0,1683.2447509765625,STANDARD,1.0,24,303.98101806640625,R_A2,2018-01-01,0.0
298.53814697265625,1,41,28,0,1609.243408203125,STANDARD,0.6481541991233826,1,298.53814697265625,R_A3,2018-01-01,0.0
298.676513671875,2,41,28,0,1611.3077392578125,STANDARD,0.19803451001644135,2,298.676513671875,R_A3,2018-01-01,0.0
298.8148498535156,3,41,28,0,1613.3720703125,STANDARD,0.19370174407958984,3,298.8148498535156,R_A3,2018-01-01,0.0
298.9532165527344,4,41,28,0,1615.4365234375,STANDARD,0.2555322051048279,4,298.9532165527344,R_A3,2018-01-01,0.0
299.0915832519531,5,41,28,0,1617.5008544921875,STANDARD,0.8283283710479736,5,299.0915832519531,R_A3,2018-01-01,0.0
299.2299499511719,6,41,28,0,1619.565185546875,STANDARD,0.6481541991233826,6,299.2299499511719,R_A3,2018-01-01,0.0
298.54638671875,6,41,29,0,1609.3663330078125,STANDARD,0.6481541991233826,7,298.54638671875,R_A3,2018-01-01,0.0
298.68377685546875,7,41,29,0,1611.4163818359375,STANDARD,0.19839943945407867,8,298.68377685546875,R_A3,2018-01-01,0.0
298.8211669921875,8,41,29,0,1613.46630859375,STANDARD,0.20012404024600983,9,298.8211669921875,R_A3,2018-01-01,0.0
298.95855712890625,9,41,29,0,1615.516357421875,STANDARD,0.8029430508613586,10,298.95855712890625,R_A3,2018-01-01,0.0
299.095947265625,10,41,29,0,1617.5662841796875,STANDARD,0.8017147183418274,11,299.095947265625,R_A3,2018-01-01,0.0
299.24237060546875,11,41,29,0,1619.750732421875,STANDARD,0.047662775963544846,12,299.24237060546875,R_A3,2018-01-01,0.0
299.3978271484375,12,41,29,0,1622.0697021484375,STANDARD,0.05465734004974365,13,299.3978271484375,R_A3,2018-01-01,0.0
299.5532531738281,13,41,29,0,1624.388671875,STANDARD,0.36961451172828674,14,299.5532531738281,R_A3,2018-01-01,0.0
299.8641662597656,15,41,29,0,1629.026611328125,STANDARD,0.40267708897590637,15,299.8641662597656,R_A3,2018-01-01,0.0
299.992919921875,16,41,29,0,1630.9468994140625,STANDARD,0.814231276512146,16,299.992919921875,R_A3,2018-01-01,0.0
300.16583251953125,27,41,29,0,1633.5262451171875,STANDARD,0.6481541991233826,17,300.16583251953125,R_A3,2018-01-01,0.0
300.40966796875,28,41,29,0,1637.1630859375,STANDARD,0.04657479748129845,18,300.40966796875,R_A3,2018-01-01,0.0
300.6535339355469,29,41,29,0,1640.8001708984375,STANDARD,0.05444984510540962,19,300.6535339355469,R_A3,2018-01-01,0.0
300.89739990234375,30,41,29,0,1644.4371337890625,STANDARD,1.0,20,300.89739990234375,R_A3,2018-01-01,0.0
301.14129638671875,31,41,29,0,1648.0740966796875,STANDARD,0.06235086917877197,21,301.14129638671875,R_A3,2018-01-01,0.0
300.009033203125,1,52,30,0,1631.1873779296875,STANDARD,0.04969937726855278,1,300.009033203125,R_A4,2018-01-01,0.0
299.7571105957031,1,52,31,0,1627.4293212890625,STANDARD,0.04972411319613457,2,299.7571105957031,R_A4,2018-01-01,0.0
299.89520263671875,2,52,31,0,1629.4896240234375,STANDARD,0.05124127119779587,3,299.89520263671875,R_A4,2018-01-01,0.0
300.0333251953125,3,52,31,0,1631.5498046875,STANDARD,0.05373745784163475,4,300.0333251953125,R_A4,2018-01-01,0.0
300.17144775390625,4,52,31,0,1633.610107421875,STANDARD,0.05840654298663139,5,300.17144775390625,R_A4,2018-01-01,0.0
300.0901184082031,4,52,32,0,1632.3968505859375,STANDARD,0.05641423910856247,6,300.0901184082031,R_A4,2018-01-01,0.0
300.3236999511719,4,51,32,0,1635.880615234375,STANDARD,0.059060242027044296,7,300.3236999511719,R_A4,2018-01-01,0.0
300.4202575683594,4,51,33,0,1637.321044921875,STANDARD,0.0928310677409172,8,300.4202575683594,R_A4,2018-01-01,0.0
300.29644775390625,3,51,33,0,1635.474609375,STANDARD,0.1678450107574463,9,300.29644775390625,R_A4,2018-01-01,0.0
300.74395751953125,4,50,33,0,1642.1485595703125,STANDARD,0.18907098472118378,10,300.74395751953125,R_A4,2018-01-01,0.0
300.67578125,4,50,34,0,1641.132080078125,STANDARD,0.16031335294246674,11,300.67578125,R_A4,2018-01-01,0.0
300.5467224121094,3,50,34,0,1639.20703125,STANDARD,0.25342857837677,12,300.5467224121094,R_A4,2018-01-01,0.0
300.66064453125,3,50,35,0,1640.9061279296875,STANDARD,0.16939347982406616,13,300.66064453125,R_A4,2018-01-01,0.0
300.53570556640625,2,50,35,0,1639.0426025390625,STANDARD,0.23071172833442688,14,300.53570556640625,R_A4,2018-01-01,0.0
300.72943115234375,2,49,35,0,1641.93212890625,STANDARD,0.23815256357192993,15,300.72943115234375,R_A4,2018-01-01,0.0
300.7579650878906,30,49,36,0,1642.357421875,STANDARD,0.8387154340744019,16,300.7579650878906,R_A4,2018-01-01,0.0
300.5735168457031,30,48,36,0,1639.6068115234375,STANDARD,0.6481541991233826,17,300.5735168457031,R_A4,2018-01-01,0.0
301.0526123046875,30,48,37,0,1646.7513427734375,STANDARD,0.8328254222869873,18,301.0526123046875,R_A4,2018-01-01,0.0
301.5025939941406,30,48,38,0,1653.461669921875,STANDARD,0.6481541991233826,19,301.5025939941406,R_A4,2018-01-01,0.0
301.7947998046875,30,47,38,0,1657.8184814453125,STANDARD,0.8453923463821411,20,301.7947998046875,R_A4,2018-01-01,0.0
303.8440856933594,1,20,31,0,1685.026611328125,STANDARD,1.0,1,303.8440856933594,R_A5,2018-01-01,0.0
304.0601806640625,2,20,31,0,1687.3070068359375,STANDARD,1.0,2,304.0601806640625,R_A5,2018-01-01,0.0
304.27630615234375,3,20,31,0,1689.5875244140625,STANDARD,1.0,3,304.27630615234375,R_A5,2018-01-01,0.0
304.4924011230469,4,20,31,0,1691.8680419921875,STANDARD,1.0,4,304.4924011230469,R_A5,2018-01-01,0.0
304.7085266113281,5,20,31,0,1694.1485595703125,STANDARD,1.0,5,304.7085266113281,R_A5,2018-01-01,0.0
304.9246520996094,6,20,31,0,1696.4290771484375,STANDARD,1.0,6,304.9246520996094,R_A5,2018-01-01,0.0
305.446533203125,7,20,31,0,1698.70947265625,STANDARD,1.0,7,305.446533203125,R_A5,2018-01-01,0.0
305.988037109375,11,20,31,0,1707.6488037109375,STANDARD,1.0,8,305.988037109375,R_A5,2018-01-01,0.0
306.1695251464844,12,20,31,0,1709.5638427734375,STANDARD,1.0,9,306.1695251464844,R_A5,2018-01-01,0.0
305.4322814941406,12,21,31,0,1701.7845458984375,STANDARD,1.0,10,305.4322814941406,R_A5,2018-01-01,0.0
305.6291198730469,13,21,31,0,1703.735107421875,STANDARD,1.0,11,305.6291198730469,R_A5,2018-01-01,0.0
305.81396484375,14,21,31,0,1705.6856689453125,STANDARD,1.0,12,305.81396484375,R_A5,2018-01-01,0.0
305.9988098144531,15,21,31,0,1707.63623046875,STANDARD,1.0,13,305.9988098144531,R_A5,2018-01-01,0.0
306.3287048339844,16,21,31,0,1709.5867919921875,STANDARD,1.0,14,306.3287048339844,R_A5,2018-01-01,0.0
306.5135498046875,17,21,31,0,1711.537353515625,STANDARD,1.0,15,306.5135498046875,R_A5,2018-01-01,0.0
306.6856994628906,18,21,31,0,1713.35400390625,STANDARD,1.0,16,306.6856994628906,R_A5,2018-01-01,0.0
306.7843933105469,19,21,31,0,1714.3951416015625,STANDARD,1.0,17,306.7843933105469,R_A5,2018-01-01,0.0
306.75689697265625,27,21,31,0,1715.7628173828125,STANDARD,1.0,18,306.75689697265625,R_A5,2018-01-01,0.0
306.978271484375,28,21,31,0,1718.098388671875,STANDARD,1.0,19,306.978271484375,R_A5,2018-01-01,0.0
307.5054016113281,29,21,31,0,1720.43408203125,STANDARD,1.0,20,307.5054016113281,R_A5,2018-01-01,0.0
307.7267761230469,30,21,31,0,1722.7696533203125,STANDARD,1.0,21,307.7267761230469,R_A5,2018-01-01,0.0
307.9481506347656,31,21,31,0,1725.105224609375,STANDARD,1.0,22,307.9481506347656,R_A5,2018-01-01,0.0
305.11419677734375,1,42,17,0,1695.20263671875,STANDARD,1.0,1,305.11419677734375,R_A6,2018-01-01,0.0
304.9618835449219,2,42,17,0,1696.7510986328125,STANDARD,1.0,2,304.9618835449219,R_A6,2018-01-01,0.0
305.4076843261719,3,42,17,0,1698.299560546875,STANDARD,1.0,3,305.4076843261719,R_A6,2018-01-01,0.0
305.554443359375,4,42,17,0,1699.84814453125,STANDARD,1.0,4,305.554443359375,R_A6,2018-01-01,0.0
305.7012023925781,5,42,17,0,1701.3966064453125,STANDARD,1.0,5,305.7012023925781,R_A6,2018-01-01,0.0
305.84796142578125,6,42,17,0,1702.9451904296875,STANDARD,1.0,6,305.84796142578125,R_A6,2018-01-01,0.0
305.6956481933594,7,42,17,0,1704.49365234375,STANDARD,1.0,7,305.6956481933594,R_A6,2018-01-01,0.0
305.8424072265625,8,42,17,0,1706.042236328125,STANDARD,1.0,8,305.8424072265625,R_A6,2018-01-01,0.0
306.2882080078125,9,42,17,0,1707.5906982421875,STANDARD,1.0,9,306.2882080078125,R_A6,2018-01-01,0.0
306.1291809082031,10,42,17,0,1709.1392822265625,STANDARD,1.0,10,306.1291809082031,R_A6,2018-01-01,0.0
306.3109130859375,11,42,17,0,1711.055419921875,STANDARD,1.0,11,306.3109130859375,R_A6,2018-01-01,0.0
306.52734375,12,42,17,0,1713.3392333984375,STANDARD,1.0,12,306.52734375,R_A6,2018-01-01,0.0
