Project name			: /private/asny/Desktop/reek/resmod/ff/2019a/r001/rms/model/reek.rms11.0.1
Date				: 2020.02.19 16:20:48
Grid model name			: Simgrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       253551194.10         40032283.93         29188870.27         18357779.74
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  253551194.10         40032283.93         29188870.27         18357779.74
MidReek    1                       185790564.61         37122924.22         29808962.61         18747774.93
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  185790564.61         37122924.22         29808962.61         18747774.93
LowerReek  1                       122209420.65         23302641.97         18821007.11         11837111.19
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                  122209420.65         23302641.97         18821007.11         11837111.19
Totals     1                       561551179.36        100457850.12         77818839.99         48942665.86
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  561551179.36        100457850.12         77818839.99         48942665.86
