SW,KRW,KROW,PCOW,SATNUM,KEYWORD,SG,KRG,KROG,PCOG
0.0205601,0.0,1.0,9.95715,1,SWOF,,,,
0.0305601,0.0,0.938604,4.1634181,1,SWOF,,,,
0.0405601,0.0001706,0.8792531,2.2334317,1,SWOF,,,,
0.0605601,0.0012721,0.7673716,0.9246556,1,SWOF,,,,
0.0805601,0.0032935,0.6653073,0.4935447,1,SWOF,,,,
0.1005601,0.0062293,0.5734293,0.3030079,1,SWOF,,,,
0.1205601,0.0101068,0.4916528,0.2033024,1,SWOF,,,,
0.1405601,0.0149677,0.4195628,0.1450421,1,SWOF,,,,
0.1605601,0.0208622,0.3565253,0.10824,1,SWOF,,,,
0.1805601,0.0278468,0.3017798,0.0836031,1,SWOF,,,,
0.2005601,0.0359823,0.2545111,0.0663518,1,SWOF,,,,
0.2205601,0.0453329,0.2139004,0.0538308,1,SWOF,,,,
0.2405601,0.0559649,0.17916,0.0444732,1,SWOF,,,,
0.2605601,0.0679456,0.149554,0.0373072,1,SWOF,,,,
0.2805601,0.0813424,0.1244102,0.0317054,1,SWOF,,,,
0.3005601,0.0962214,0.1031241,0.0272484,1,SWOF,,,,
0.3205601,0.112646,0.0851587,0.0236477,1,SWOF,,,,
0.3405601,0.1306752,0.0700416,0.0206997,1,SWOF,,,,
0.3605601,0.1503619,0.0573599,0.0182574,1,SWOF,,,,
0.3805601,0.1717509,0.0467554,0.0162129,1,SWOF,,,,
0.4005601,0.1948764,0.0379177,0.0144851,1,SWOF,,,,
0.4205601,0.2197598,0.0305788,0.0130127,1,SWOF,,,,
0.4405601,0.2464067,0.0245086,0.0117484,1,SWOF,,,,
0.4605601,0.274805,0.0195098,0.0106552,1,SWOF,,,,
0.4805601,0.3049216,0.0154132,0.0097039,1,SWOF,,,,
0.5005601,0.3367001,0.0120744,0.0088713,1,SWOF,,,,
0.5205601,0.3700581,0.0093699,0.0081387,1,SWOF,,,,
0.5405601,0.4048855,0.0071944,0.0074909,1,SWOF,,,,
0.5605601,0.4410423,0.0054583,0.0069155,1,SWOF,,,,
0.5805601,0.4783579,0.0040852,0.0064022,1,SWOF,,,,
0.6005601,0.5166304,0.0030105,0.0059425,1,SWOF,,,,
0.6205601,0.5556273,0.0021794,0.0055293,1,SWOF,,,,
0.6405601,0.5950864,0.0015455,0.0051565,1,SWOF,,,,
0.6605601,0.6347184,0.0010699,0.0048193,1,SWOF,,,,
0.6805601,0.6742093,0.0007198,0.0045132,1,SWOF,,,,
0.7005601,0.7132245,0.000468,0.0042346,1,SWOF,,,,
0.7205601,0.7514124,0.0002919,0.0039803,1,SWOF,,,,
0.7405601,0.7884088,0.0001729,0.0037476,1,SWOF,,,,
0.7605601,0.8238391,9.59e-05,0.0035343,1,SWOF,,,,
0.7805601,0.8573205,4.88e-05,0.0033381,1,SWOF,,,,
0.8005601,0.88846,2.21e-05,0.0031574,1,SWOF,,,,
0.8205601,0.916845,8.4e-06,0.0029905,1,SWOF,,,,
0.8405601,0.9420193,2.4e-06,0.0028362,1,SWOF,,,,
0.8605601,0.9634196,4e-07,0.0026932,1,SWOF,,,,
0.8805601,0.980171,0.0,0.0025605,1,SWOF,,,,
0.8998061,0.9896511,0.0,0.0024416,1,SWOF,,,,
0.9005601,0.9897289,0.0,0.002437,1,SWOF,,,,
0.9205601,0.9917947,0.0,0.0023221,1,SWOF,,,,
0.9405601,0.9938605,0.0,0.0022148,1,SWOF,,,,
0.9605601,0.9959263,0.0,0.0021146,1,SWOF,,,,
0.9805601,0.9979921,0.0,0.0020209,1,SWOF,,,,
1.0,1.0,0.0,0.0019355,1,SWOF,,,,
,,,,1,SGOF,0.0,0.0,1.0,0.0
,,,,1,SGOF,0.05,0.0,0.8047237,0.0
,,,,1,SGOF,0.07,0.0084727,0.7375444,0.0
,,,,1,SGOF,0.09,0.0173052,0.6725142,0.0
,,,,1,SGOF,0.11,0.0265618,0.6096837,0.0
,,,,1,SGOF,0.13,0.0362976,0.5493276,0.0
,,,,1,SGOF,0.15,0.0465653,0.4917866,0.0
,,,,1,SGOF,0.17,0.0574171,0.4373935,0.0
,,,,1,SGOF,0.19,0.0689061,0.3864342,0.0
,,,,1,SGOF,0.21,0.0810862,0.3391264,0.0
,,,,1,SGOF,0.23,0.0940123,0.2956096,0.0
,,,,1,SGOF,0.25,0.1077405,0.2559421,0.0
,,,,1,SGOF,0.27,0.1223272,0.2201051,0.0
,,,,1,SGOF,0.29,0.1378291,0.1880097,0.0
,,,,1,SGOF,0.31,0.1543021,0.1595077,0.0
,,,,1,SGOF,0.33,0.1718007,0.1344039,0.0
,,,,1,SGOF,0.35,0.190377,0.1124687,0.0
,,,,1,SGOF,0.37,0.2100789,0.0934501,0.0
,,,,1,SGOF,0.39,0.2309492,0.0770847,0.0
,,,,1,SGOF,0.41,0.2530233,0.0631069,0.0
,,,,1,SGOF,0.43,0.2763282,0.0512565,0.0
,,,,1,SGOF,0.45,0.3008794,0.0412844,0.0
,,,,1,SGOF,0.47,0.3266799,0.0329564,0.0
,,,,1,SGOF,0.49,0.3537174,0.0260559,0.0
,,,,1,SGOF,0.51,0.3819628,0.0203851,0.0
,,,,1,SGOF,0.53,0.4113678,0.0157655,0.0
,,,,1,SGOF,0.55,0.4418642,0.0120377,0.0
,,,,1,SGOF,0.57,0.4733622,0.0090606,0.0
,,,,1,SGOF,0.59,0.5057499,0.0067102,0.0
,,,,1,SGOF,0.61,0.5388932,0.0048785,0.0
,,,,1,SGOF,0.63,0.5726364,0.003472,0.0
,,,,1,SGOF,0.65,0.6068033,0.0024102,0.0
,,,,1,SGOF,0.67,0.6411989,0.0016244,0.0
,,,,1,SGOF,0.69,0.6756109,0.0010567,0.0
,,,,1,SGOF,0.71,0.7098124,0.0006582,0.0
,,,,1,SGOF,0.73,0.7435633,0.0003882,0.0
,,,,1,SGOF,0.75,0.7766112,0.0002134,0.0
,,,,1,SGOF,0.77,0.8086906,0.0001068,0.0
,,,,1,SGOF,0.79,0.8395182,4.68e-05,0.0
,,,,1,SGOF,0.81,0.8687801,1.68e-05,0.0
,,,,1,SGOF,0.83,0.8961019,4.3e-06,0.0
,,,,1,SGOF,0.85,0.9209614,6e-07,0.0
,,,,1,SGOF,0.87,0.9423275,0.0,0.0
,,,,1,SGOF,0.8794399,0.95,0.0,0.0
,,,,1,SGOF,0.9794399,1.0,0.0,0.0
0.1182346,0.0,1.0,9.95715,2,SWOF,,,,
0.1282346,0.0,0.9310705,7.6168415,2,SWOF,,,,
0.1382346,0.0002118,0.8647607,5.9450677,2,SWOF,,,,
0.1582346,0.0015862,0.7409179,3.8062496,2,SWOF,,,,
0.1782346,0.0041229,0.6296637,2.5699127,2,SWOF,,,,
0.1982346,0.0078291,0.5313079,1.809255,2,SWOF,,,,
0.2182346,0.0127525,0.4455092,1.3174801,2,SWOF,,,,
0.2382346,0.0189594,0.3714879,0.9864521,2,SWOF,,,,
0.2582346,0.0265276,0.308209,0.7560392,2,SWOF,,,,
0.2782346,0.0355427,0.2545228,0.5910649,2,SWOF,,,,
0.2982346,0.0460959,0.2092638,0.4700569,2,SWOF,,,,
0.3182346,0.0582818,0.1713152,0.3794246,2,SWOF,,,,
0.3382346,0.0721969,0.139646,0.3102933,2,SWOF,,,,
0.3582346,0.0879372,0.113329,0.2567078,2,SWOF,,,,
0.3782346,0.1055959,0.0915459,0.2145753,2,SWOF,,,,
0.3982346,0.1252605,0.0735844,0.1810228,2,SWOF,,,,
0.4182346,0.14701,0.0588308,0.1539948,2,SWOF,,,,
0.4382346,0.1709112,0.0467606,0.1319957,2,SWOF,,,,
0.4582346,0.1970148,0.0369281,0.1139205,2,SWOF,,,,
0.4782346,0.2253505,0.0289547,0.0989411,2,SWOF,,,,
0.4982346,0.2559227,0.0225217,0.0864291,2,SWOF,,,,
0.5182346,0.2887059,0.0173614,0.0759023,2,SWOF,,,,
0.5382346,0.3236396,0.0132486,0.0669862,2,SWOF,,,,
0.5582346,0.3606238,0.0099948,0.0593877,2,SWOF,,,,
0.5782346,0.3995145,0.0074424,0.0528747,2,SWOF,,,,
0.5982346,0.4401211,0.0054598,0.0472624,2,SWOF,,,,
0.6182346,0.4822034,0.003937,0.042402,2,SWOF,,,,
0.6382346,0.525471,0.0027828,0.038173,2,SWOF,,,,
0.6582346,0.5695845,0.0019215,0.0344775,2,SWOF,,,,
0.6782346,0.6141574,0.0012906,0.0312347,2,SWOF,,,,
0.6982346,0.6587608,0.0008386,0.0283784,2,SWOF,,,,
0.7182346,0.7029293,0.0005233,0.0258531,2,SWOF,,,,
0.7382346,0.7461675,0.0003106,0.023613,2,SWOF,,,,
0.7582346,0.7879583,0.0001731,0.0216192,2,SWOF,,,,
0.7782346,0.8277671,8.87e-05,0.0198393,2,SWOF,,,,
0.7982346,0.8650457,4.06e-05,0.0182457,2,SWOF,,,,
0.8182346,0.8992282,1.58e-05,0.0168149,2,SWOF,,,,
0.8382346,0.9297091,4.8e-06,0.0155269,2,SWOF,,,,
0.8582346,0.9557825,9e-07,0.0143646,2,SWOF,,,,
0.8782346,0.9764398,1e-07,0.013313,2,SWOF,,,,
0.8982346,0.9893044,0.0,0.0123596,2,SWOF,,,,
0.8998061,0.9896511,0.0,0.0122886,2,SWOF,,,,
0.9182346,0.9915545,0.0,0.0114933,2,SWOF,,,,
0.9382346,0.9936203,0.0,0.0107044,2,SWOF,,,,
0.9582346,0.9956861,0.0,0.0099847,2,SWOF,,,,
0.9782346,0.9977519,0.0,0.0093267,2,SWOF,,,,
0.9982346,0.9998177,0.0,0.0087242,2,SWOF,,,,
1.0,1.0,0.0,0.0086734,2,SWOF,,,,
,,,,2,SGOF,0.0,0.0,1.0,0.0
,,,,2,SGOF,0.05,0.0,0.7834941,0.0
,,,,2,SGOF,0.07,0.0096293,0.7088478,0.0
,,,,2,SGOF,0.09,0.0197324,0.6369031,0.0
,,,,2,SGOF,0.11,0.0303999,0.5679223,0.0
,,,,2,SGOF,0.13,0.0417102,0.5023671,0.0
,,,,2,SGOF,0.15,0.0537396,0.4407186,0.0
,,,,2,SGOF,0.17,0.0665649,0.3833932,0.0
,,,,2,SGOF,0.19,0.0802642,0.3307005,0.0
,,,,2,SGOF,0.21,0.0949174,0.2828245,0.0
,,,,2,SGOF,0.23,0.110606,0.2398204,0.0
,,,,2,SGOF,0.25,0.1274122,0.2016228,0.0
,,,,2,SGOF,0.27,0.1454184,0.1680617,0.0
,,,,2,SGOF,0.29,0.1647053,0.1388829,0.0
,,,,2,SGOF,0.31,0.1853505,0.1137704,0.0
,,,,2,SGOF,0.33,0.2074261,0.0923694,0.0
,,,,2,SGOF,0.35,0.2309957,0.0743051,0.0
,,,,2,SGOF,0.37,0.2561119,0.0592004,0.0
,,,,2,SGOF,0.39,0.2828125,0.0466884,0.0
,,,,2,SGOF,0.41,0.3111168,0.0364219,0.0
,,,,2,SGOF,0.43,0.3410218,0.0280798,0.0
,,,,2,SGOF,0.45,0.3724982,0.0213702,0.0
,,,,2,SGOF,0.47,0.4054873,0.0160323,0.0
,,,,2,SGOF,0.49,0.4398972,0.0118357,0.0
,,,,2,SGOF,0.51,0.4756015,0.0085794,0.0
,,,,2,SGOF,0.53,0.512437,0.0060898,0.0
,,,,2,SGOF,0.55,0.5502042,0.0042182,0.0
,,,,2,SGOF,0.57,0.588668,0.0028387,0.0
,,,,2,SGOF,0.59,0.6275607,0.0018453,0.0
,,,,2,SGOF,0.61,0.6665845,0.0011498,0.0
,,,,2,SGOF,0.63,0.7054157,0.0006796,0.0
,,,,2,SGOF,0.65,0.7437083,0.0003752,0.0
,,,,2,SGOF,0.67,0.7810959,0.0001892,0.0
,,,,2,SGOF,0.69,0.81719,8.4e-05,0.0
,,,,2,SGOF,0.71,0.8515703,3.09e-05,0.0
,,,,2,SGOF,0.73,0.8837551,8.3e-06,0.0
,,,,2,SGOF,0.75,0.9131163,1.2e-06,0.0
,,,,2,SGOF,0.77,0.9385399,0.0,0.0
,,,,2,SGOF,0.7817654,0.95,0.0,0.0
,,,,2,SGOF,0.8817654,1.0,0.0,0.0
0.0211401,0.0,1.0,9.95715,3,SWOF,,,,
0.0311401,0.0,0.9385641,4.2468436,3,SWOF,,,,
0.0411401,0.0001708,0.8791762,2.3013697,3,SWOF,,,,
0.0611401,0.0012737,0.7672302,0.9626147,3,SWOF,,,,
0.0811401,0.0032976,0.6651153,0.5164779,3,SWOF,,,,
0.1011401,0.0062373,0.5732002,0.3180815,3,SWOF,,,,
0.1211401,0.01012,0.4913993,0.2138634,3,SWOF,,,,
0.1411401,0.0149874,0.4192958,0.1528055,3,SWOF,,,,
0.1611401,0.0208901,0.3562539,0.1141621,3,SWOF,,,,
0.1811401,0.0278846,0.3015113,0.0882547,3,SWOF,,,,
0.2011401,0.0360319,0.254251,0.0700927,3,SWOF,,,,
0.2211401,0.0453963,0.2136527,0.0568986,3,SWOF,,,,
0.2411401,0.0560441,0.1789274,0.0470302,3,SWOF,,,,
0.2611401,0.068043,0.1493382,0.0394683,3,SWOF,,,,
0.2811401,0.0814603,0.124212,0.0335536,3,SWOF,,,,
0.3011401,0.0963624,0.1029436,0.0288456,3,SWOF,,,,
0.3211401,0.1128128,0.0849958,0.0250404,3,SWOF,,,,
0.3411401,0.1308704,0.0698956,0.0219239,3,SWOF,,,,
0.3611401,0.1505882,0.05723,0.0193412,3,SWOF,,,,
0.3811401,0.172011,0.0466406,0.0171784,3,SWOF,,,,
0.4011401,0.195173,0.0378169,0.0153504,3,SWOF,,,,
0.4211401,0.2200954,0.0304909,0.0137921,3,SWOF,,,,
0.4411401,0.2467836,0.0244324,0.0124538,3,SWOF,,,,
0.4611401,0.2752252,0.0194442,0.0112963,3,SWOF,,,,
0.4811401,0.3053869,0.0153572,0.010289,3,SWOF,,,,
0.5011401,0.3372115,0.0120269,0.0094072,3,SWOF,,,,
0.5211401,0.3706164,0.00933,0.0086312,3,SWOF,,,,
0.5411401,0.4054904,0.0071612,0.0079449,3,SWOF,,,,
0.5611401,0.441693,0.0054308,0.0073352,3,SWOF,,,,
0.5811401,0.4790527,0.0040628,0.0067913,3,SWOF,,,,
0.6011401,0.5173665,0.0029925,0.0063041,3,SWOF,,,,
0.6211401,0.5564009,0.0021651,0.0058661,3,SWOF,,,,
0.6411401,0.5958928,0.0015343,0.0054711,3,SWOF,,,,
0.6611401,0.6355515,0.0010613,0.0051136,3,SWOF,,,,
0.6811401,0.6750622,0.0007134,0.0047891,3,SWOF,,,,
0.7011401,0.7140891,0.0004633,0.0044937,3,SWOF,,,,
0.7211401,0.7522794,0.0002886,0.004224,3,SWOF,,,,
0.7411401,0.7892682,0.0001707,0.0039773,3,SWOF,,,,
0.7611401,0.8246798,9.45e-05,0.003751,3,SWOF,,,,
0.7811401,0.8581304,4.79e-05,0.003543,3,SWOF,,,,
0.8011401,0.8892259,2.16e-05,0.0033513,3,SWOF,,,,
0.8211401,0.9175523,8.2e-06,0.0031743,3,SWOF,,,,
0.8411401,0.9426505,2.3e-06,0.0030106,3,SWOF,,,,
0.8611401,0.9639517,4e-07,0.002859,3,SWOF,,,,
0.8811401,0.9805652,0.0,0.0027181,3,SWOF,,,,
0.8998061,0.9896511,0.0,0.0025957,3,SWOF,,,,
0.9011401,0.9897889,0.0,0.0025872,3,SWOF,,,,
0.9211401,0.9918546,0.0,0.0024652,3,SWOF,,,,
0.9411401,0.9939204,0.0,0.0023514,3,SWOF,,,,
0.9611401,0.9959862,0.0,0.0022451,3,SWOF,,,,
0.9811401,0.998052,0.0,0.0021457,3,SWOF,,,,
1.0,1.0,0.0,0.0020576,3,SWOF,,,,
,,,,3,SGOF,0.0,0.0,1.0,0.0
,,,,3,SGOF,0.05,0.0,0.8046109,0.0
,,,,3,SGOF,0.07,0.0084788,0.7373918,0.0
,,,,3,SGOF,0.09,0.0173178,0.6723243,0.0
,,,,3,SGOF,0.11,0.0265817,0.6094599,0.0
,,,,3,SGOF,0.13,0.0363256,0.5490745,0.0
,,,,3,SGOF,0.15,0.0466022,0.4915094,0.0
,,,,3,SGOF,0.17,0.057464,0.4370979,0.0
,,,,3,SGOF,0.19,0.068964,0.3861261,0.0
,,,,3,SGOF,0.21,0.0811564,0.3388117,0.0
,,,,3,SGOF,0.23,0.0940962,0.295294,0.0
,,,,3,SGOF,0.25,0.1078395,0.2556309,0.0
,,,,3,SGOF,0.27,0.122443,0.2198028,0.0
,,,,3,SGOF,0.29,0.1379633,0.1877202,0.0
,,,,3,SGOF,0.31,0.1544565,0.159234,0.0
,,,,3,SGOF,0.33,0.1719774,0.1341484,0.0
,,,,3,SGOF,0.35,0.1905779,0.1122329,0.0
,,,,3,SGOF,0.37,0.210306,0.0932349,0.0
,,,,3,SGOF,0.39,0.2312046,0.0768902,0.0
,,,,3,SGOF,0.41,0.2533092,0.0629329,0.0
,,,,3,SGOF,0.43,0.2766464,0.0511025,0.0
,,,,3,SGOF,0.45,0.3012319,0.0411493,0.0
,,,,3,SGOF,0.47,0.3270683,0.0328391,0.0
,,,,3,SGOF,0.49,0.3541432,0.025955,0.0
,,,,3,SGOF,0.51,0.382427,0.0202991,0.0
,,,,3,SGOF,0.53,0.4118712,0.015693,0.0
,,,,3,SGOF,0.55,0.4424069,0.0119774,0.0
,,,,3,SGOF,0.57,0.4739439,0.009011,0.0
,,,,3,SGOF,0.59,0.5063695,0.00667,0.0
,,,,3,SGOF,0.61,0.5395491,0.0048463,0.0
,,,,3,SGOF,0.63,0.5733261,0.0034467,0.0
,,,,3,SGOF,0.65,0.6075238,0.0023906,0.0
,,,,3,SGOF,0.67,0.641946,0.0016097,0.0
,,,,3,SGOF,0.69,0.6763799,0.0010459,0.0
,,,,3,SGOF,0.71,0.7105978,0.0006505,0.0
,,,,3,SGOF,0.73,0.7443587,0.000383,0.0
,,,,3,SGOF,0.75,0.7774096,0.0002101,0.0
,,,,3,SGOF,0.77,0.8094838,0.0001048,0.0
,,,,3,SGOF,0.79,0.840297,4.57e-05,0.0
,,,,3,SGOF,0.81,0.8695336,1.63e-05,0.0
,,,,3,SGOF,0.83,0.8968159,4.1e-06,0.0
,,,,3,SGOF,0.85,0.9216143,5e-07,0.0
,,,,3,SGOF,0.87,0.9428646,0.0,0.0
,,,,3,SGOF,0.8788599,0.95,0.0,0.0
,,,,3,SGOF,0.9788599,1.0,0.0,0.0
0.2230852,0.0,1.0,9.95715,4,SWOF,,,,
0.2330852,0.0,0.9206176,7.6946012,4,SWOF,,,,
0.2430852,0.0002763,0.8447852,6.0583141,4,SWOF,,,,
0.2630852,0.0020807,0.7050672,3.9341087,4,SWOF,,,,
0.2830852,0.0054386,0.5823509,2.6857075,4,SWOF,,,,
0.3030852,0.0103848,0.4766978,1.9075507,4,SWOF,,,,
0.3230852,0.0170082,0.3871902,1.3991392,4,SWOF,,,,
0.3430852,0.0254235,0.3123368,1.0539289,4,SWOF,,,,
0.3630852,0.0357607,0.2503879,0.8118883,4,SWOF,,,,
0.3830852,0.0481607,0.1995524,0.6375112,4,SWOF,,,,
0.4030852,0.0627706,0.1581303,0.5089216,4,SWOF,,,,
0.4230852,0.0797397,0.1245829,0.4121622,4,SWOF,,,,
0.4430852,0.0992154,0.097561,0.3380554,4,SWOF,,,,
0.4630852,0.1213375,0.0759072,0.2804053,4,SWOF,,,,
0.4830852,0.1462322,0.0586432,0.2349307,4,SWOF,,,,
0.5030852,0.1740051,0.0449528,0.1986117,4,SWOF,,,,
0.5230852,0.2047336,0.0341583,0.1692788,4,SWOF,,,,
0.5430852,0.2384557,0.0256998,0.1453472,4,SWOF,,,,
0.5630852,0.2751622,0.0191189,0.1256416,4,SWOF,,,,
