CONKPOS,WELL,DEPTH,PRESSURE,CONBPRES,CONIPOS,DRAWDOWN,CONIDX,SGAS,DATE,SWAT,WELLMODEL,CONJPOS
1,R_A2,1640.1025390625,300.5705261230469,300.5705261230469,22,0,1,0.0,2018-01-01,0.05760084092617035,STANDARD,30
2,R_A2,1641.9512939453125,300.6944885253906,300.6944885253906,22,0,2,0.0,2018-01-01,0.059637319296598434,STANDARD,30
3,R_A2,1643.800048828125,300.8184814453125,300.8184814453125,22,0,3,0.0,2018-01-01,0.06225060671567917,STANDARD,30
4,R_A2,1645.64892578125,300.94244384765625,300.94244384765625,22,0,4,0.0,2018-01-01,0.06687775254249573,STANDARD,30
5,R_A2,1647.4976806640625,301.06640625,301.06640625,22,0,5,0.0,2018-01-01,0.07192099839448929,STANDARD,30
6,R_A2,1649.346435546875,301.1903991699219,301.1903991699219,22,0,6,0.0,2018-01-01,0.316342294216156,STANDARD,30
7,R_A2,1651.195068359375,301.3143615722656,301.3143615722656,22,0,7,0.0,2018-01-01,0.8982781171798706,STANDARD,30
8,R_A2,1653.0439453125,301.4383544921875,301.4383544921875,22,0,8,0.0,2018-01-01,0.8839393258094788,STANDARD,30
9,R_A2,1654.8927001953125,301.5623474121094,301.5623474121094,22,0,9,0.0,2018-01-01,0.6596847772598267,STANDARD,30
10,R_A2,1656.741455078125,301.68634033203125,301.68634033203125,22,0,10,0.0,2018-01-01,0.17481833696365356,STANDARD,30
11,R_A2,1658.662109375,301.8151550292969,301.8151550292969,22,0,11,0.0,2018-01-01,0.07916180044412613,STANDARD,30
12,R_A2,1660.65478515625,301.9488220214844,301.9488220214844,22,0,12,0.0,2018-01-01,0.0831034928560257,STANDARD,30
13,R_A2,1662.6474609375,302.0824890136719,302.0824890136719,22,0,13,0.0,2018-01-01,0.46430352330207825,STANDARD,30
14,R_A2,1664.64013671875,302.21612548828125,302.21612548828125,22,0,14,0.0,2018-01-01,0.51618891954422,STANDARD,30
15,R_A2,1666.6328125,302.34979248046875,302.34979248046875,22,0,15,0.0,2018-01-01,0.7064568400382996,STANDARD,30
16,R_A2,1668.6253662109375,302.48345947265625,302.48345947265625,22,0,16,0.0,2018-01-01,0.9749176502227783,STANDARD,30
17,R_A2,1670.6180419921875,302.6171569824219,302.6171569824219,22,0,17,0.0,2018-01-01,0.9661819934844971,STANDARD,30
18,R_A2,1672.47314453125,302.7415771484375,302.7415771484375,22,0,18,0.0,2018-01-01,0.9751920104026794,STANDARD,30
18,R_A2,1671.968505859375,302.7077331542969,302.7077331542969,22,0,19,0.0,2018-01-01,0.97702556848526,STANDARD,29
19,R_A2,1672.977294921875,302.7754211425781,302.7754211425781,22,0,20,0.0,2018-01-01,0.9666486978530884,STANDARD,29
29,R_A2,1673.97119140625,302.84210205078125,302.84210205078125,22,0,21,0.0,2018-01-01,1.0,STANDARD,29
30,R_A2,1675.7357177734375,303.26947021484375,303.26947021484375,22,0,22,0.0,2018-01-01,1.0,STANDARD,29
31,R_A2,1677.500244140625,303.4366760253906,303.4366760253906,22,0,23,0.0,2018-01-01,1.0,STANDARD,29
32,R_A2,1679.264892578125,303.6038818359375,303.6038818359375,22,0,24,0.0,2018-01-01,1.0,STANDARD,29
33,R_A2,1681.029541015625,303.7710876464844,303.7710876464844,22,0,25,0.0,2018-01-01,1.0,STANDARD,29
1,R_A3,1611.568115234375,298.6577453613281,298.6577453613281,28,0,1,0.0,2018-01-01,0.7844149470329285,STANDARD,41
1,R_A3,1596.56689453125,297.6524963378906,297.6524963378906,29,0,2,0.0,2018-01-01,0.29833564162254333,STANDARD,41
2,R_A3,1598.853515625,297.80572509765625,297.80572509765625,29,0,3,0.0,2018-01-01,0.13107429444789886,STANDARD,41
3,R_A3,1601.1402587890625,297.9589538574219,297.9589538574219,29,0,4,0.0,2018-01-01,0.12695933878421783,STANDARD,41
4,R_A3,1603.4268798828125,298.1121520996094,298.1121520996094,29,0,5,0.0,2018-01-01,0.16032904386520386,STANDARD,41
5,R_A3,1605.713623046875,298.2654113769531,298.2654113769531,29,0,6,0.0,2018-01-01,0.8096869587898254,STANDARD,41
6,R_A3,1608.000244140625,298.41864013671875,298.41864013671875,29,0,7,0.0,2018-01-01,0.6481541991233826,STANDARD,41
7,R_A3,1610.2869873046875,298.5718688964844,298.5718688964844,29,0,8,0.0,2018-01-01,0.19723257422447205,STANDARD,41
8,R_A3,1612.5736083984375,298.7251281738281,298.7251281738281,29,0,9,0.0,2018-01-01,0.3367357552051544,STANDARD,41
9,R_A3,1614.8603515625,298.8783874511719,298.8783874511719,29,0,10,0.0,2018-01-01,0.7981948256492615,STANDARD,41
10,R_A3,1617.14697265625,299.0316467285156,299.0316467285156,29,0,11,0.0,2018-01-01,0.7991032004356384,STANDARD,41
11,R_A3,1619.441650390625,299.1854553222656,299.1854553222656,29,0,12,0.0,2018-01-01,0.049045629799366,STANDARD,41
12,R_A3,1621.7442626953125,299.33978271484375,299.33978271484375,29,0,13,0.0,2018-01-01,0.05613408610224724,STANDARD,41
13,R_A3,1624.046875,299.494140625,299.494140625,29,0,14,0.0,2018-01-01,0.37438875436782837,STANDARD,41
15,R_A3,1628.6522216796875,299.8028564453125,299.8028564453125,29,0,15,0.0,2018-01-01,0.49294641613960266,STANDARD,41
16,R_A3,1630.680419921875,299.9388122558594,299.9388122558594,29,0,16,0.0,2018-01-01,0.8034541010856628,STANDARD,41
29,R_A3,1633.5107421875,300.1285705566406,300.1285705566406,29,0,17,0.0,2018-01-01,1.0,STANDARD,41
30,R_A3,1637.1712646484375,300.3739929199219,300.3739929199219,29,0,18,0.0,2018-01-01,0.19375093281269073,STANDARD,41
31,R_A3,1640.831787109375,300.61944580078125,300.61944580078125,29,0,19,0.0,2018-01-01,0.16517898440361023,STANDARD,41
32,R_A3,1644.4923095703125,300.8648986816406,300.8648986816406,29,0,20,0.0,2018-01-01,1.0,STANDARD,41
33,R_A3,1648.15283203125,301.1103515625,301.1103515625,29,0,21,0.0,2018-01-01,0.06526262313127518,STANDARD,41
1,R_A4,1626.171142578125,299.63653564453125,299.63653564453125,30,0,1,0.0,2018-01-01,0.6481541991233826,STANDARD,52
1,R_A4,1626.342529296875,299.64801025390625,299.64801025390625,31,0,2,0.0,2018-01-01,0.6481541991233826,STANDARD,52
2,R_A4,1628.46826171875,299.79052734375,299.79052734375,31,0,3,0.0,2018-01-01,0.12497694045305252,STANDARD,52
3,R_A4,1630.593994140625,299.93304443359375,299.93304443359375,31,0,4,0.0,2018-01-01,0.07434236258268356,STANDARD,52
4,R_A4,1632.7197265625,300.0755310058594,300.0755310058594,31,0,5,0.0,2018-01-01,0.05542510375380516,STANDARD,52
4,R_A4,1634.3009033203125,300.1815490722656,300.1815490722656,32,0,6,0.0,2018-01-01,0.056495364755392075,STANDARD,52
4,R_A4,1634.273193359375,300.1796875,300.1796875,32,0,7,0.0,2018-01-01,0.058313943445682526,STANDARD,51
3,R_A4,1632.39599609375,300.0538330078125,300.0538330078125,32,0,8,0.0,2018-01-01,0.24179549515247345,STANDARD,51
3,R_A4,1635.5638427734375,300.2662353515625,300.2662353515625,33,0,9,0.0,2018-01-01,0.16811241209506989,STANDARD,51
4,R_A4,1637.467041015625,300.3938293457031,300.3938293457031,33,0,10,0.0,2018-01-01,0.06201590970158577,STANDARD,51
4,R_A4,1640.9534912109375,300.6275939941406,300.6275939941406,33,0,11,0.0,2018-01-01,0.06593107432126999,STANDARD,50
5,R_A4,1642.8704833984375,300.7561340332031,300.7561340332031,33,0,12,0.0,2018-01-01,0.06649527698755264,STANDARD,50
5,R_A4,1641.8577880859375,300.688232421875,300.688232421875,34,0,13,0.0,2018-01-01,0.06690235435962677,STANDARD,50
4,R_A4,1639.858154296875,300.55413818359375,300.55413818359375,34,0,14,0.0,2018-01-01,0.06469767540693283,STANDARD,50
4,R_A4,1643.57080078125,300.8031005859375,300.8031005859375,35,0,15,0.0,2018-01-01,0.067997045814991,STANDARD,50
3,R_A4,1641.714111328125,300.6785888671875,300.6785888671875,35,0,16,0.0,2018-01-01,0.33634182810783386,STANDARD,50
2,R_A4,1639.857421875,300.5541076660156,300.5541076660156,35,0,17,0.0,2018-01-01,0.2341732382774353,STANDARD,50
2,R_A4,1640.8199462890625,300.61865234375,300.61865234375,35,0,18,0.0,2018-01-01,0.23948608338832855,STANDARD,49
1,R_A4,1639.0162353515625,300.4977111816406,300.4977111816406,35,0,19,0.0,2018-01-01,0.23624946177005768,STANDARD,49
32,R_A4,1644.259033203125,300.8492431640625,300.8492431640625,36,0,20,0.0,2018-01-01,0.06319035589694977,STANDARD,49
32,R_A4,1638.6328125,300.47198486328125,300.47198486328125,36,0,21,0.0,2018-01-01,0.1311769187450409,STANDARD,48
32,R_A4,1647.275390625,301.051513671875,301.051513671875,37,0,22,0.0,2018-01-01,0.3197712302207947,STANDARD,48
32,R_A4,1654.483642578125,301.534912109375,301.534912109375,38,0,23,0.0,2018-01-01,0.6481541991233826,STANDARD,48
32,R_A4,1656.646728515625,301.67999267578125,301.67999267578125,38,0,24,0.0,2018-01-01,1.0,STANDARD,47
1,R_A5,1682.66943359375,303.6207275390625,303.6207275390625,31,0,1,0.0,2018-01-01,1.0,STANDARD,20
2,R_A5,1684.710205078125,303.8140869140625,303.8140869140625,31,0,2,0.0,2018-01-01,1.0,STANDARD,20
3,R_A5,1686.7509765625,304.0074768066406,304.0074768066406,31,0,3,0.0,2018-01-01,1.0,STANDARD,20
4,R_A5,1688.7916259765625,304.20086669921875,304.20086669921875,31,0,4,0.0,2018-01-01,1.0,STANDARD,20
5,R_A5,1690.8323974609375,304.3942565917969,304.3942565917969,31,0,5,0.0,2018-01-01,1.0,STANDARD,20
6,R_A5,1692.873046875,304.587646484375,304.587646484375,31,0,6,0.0,2018-01-01,1.0,STANDARD,20
7,R_A5,1694.913818359375,305.08685302734375,305.08685302734375,31,0,7,0.0,2018-01-01,1.0,STANDARD,20
11,R_A5,1701.1146240234375,305.3688049316406,305.3688049316406,31,0,8,0.0,2018-01-01,1.0,STANDARD,21
12,R_A5,1703.234619140625,305.5697021484375,305.5697021484375,31,0,9,0.0,2018-01-01,1.0,STANDARD,21
13,R_A5,1705.3544921875,305.7825927734375,305.7825927734375,31,0,10,0.0,2018-01-01,1.0,STANDARD,21
14,R_A5,1707.4744873046875,305.9834899902344,305.9834899902344,31,0,11,0.0,2018-01-01,1.0,STANDARD,21
15,R_A5,1709.5943603515625,306.18438720703125,306.18438720703125,31,0,12,0.0,2018-01-01,1.0,STANDARD,21
